"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"47"
"US National","Season onset","Bin","week","40","41","6.23128879926327e-05"
"US National","Season onset","Bin","week","41","42","5.63279781146384e-05"
"US National","Season onset","Bin","week","42","43","6.35316492280814e-05"
"US National","Season onset","Bin","week","43","44","5.605714039085e-05"
"US National","Season onset","Bin","week","44","45","6.32538192718905e-05"
"US National","Season onset","Bin","week","45","46","5.74662082024326e-05"
"US National","Season onset","Bin","week","46","47","0.741939172928625"
"US National","Season onset","Bin","week","47","48","0.256145782366946"
"US National","Season onset","Bin","week","48","49","5.56813957529597e-05"
"US National","Season onset","Bin","week","49","50","6.7317118784866e-05"
"US National","Season onset","Bin","week","50","51","5.1571173434598e-05"
"US National","Season onset","Bin","week","51","52","6.99319544472027e-05"
"US National","Season onset","Bin","week","52","53","5.00655571670977e-05"
"US National","Season onset","Bin","week","53","1","6.74017047906608e-05"
"US National","Season onset","Bin","week","1","2","5.38883405625235e-05"
"US National","Season onset","Bin","week","2","3","6.26639217498116e-05"
"US National","Season onset","Bin","week","3","4","5.96390573973185e-05"
"US National","Season onset","Bin","week","4","5","5.68388448195993e-05"
"US National","Season onset","Bin","week","5","6","6.50707631915896e-05"
"US National","Season onset","Bin","week","6","7","5.25968902953414e-05"
"US National","Season onset","Bin","week","7","8","6.77394885572212e-05"
"US National","Season onset","Bin","week","8","9","5.10444057411845e-05"
"US National","Season onset","Bin","week","9","10","6.58018372691958e-05"
"US National","Season onset","Bin","week","10","11","5.37316691529867e-05"
"US National","Season onset","Bin","week","11","12","6.22656431508316e-05"
"US National","Season onset","Bin","week","12","13","5.76508467072975e-05"
"US National","Season onset","Bin","week","13","14","5.93548696972262e-05"
"US National","Season onset","Bin","week","14","15","6.05779749091515e-05"
"US National","Season onset","Bin","week","15","16","5.75880192281759e-05"
"US National","Season onset","Bin","week","16","17","6.0106276916788e-05"
"US National","Season onset","Bin","week","17","18","5.88533662652482e-05"
"US National","Season onset","Bin","week","18","19","5.91354745682843e-05"
"US National","Season onset","Bin","week","19","20","6.02511889707628e-05"
"US National","Season onset","Bin","week","20","21","9.75721105565697e-06"
"US National","Season onset","Bin","week","none","none","5.95700266445317e-05"
"US National","Season peak week","Point","week",NA,NA,"52"
"US National","Season peak week","Bin","week","40","41","6.09106349323094e-05"
"US National","Season peak week","Bin","week","41","42","6.02353845448679e-05"
"US National","Season peak week","Bin","week","42","43","6.26601182828992e-05"
"US National","Season peak week","Bin","week","43","44","5.880698763219e-05"
"US National","Season peak week","Bin","week","44","45","6.46270521945345e-05"
"US National","Season peak week","Bin","week","45","46","5.81862853641109e-05"
"US National","Season peak week","Bin","week","46","47","6.49322412349902e-05"
"US National","Season peak week","Bin","week","47","48","5.95758103047016e-05"
"US National","Season peak week","Bin","week","48","49","6.08322304252371e-05"
"US National","Season peak week","Bin","week","49","50","6.57190174332486e-05"
