"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"2"
"US National","Season onset","Bin","week","40","41","4.38251176929836e-05"
"US National","Season onset","Bin","week","41","42","4.40907719916396e-05"
"US National","Season onset","Bin","week","42","43","4.43876638055319e-05"
"US National","Season onset","Bin","week","43","44","4.4715793134536e-05"
"US National","Season onset","Bin","week","44","45","4.5075159978697e-05"
"US National","Season onset","Bin","week","45","46","4.54657643379913e-05"
"US National","Season onset","Bin","week","46","47","4.52913155029148e-05"
"US National","Season onset","Bin","week","47","48","4.48451771612843e-05"
"US National","Season onset","Bin","week","48","49","4.47151676276699e-05"
"US National","Season onset","Bin","week","49","50","4.40909136050333e-05"
"US National","Season onset","Bin","week","50","51","0.00248541594872374"
"US National","Season onset","Bin","week","51","52","0.00216990555786523"
"US National","Season onset","Bin","week","52","1","0.00506392642271521"
"US National","Season onset","Bin","week","1","2","0.745747582647657"
"US National","Season onset","Bin","week","2","3","0.243286799178383"
"US National","Season onset","Bin","week","3","4","4.41539390546739e-05"
"US National","Season onset","Bin","week","4","5","4.42316443248138e-05"
"US National","Season onset","Bin","week","5","6","4.4538622421514e-05"
"US National","Season onset","Bin","week","6","7","4.47831254879459e-05"
"US National","Season onset","Bin","week","7","8","4.49651535238586e-05"
"US National","Season onset","Bin","week","8","9","4.50847065297538e-05"
"US National","Season onset","Bin","week","9","10","4.51417845050043e-05"
"US National","Season onset","Bin","week","10","11","4.36144185514757e-05"
"US National","Season onset","Bin","week","11","12","4.3294789662211e-05"
"US National","Season onset","Bin","week","12","13","4.34501815842202e-05"
"US National","Season onset","Bin","week","13","14","4.3234750388619e-05"
"US National","Season onset","Bin","week","14","15","4.30792052361663e-05"
"US National","Season onset","Bin","week","15","16","4.34196205767545e-05"
"US National","Season onset","Bin","week","16","17","4.36975608874507e-05"
"US National","Season onset","Bin","week","17","18","4.39130261676277e-05"
"US National","Season onset","Bin","week","18","19","4.40660164176618e-05"
"US National","Season onset","Bin","week","19","20","4.41565316371766e-05"
"US National","Season onset","Bin","week","20","21","6.99075315666972e-06"
"US National","Season onset","Bin","week","none","none","4.40515697042671e-05"
"US National","Season peak week","Point","week",NA,NA,"6"
"US National","Season peak week","Bin","week","40","41","4.47339349892821e-05"
"US National","Season peak week","Bin","week","41","42","4.49996502625808e-05"
"US National","Season peak week","Bin","week","42","43","4.53094636844119e-05"
"US National","Season peak week","Bin","week","43","44","4.56633752551255e-05"
"US National","Season peak week","Bin","week","44","45","4.60613849746212e-05"
"US National","Season peak week","Bin","week","45","46","4.6503492842882e-05"
"US National","Season peak week","Bin","week","46","47","4.69896988599489e-05"
"US National","Season peak week","Bin","week","47","48","4.63530136710587e-05"
"US National","Season peak week","Bin","week","48","49","4.62316973176501e-05"
"US National","Season peak week","Bin","week","49","50","4.60680793666829e-05"
"US National","Season peak week","Bin","week","50","51","4.45051610530183e-05"
"US National","Season peak week","Bin","week","51","52","4.39690827465522e-05"
"US National","Season peak week","Bin","week","52","1","4.42897950466013e-05"
"US National","Season peak week","Bin","week","1","2","4.46546054953554e-05"
"US National","Season peak week","Bin","week","2","3","4.50635140931125e-05"
"US National","Season peak week","Bin","week","3","4","4.55049117418556e-05"
