"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"50"
"US National","Season onset","Bin","week","40","41","0.0136454174236473"
"US National","Season onset","Bin","week","41","42","0.019500613928381"
"US National","Season onset","Bin","week","42","43","0.0267804670906685"
"US National","Season onset","Bin","week","43","44","0.0352433566413535"
"US National","Season onset","Bin","week","44","45","0.0443414758517641"
"US National","Season onset","Bin","week","45","46","0.0532397251579367"
"US National","Season onset","Bin","week","46","47","0.0610001839938198"
"US National","Season onset","Bin","week","47","48","0.0667148110258354"
"US National","Season onset","Bin","week","48","49","0.0697205008669241"
"US National","Season onset","Bin","week","49","50","0.0697438932297767"
"US National","Season onset","Bin","week","50","51","0.0669883193052905"
"US National","Season onset","Bin","week","51","52","0.0620612152080175"
"US National","Season onset","Bin","week","52","1","0.0558086502564965"
"US National","Season onset","Bin","week","1","2","0.0491100595201906"
"US National","Season onset","Bin","week","2","3","0.0427048376593532"
"US National","Season onset","Bin","week","3","4","0.0370507891511356"
"US National","Season onset","Bin","week","4","5","0.032279661738943"
"US National","Season onset","Bin","week","5","6","0.0282904623559545"
"US National","Season onset","Bin","week","6","7","0.0248575866628152"
"US National","Season onset","Bin","week","7","8","0.0217666186797585"
"US National","Season onset","Bin","week","8","9","0.0188837722657107"
"US National","Season onset","Bin","week","9","10","0.0161774448423616"
"US National","Season onset","Bin","week","10","11","0.0136993432488334"
"US National","Season onset","Bin","week","11","12","0.0115255169365169"
"US National","Season onset","Bin","week","12","13","0.0097173872944253"
"US National","Season onset","Bin","week","13","14","0.00828137090778698"
"US National","Season onset","Bin","week","14","15","0.00716945606878395"
"US National","Season onset","Bin","week","15","16","0.00630045836127433"
"US National","Season onset","Bin","week","16","17","0.00558177788728944"
"US National","Season onset","Bin","week","17","18","0.00493461125520287"
"US National","Season onset","Bin","week","18","19","0.0043044107732148"
"US National","Season onset","Bin","week","19","20","0.00366710661499532"
"US National","Season onset","Bin","week","20","21","0.00302634485436589"
"US National","Season onset","Bin","week","none","none","0.00588235294117647"
"US National","Season peak week","Point","week",NA,NA,"3.33333333333334"
"US National","Season peak week","Bin","week","40","41","0.00681422232564882"
"US National","Season peak week","Bin","week","41","42","0.00890647175971175"
"US National","Season peak week","Bin","week","42","43","0.011480757720085"
"US National","Season peak week","Bin","week","43","44","0.014600433398751"
"US National","Season peak week","Bin","week","44","45","0.0182836055244716"
"US National","Season peak week","Bin","week","45","46","0.0225047806428873"
"US National","Season peak week","Bin","week","46","47","0.0271684214631382"
"US National","Season peak week","Bin","week","47","48","0.0320957531798819"
"US National","Season peak week","Bin","week","48","49","0.0370453888354953"
"US National","Season peak week","Bin","week","49","50","0.0417186338551828"
"US National","Season peak week","Bin","week","50","51","0.0458451633066621"
"US National","Season peak week","Bin","week","51","52","0.0492298774477725"
"US National","Season peak week","Bin","week","52","1","0.0517761590306945"
"US National","Season peak week","Bin","week","1","2","0.0534901703271325"
"US National","Season peak week","Bin","week","2","3","0.0544370244755904"
"US National","Season peak week","Bin","week","3","4","0.0546915405483037"
"US National","Season peak week","Bin","week","4","5","0.0542824360892283"
"US National","Season peak week","Bin","week","5","6","0.0531706066752111"
"US National","Season peak week","Bin","week","6","7","0.0512713263441007"
"US National","Season peak week","Bin","week","7","8","0.0485132320968915"
"US National","Season peak week","Bin","week","8","9","0.0449056859090109"
"US National","Season peak week","Bin","week","9","10","0.0405588365963413"
"US National","Season peak week","Bin","week","10","11","0.035694941931642"
"US National","Season peak week","Bin","week","11","12","0.0306043616972682"
"US National","Season peak week","Bin","week","12","13","0.0255992490086406"
"US National","Season peak week","Bin","week","13","14","0.0209582447104083"
"US National","Season peak week","Bin","week","14","15","0.0168566060455614"
"US National","Season peak week","Bin","week","15","16","0.0133815048573127"
"US National","Season peak week","Bin","week","16","17","0.0105320938765404"
"US National","Season peak week","Bin","week","17","18","0.00824867842303453"
"US National","Season peak week","Bin","week","18","19","0.00644413983800699"
"US National","Season peak week","Bin","week","19","20","0.0050149352499071"
"US National","Season peak week","Bin","week","20","21","0.00387471680948492"
"US National","Season peak percentage","Point","percent",NA,NA,"4.6"
"US National","Season peak percentage","Bin","percent","0","0.1","0.00133203214025935"
"US National","Season peak percentage","Bin","percent","0.1","0.2","0.00147853089597755"
"US National","Season peak percentage","Bin","percent","0.2","0.3","0.00165073726781408"
"US National","Season peak percentage","Bin","percent","0.3","0.4","0.00182792178062258"
"US National","Season peak percentage","Bin","percent","0.4","0.5","0.00203641322799568"
"US National","Season peak percentage","Bin","percent","0.5","0.6","0.00225202898493446"
"US National","Season peak percentage","Bin","percent","0.6","0.7","0.00250076521815774"
"US National","Season peak percentage","Bin","percent","0.7","0.8","0.00276214052571467"
"US National","Season peak percentage","Bin","percent","0.8","0.9","0.00305610663947598"
"US National","Season peak percentage","Bin","percent","0.9","1","0.00336964864466714"
"US National","Season peak percentage","Bin","percent","1","1.1","0.00371321396481997"
"US National","Season peak percentage","Bin","percent","1.1","1.2","0.00408434402102694"
"US National","Season peak percentage","Bin","percent","1.2","1.3","0.00447951850826777"
"US National","Season peak percentage","Bin","percent","1.3","1.4","0.00491107072009162"
"US National","Season peak percentage","Bin","percent","1.4","1.5","0.00535765636841582"
"US National","Season peak percentage","Bin","percent","1.5","1.6","0.00585033315644215"
"US National","Season peak percentage","Bin","percent","1.6","1.7","0.0063446144546099"
"US National","Season peak percentage","Bin","percent","1.7","1.8","0.00689449651241575"
"US National","Season peak percentage","Bin","percent","1.8","1.9","0.0074306524625555"
"US National","Season peak percentage","Bin","percent","1.9","2","0.00802592374008536"
"US National","Season peak percentage","Bin","percent","2","2.1","0.00859900047401619"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.00921852389658785"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.00981831965748613"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.0104445963707509"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.0110538422352531"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.0116676229543901"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.0122665340968995"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.012847799116377"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.0134159449103155"
"US National","Season peak percentage","Bin","percent","2.9","3","0.0139464173099774"
"US National","Season peak percentage","Bin","percent","3","3.1","0.0144648057093055"
"US National","Season peak percentage","Bin","percent","3.1","3.2","0.0149289964940472"
