"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"50"
"US National","Season onset","Bin","week","40","41","0.0212096816368537"
"US National","Season onset","Bin","week","41","42","0.0261368941758641"
"US National","Season onset","Bin","week","42","43","0.0318291047365568"
"US National","Season onset","Bin","week","43","44","0.038190281431553"
"US National","Season onset","Bin","week","44","45","0.0449603906166032"
"US National","Season onset","Bin","week","45","46","0.0516681787537984"
"US National","Season onset","Bin","week","46","47","0.057685982833601"
"US National","Season onset","Bin","week","47","48","0.0622873122914767"
"US National","Season onset","Bin","week","48","49","0.0648952947152612"
"US National","Season onset","Bin","week","49","50","0.065172471826156"
"US National","Season onset","Bin","week","50","51","0.0631198577926004"
"US National","Season onset","Bin","week","51","52","0.0591258980217237"
"US National","Season onset","Bin","week","52","1","0.0538378927388534"
"US National","Season onset","Bin","week","1","2","0.0480041142309725"
"US National","Season onset","Bin","week","2","3","0.04227491911537"
"US National","Season onset","Bin","week","3","4","0.037122877323498"
"US National","Season onset","Bin","week","4","5","0.0326904655394288"
"US National","Season onset","Bin","week","5","6","0.028902318999132"
"US National","Season onset","Bin","week","6","7","0.0255539577544578"
"US National","Season onset","Bin","week","7","8","0.0224683650106191"
"US National","Season onset","Bin","week","8","9","0.0195254714049995"
"US National","Season onset","Bin","week","9","10","0.0167242032711908"
"US National","Season onset","Bin","week","10","11","0.0141374431958209"
"US National","Season onset","Bin","week","11","12","0.0118773699099081"
"US National","Season onset","Bin","week","12","13","0.0100034622754232"
"US National","Season onset","Bin","week","13","14","0.00852331852306836"
"US National","Season onset","Bin","week","14","15","0.0073850248685086"
"US National","Season onset","Bin","week","15","16","0.0065040300499349"
"US National","Season onset","Bin","week","16","17","0.00577686574245853"
"US National","Season onset","Bin","week","17","18","0.00511710907231734"
"US National","Season onset","Bin","week","18","19","0.00446677730761086"
"US National","Season onset","Bin","week","19","20","0.0038048247863082"
"US National","Season onset","Bin","week","20","21","0.00313548710689452"
"US National","Season onset","Bin","week","none","none","0.00588235294117647"
"US National","Season peak week","Point","week",NA,NA,"3.33333333333334"
"US National","Season peak week","Bin","week","40","41","0.0108492950814784"
"US National","Season peak week","Bin","week","41","42","0.0124961001804085"
"US National","Season peak week","Bin","week","42","43","0.0142136561215403"
"US National","Season peak week","Bin","week","43","44","0.0161434248945547"
"US National","Season peak week","Bin","week","44","45","0.0184713317139653"
"US National","Season peak week","Bin","week","45","46","0.0213703144192261"
"US National","Season peak week","Bin","week","46","47","0.0249359707415023"
"US National","Season peak week","Bin","week","47","48","0.0291402862679423"
"US National","Season peak week","Bin","week","48","49","0.0337847420233614"
"US National","Season peak week","Bin","week","49","50","0.0385629382253423"
"US National","Season peak week","Bin","week","50","51","0.0431172143220191"
"US National","Season peak week","Bin","week","51","52","0.047122409205623"
"US National","Season peak week","Bin","week","52","1","0.0503563293341114"
"US National","Season peak week","Bin","week","1","2","0.0527274929460064"
"US National","Season peak week","Bin","week","2","3","0.054234637792339"
"US National","Season peak week","Bin","week","3","4","0.0549313395628119"
"US National","Season peak week","Bin","week","4","5","0.0548433111733755"
"US National","Season peak week","Bin","week","5","6","0.0539420356772702"
"US National","Season peak week","Bin","week","6","7","0.0521595330025468"
"US National","Season peak week","Bin","week","7","8","0.0494325884746152"
"US National","Season peak week","Bin","week","8","9","0.0457899062821457"
"US National","Season peak week","Bin","week","9","10","0.0413576247515014"
"US National","Season peak week","Bin","week","10","11","0.0363769212968416"
"US National","Season peak week","Bin","week","11","12","0.031162211954438"
"US National","Season peak week","Bin","week","12","13","0.0260374341693364"
"US National","Season peak week","Bin","week","13","14","0.0212788091686095"
"US National","Season peak week","Bin","week","14","15","0.0170907293251251"
"US National","Season peak week","Bin","week","15","16","0.0135517020809441"
"US National","Season peak week","Bin","week","16","17","0.0106593957851583"
"US National","Season peak week","Bin","week","17","18","0.00834830993177102"
"US National","Season peak week","Bin","week","18","19","0.00651984742193374"
"US National","Season peak week","Bin","week","19","20","0.00507259524148096"
"US National","Season peak week","Bin","week","20","21","0.00391956143067415"
"US National","Season peak percentage","Point","percent",NA,NA,"5"
"US National","Season peak percentage","Bin","percent","0","0.1","0.00155993335789846"
"US National","Season peak percentage","Bin","percent","0.1","0.2","0.00172664910211439"
"US National","Season peak percentage","Bin","percent","0.2","0.3","0.00189548679092903"
"US National","Season peak percentage","Bin","percent","0.3","0.4","0.00208610030930919"
"US National","Season peak percentage","Bin","percent","0.4","0.5","0.00228844300761378"
"US National","Season peak percentage","Bin","percent","0.5","0.6","0.00250314072189779"
"US National","Season peak percentage","Bin","percent","0.6","0.7","0.00274352078157225"
"US National","Season peak percentage","Bin","percent","0.7","0.8","0.00298661469242434"
"US National","Season peak percentage","Bin","percent","0.8","0.9","0.00326088192938167"
"US National","Season peak percentage","Bin","percent","0.9","1","0.00354137103086201"
"US National","Season peak percentage","Bin","percent","1","1.1","0.00384181642327776"
"US National","Season peak percentage","Bin","percent","1.1","1.2","0.00416517682492584"
"US National","Season peak percentage","Bin","percent","1.2","1.3","0.00449050656660459"
"US National","Season peak percentage","Bin","percent","1.3","1.4","0.00485560969521638"
"US National","Season peak percentage","Bin","percent","1.4","1.5","0.00521378110730142"
"US National","Season peak percentage","Bin","percent","1.5","1.6","0.00559946233074875"
"US National","Season peak percentage","Bin","percent","1.6","1.7","0.00599717889458485"
"US National","Season peak percentage","Bin","percent","1.7","1.8","0.00639737154835471"
"US National","Season peak percentage","Bin","percent","1.8","1.9","0.00683142555332948"
"US National","Season peak percentage","Bin","percent","1.9","2","0.0072485323520563"
"US National","Season peak percentage","Bin","percent","2","2.1","0.00769491832749326"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.00813460519697154"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.00857757122471231"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.00903588462117727"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.0094708991102391"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.00993061127583333"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.0103620505255231"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.0107962927458535"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.0112240912828028"
