"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"48"
"US National","Season onset","Bin","week","40","41","0.0010800991377174"
"US National","Season onset","Bin","week","41","42","0.00122292438322829"
"US National","Season onset","Bin","week","42","43","0.00141359163253882"
"US National","Season onset","Bin","week","43","44","0.00177262646174286"
"US National","Season onset","Bin","week","44","45","0.00249674758339667"
"US National","Season onset","Bin","week","45","46","0.00370975396995651"
"US National","Season onset","Bin","week","46","47","0.00517918470869569"
"US National","Season onset","Bin","week","47","48","0.757232958936888"
"US National","Season onset","Bin","week","48","49","0.183868488270858"
"US National","Season onset","Bin","week","49","50","0.00525359995105809"
"US National","Season onset","Bin","week","50","51","0.00389691487157495"
"US National","Season onset","Bin","week","51","52","0.00281810117061455"
"US National","Season onset","Bin","week","52","1","0.00221356937001986"
"US National","Season onset","Bin","week","1","2","0.00194066279867909"
"US National","Season onset","Bin","week","2","3","0.00182063578782419"
"US National","Season onset","Bin","week","3","4","0.00174972957546275"
"US National","Season onset","Bin","week","4","5","0.00168996569028366"
"US National","Season onset","Bin","week","5","6","0.00163399149752562"
"US National","Season onset","Bin","week","6","7","0.00157797900413424"
"US National","Season onset","Bin","week","7","8","0.00152172400417963"
"US National","Season onset","Bin","week","8","9","0.00146772744206899"
"US National","Season onset","Bin","week","9","10","0.00141236531196676"
"US National","Season onset","Bin","week","10","11","0.00135738482774959"
"US National","Season onset","Bin","week","11","12","0.00130391983355249"
"US National","Season onset","Bin","week","12","13","0.00124956627064069"
"US National","Season onset","Bin","week","13","14","0.00119935562556469"
"US National","Season onset","Bin","week","14","15","0.00115111249508927"
"US National","Season onset","Bin","week","15","16","0.00110284062980434"
"US National","Season onset","Bin","week","16","17","0.00105137083785573"
"US National","Season onset","Bin","week","17","18","0.000992543869557217"
"US National","Season onset","Bin","week","18","19","0.000922619115057909"
"US National","Season onset","Bin","week","19","20","0.000842105521166374"
"US National","Season onset","Bin","week","20","21","0.00069274679420112"
"US National","Season onset","Bin","week","none","none","0.00116109261934611"
"US National","Season peak week","Point","week",NA,NA,"52"
"US National","Season peak week","Bin","week","40","41","0.00130182386872938"
"US National","Season peak week","Bin","week","41","42","0.0013941047396876"
"US National","Season peak week","Bin","week","42","43","0.00148378783668304"
"US National","Season peak week","Bin","week","43","44","0.00156988331559732"
"US National","Season peak week","Bin","week","44","45","0.00164981684149071"
"US National","Season peak week","Bin","week","45","46","0.00172786878680801"
"US National","Season peak week","Bin","week","46","47","0.00180721394191884"
"US National","Season peak week","Bin","week","47","48","0.00188889556219914"
"US National","Season peak week","Bin","week","48","49","0.00197589764811469"
"US National","Season peak week","Bin","week","49","50","0.00206480427135309"
"US National","Season peak week","Bin","week","50","51","0.00215433299965689"
"US National","Season peak week","Bin","week","51","52","0.735618666441722"
"US National","Season peak week","Bin","week","52","1","0.208366089983276"
"US National","Season peak week","Bin","week","1","2","0.00224276434483532"
"US National","Season peak week","Bin","week","2","3","0.00221341568005192"
"US National","Season peak week","Bin","week","3","4","0.00218416624868602"
"US National","Season peak week","Bin","week","4","5","0.00215872235600317"
"US National","Season peak week","Bin","week","5","6","0.00213805574454177"
"US National","Season peak week","Bin","week","6","7","0.00211362150588698"
"US National","Season peak week","Bin","week","7","8","0.00208820837308442"
"US National","Season peak week","Bin","week","8","9","0.0020572980693838"
"US National","Season peak week","Bin","week","9","10","0.0020177580121147"
"US National","Season peak week","Bin","week","10","11","0.00197133567173601"
"US National","Season peak week","Bin","week","11","12","0.00191516038927305"
"US National","Season peak week","Bin","week","12","13","0.00185730530234687"
"US National","Season peak week","Bin","week","13","14","0.0017929566492012"
"US National","Season peak week","Bin","week","14","15","0.00172281488103212"
"US National","Season peak week","Bin","week","15","16","0.00164379229259623"
"US National","Season peak week","Bin","week","16","17","0.00156259576947543"
"US National","Season peak week","Bin","week","17","18","0.00147870500927453"
"US National","Season peak week","Bin","week","18","19","0.00139216733348408"
"US National","Season peak week","Bin","week","19","20","0.00130204104888321"
"US National","Season peak week","Bin","week","20","21","0.0011439290808728"
"US National","Season peak percentage","Point","percent",NA,NA,"4.6"
"US National","Season peak percentage","Bin","percent","0","0.1","0.000230244942106747"
