"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"4.50000000000001"
"US National","Season onset","Bin","week","40","41","0.0209118455579685"
"US National","Season onset","Bin","week","41","42","0.022418562157616"
"US National","Season onset","Bin","week","42","43","0.0238971307077"
"US National","Season onset","Bin","week","43","44","0.02532198602196"
"US National","Season onset","Bin","week","44","45","0.0266904494402676"
"US National","Season onset","Bin","week","45","46","0.0279776134889207"
"US National","Season onset","Bin","week","46","47","0.0291840269472192"
"US National","Season onset","Bin","week","47","48","0.0302879589945673"
"US National","Season onset","Bin","week","48","49","0.0312917562790045"
"US National","Season onset","Bin","week","49","50","0.0321783577501651"
"US National","Season onset","Bin","week","50","51","0.0329514177421794"
"US National","Season onset","Bin","week","51","52","0.0335979326223311"
"US National","Season onset","Bin","week","52","1","0.0341228830705348"
"US National","Season onset","Bin","week","1","2","0.0345163415754394"
"US National","Season onset","Bin","week","2","3","0.0347832532731634"
"US National","Season onset","Bin","week","3","4","0.0349178692497503"
"US National","Season onset","Bin","week","4","5","0.0349223205840065"
"US National","Season onset","Bin","week","5","6","0.0347965759324283"
"US National","Season onset","Bin","week","6","7","0.0345384535553911"
"US National","Season onset","Bin","week","7","8","0.0341538700985426"
"US National","Season onset","Bin","week","8","9","0.0336372219232006"
"US National","Season onset","Bin","week","9","10","0.0329999812824056"
"US National","Season onset","Bin","week","10","11","0.0322337275612764"
"US National","Season onset","Bin","week","11","12","0.0313570854353677"
"US National","Season onset","Bin","week","12","13","0.0303579595412068"
"US National","Season onset","Bin","week","13","14","0.0292645370443371"
"US National","Season onset","Bin","week","14","15","0.0280602951806186"
"US National","Season onset","Bin","week","15","16","0.0267834937591616"
"US National","Season onset","Bin","week","16","17","0.0254143591492748"
"US National","Season onset","Bin","week","17","18","0.0239994420820028"
"US National","Season onset","Bin","week","18","19","0.0225169195115631"
"US National","Season onset","Bin","week","19","20","0.0210194795748027"
"US National","Season onset","Bin","week","20","21","0.019483128199744"
"US National","Season onset","Bin","week","none","none","0.0294117647058824"
"US National","Season peak week","Point","week",NA,NA,"4.49999999999999"
"US National","Season peak week","Bin","week","40","41","0.0214904625255043"
"US National","Season peak week","Bin","week","41","42","0.0230617833092533"
"US National","Season peak week","Bin","week","42","43","0.0245901672031511"
"US National","Season peak week","Bin","week","43","44","0.0260729319448826"
"US National","Season peak week","Bin","week","44","45","0.0274887158582961"
"US National","Season peak week","Bin","week","45","46","0.0288247823628061"
"US National","Season peak week","Bin","week","46","47","0.0300734733735316"
"US National","Season peak week","Bin","week","47","48","0.03121590183253"
"US National","Season peak week","Bin","week","48","49","0.0322552046203465"
"US National","Season peak week","Bin","week","49","50","0.0331697673411089"
"US National","Season peak week","Bin","week","50","51","0.0339703987041029"
"US National","Season peak week","Bin","week","51","52","0.034635257616353"
"US National","Season peak week","Bin","week","52","1","0.0351790815056007"
"US National","Season peak week","Bin","week","1","2","0.0355831941171795"
"US National","Season peak week","Bin","week","2","3","0.0358589022885545"
"US National","Season peak week","Bin","week","3","4","0.0359973108993367"
"US National","Season peak week","Bin","week","4","5","0.0360019223798174"
"US National","Season peak week","Bin","week","5","6","0.0358721331765616"
"US National","Season peak week","Bin","week","6","7","0.0356067742685243"
"US National","Season peak week","Bin","week","7","8","0.0352089833223576"
"US National","Season peak week","Bin","week","8","9","0.0346784855240729"
"US National","Season peak week","Bin","week","9","10","0.0340172069097106"
"US National","Season peak week","Bin","week","10","11","0.0332313514630856"
"US National","Season peak week","Bin","week","11","12","0.0323181229174642"
"US National","Season peak week","Bin","week","12","13","0.0312944761981934"
"US National","Season peak week","Bin","week","13","14","0.0301509343893048"
"US National","Season peak week","Bin","week","14","15","0.0289182821904736"
"US National","Season peak week","Bin","week","15","16","0.0275781985811958"
"US National","Season peak week","Bin","week","16","17","0.0261772856648438"
"US National","Season peak week","Bin","week","17","18","0.0246893213952389"
"US National","Season peak week","Bin","week","18","19","0.0231706037556578"
"US National","Season peak week","Bin","week","19","20","0.0215976651358113"
