"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,52
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0.0074
"US National","Season onset","Bin","week","46","47",0.0173
"US National","Season onset","Bin","week","47","48",0.0219
"US National","Season onset","Bin","week","48","49",0.046
"US National","Season onset","Bin","week","49","50",0.0903
"US National","Season onset","Bin","week","50","51",0.1195
"US National","Season onset","Bin","week","51","52",0.1509
"US National","Season onset","Bin","week","52","53",0.1452
"US National","Season onset","Bin","week","1","2",0.1211
"US National","Season onset","Bin","week","2","3",0.076
"US National","Season onset","Bin","week","3","4",0.0396
"US National","Season onset","Bin","week","4","5",0.0257
"US National","Season onset","Bin","week","5","6",0.0207
"US National","Season onset","Bin","week","6","7",0.0202
"US National","Season onset","Bin","week","7","8",0.0253
"US National","Season onset","Bin","week","8","9",0.0037
"US National","Season onset","Bin","week","9","10",0.0022
"US National","Season onset","Bin","week","10","11",8e-04
"US National","Season onset","Bin","week","11","12",0.0016
"US National","Season onset","Bin","week","12","13",0.0014
"US National","Season onset","Bin","week","13","14",7e-04
"US National","Season onset","Bin","week","14","15",6e-04
"US National","Season onset","Bin","week","15","16",5e-04
"US National","Season onset","Bin","week","16","17",6e-04
"US National","Season onset","Bin","week","17","18",4e-04
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.0604
"US National","Season peak week","Point","week",NA,NA,7
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0.000272628135223555
"US National","Season peak week","Bin","week","46","47",0.00054525627044711
"US National","Season peak week","Bin","week","47","48",0.000817884405670666
"US National","Season peak week","Bin","week","48","49",0.00390766993820429
"US National","Season peak week","Bin","week","49","50",0.0074518356961105
"US National","Season peak week","Bin","week","50","51",0.0164485641584878
"US National","Season peak week","Bin","week","51","52",0.0357142857142857
"US National","Season peak week","Bin","week","52","53",0.0565249000363504
"US National","Season peak week","Bin","week","1","2",0.0657033805888768
"US National","Season peak week","Bin","week","2","3",0.0628862231915667
"US National","Season peak week","Bin","week","3","4",0.0623409669211196
"US National","Season peak week","Bin","week","4","5",0.0537986186841149
"US National","Season peak week","Bin","week","5","6",0.0478007997091967
"US National","Season peak week","Bin","week","6","7",0.0248091603053435
"US National","Season peak week","Bin","week","7","8",0.2546346782988
"US National","Season peak week","Bin","week","8","9",0.157851690294438
"US National","Season peak week","Bin","week","9","10",0.0844238458742275
"US National","Season peak week","Bin","week","10","11",0.0112686295892403
"US National","Season peak week","Bin","week","11","12",0.0142675390766994
"US National","Season peak week","Bin","week","12","13",0.0102689930934206
"US National","Season peak week","Bin","week","13","14",0.00799709196655762
"US National","Season peak week","Bin","week","14","15",0.00490730643402399
"US National","Season peak week","Bin","week","15","16",0.00408942202835332
"US National","Season peak week","Bin","week","16","17",0.00354416575790621
"US National","Season peak week","Bin","week","17","18",0.00236277717193748
"US National","Season peak week","Bin","week","18","19",0.00181752090149037
"US National","Season peak week","Bin","week","19","20",0.00136314067611778
"US National","Season peak week","Bin","week","20","21",0.00218102508178844
"US National","Season peak percentage","Point","percent",NA,NA,5
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",4e-04
"US National","Season peak percentage","Bin","percent","1.8","1.9",4e-04
"US National","Season peak percentage","Bin","percent","1.9","2",0.0013
"US National","Season peak percentage","Bin","percent","2","2.1",0.0019
"US National","Season peak percentage","Bin","percent","2.1","2.2",0.0027
"US National","Season peak percentage","Bin","percent","2.2","2.3",0.0016
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.0029
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.0058
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0063
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.0086
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0097
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0096
"US National","Season peak percentage","Bin","percent","2.9","3",0.0135
"US National","Season peak percentage","Bin","percent","3","3.1",0.011
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0137
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0183
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0191
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0217
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0193
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0218
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0243
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0257
"US National","Season peak percentage","Bin","percent","3.9","4",0.0276
"US National","Season peak percentage","Bin","percent","4","4.1",0.0247
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0206
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0215
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.021
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.024
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0251
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0224
