Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,51
US National,Season onset,Bin,week,40,41,0.0281562267637758
US National,Season onset,Bin,week,41,42,0.0175307571925854
US National,Season onset,Bin,week,42,43,0.00187217045609437
US National,Season onset,Bin,week,43,44,0.00280422919040931
US National,Season onset,Bin,week,44,45,0.0132432870147367
US National,Season onset,Bin,week,45,46,0.0357991083851583
US National,Season onset,Bin,week,46,47,0.0312320205870151
US National,Season onset,Bin,week,47,48,0.0470770190703691
US National,Season onset,Bin,week,48,49,0.0490343424124305
US National,Season onset,Bin,week,49,50,0.0796058688979606
US National,Season onset,Bin,week,50,51,0.177378830127598
US National,Season onset,Bin,week,51,52,0.189775211293987
US National,Season onset,Bin,week,52,53,0.090044926722288
US National,Season onset,Bin,week,1,2,0.0245211976999475
US National,Season onset,Bin,week,2,3,0.0188356394206263
US National,Season onset,Bin,week,3,4,0.0313252264604466
US National,Season onset,Bin,week,4,5,0.0285290502575017
US National,Season onset,Bin,week,5,6,0.0333757556759394
US National,Season onset,Bin,week,6,7,0.016319080837976
US National,Season onset,Bin,week,7,8,0.00159255283579988
US National,Season onset,Bin,week,8,9,0.000101258860895975
US National,Season onset,Bin,week,9,10,0.000101258860895975
US National,Season onset,Bin,week,10,11,0.000101258860895975
US National,Season onset,Bin,week,11,12,0.000101258860895975
US National,Season onset,Bin,week,12,13,0.000101258860895975
US National,Season onset,Bin,week,13,14,0.000101258860895975
US National,Season onset,Bin,week,14,15,0.000101258860895975
US National,Season onset,Bin,week,15,16,0.000101258860895975
US National,Season onset,Bin,week,16,17,0.000101258860895975
US National,Season onset,Bin,week,17,18,0.000101258860895975
US National,Season onset,Bin,week,18,19,0.000101258860895975
US National,Season onset,Bin,week,19,20,0.000101258860895975
US National,Season onset,Bin,week,20,21,0.000101258860895975
US National,Season onset,Bin,week,none,none,0.080631133505707
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00745742215055931
US National,Season peak week,Bin,week,41,42,0.00997682152574826
US National,Season peak week,Bin,week,42,43,0.0100775975007558
US National,Season peak week,Bin,week,43,44,0.00806207800060466
US National,Season peak week,Bin,week,44,45,0.00826362995061977
US National,Season peak week,Bin,week,45,46,0.00574423057543082
US National,Season peak week,Bin,week,46,47,0.00644966240048372
US National,Season peak week,Bin,week,47,48,0.00735664617555175
US National,Season peak week,Bin,week,48,49,0.0125969968759448
US National,Season peak week,Bin,week,49,50,0.0200544190265041
US National,Season peak week,Bin,week,50,51,0.0317444321273808
US National,Season peak week,Bin,week,51,52,0.0425274614531896
US National,Season peak week,Bin,week,52,53,0.0472639322785448
US National,Season peak week,Bin,week,1,2,0.0526050589539454
US National,Season peak week,Bin,week,2,3,0.0624811045046861
US National,Season peak week,Bin,week,3,4,0.0658067116799355
US National,Season peak week,Bin,week,4,5,0.0756827572306762
US National,Season peak week,Bin,week,5,6,0.0907991534818099
US National,Season peak week,Bin,week,6,7,0.0892875138566966
US National,Season peak week,Bin,week,7,8,0.0890859619066814
US National,Season peak week,Bin,week,8,9,0.076186637105714
US National,Season peak week,Bin,week,9,10,0.0616748967046256
US National,Season peak week,Bin,week,10,11,0.0450468608283785
US National,Season peak week,Bin,week,11,12,0.0300312405522523
US National,Season peak week,Bin,week,12,13,0.0177365716013302
US National,Season peak week,Bin,week,13,14,0.0118915650508919
US National,Season peak week,Bin,week,14,15,0.00584500655043838
US National,Season peak week,Bin,week,15,16,0.00393026302529477
US National,Season peak week,Bin,week,16,17,0.00251939937518895
US National,Season peak week,Bin,week,17,18,0.00141086365010581
US National,Season peak week,Bin,week,18,19,0.000100775975007558
US National,Season peak week,Bin,week,19,20,0.000201551950015116
US National,Season peak week,Bin,week,20,21,0.000100775975007558
US National,Season peak percentage,Point,percent,NA,NA,4.9
US National,Season peak percentage,Bin,percent,0,0.1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.1,0.2,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.2,0.3,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.3,0.4,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.4,0.5,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.5,0.6,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.6,0.7,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.7,0.8,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.8,0.9,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.9,1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,1,1.1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,1.1,1.2,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,1.2,1.3,0.000197413878195637
US National,Season peak percentage,Bin,percent,1.3,1.4,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,1.4,1.5,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000394827756391274
US National,Season peak percentage,Bin,percent,1.6,1.7,0.000789655512782549
US National,Season peak percentage,Bin,percent,1.7,1.8,0.000789655512782549
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00325732899022801
US National,Season peak percentage,Bin,percent,1.9,2,0.00315862205113019
US National,Season peak percentage,Bin,percent,2,2.1,0.00414569144210838
US National,Season peak percentage,Bin,percent,2.1,2.2,0.00621853716316257
US National,Season peak percentage,Bin,percent,2.2,2.3,0.00740302043233639
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0079952620669233
US National,Season peak percentage,Bin,percent,2.4,2.5,0.01085776330076
US National,Season peak percentage,Bin,percent,2.5,2.6,0.00996940084887968
US National,Season peak percentage,Bin,percent,2.6,2.7,0.014707333925575
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0150034547428684
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0137202645345968
US National,Season peak percentage,Bin,percent,2.9,3,0.0173724212812161
US National,Season peak percentage,Bin,percent,3,3.1,0.0209258710887375
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0187543184285855
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0219129404797157
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0229000098706939
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0228013029315961
US National,Season peak percentage,Bin,percent,3.5,3.6,0.0219129404797157
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0226038890534005
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0225051821143026
US National,Season peak percentage,Bin,percent,3.8,3.9,0.022307768236107
US National,Season peak percentage,Bin,percent,3.9,4,0.0178659559767052
US National,Season peak percentage,Bin,percent,4,4.1,0.0180633698549008
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0185569045503899
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0202349225150528
US National,Season peak percentage,Bin,percent,4.3,4.4,0.0174711282203139
US National,Season peak percentage,Bin,percent,4.4,4.5,0.015793110255651
US National,Season peak percentage,Bin,percent,4.5,4.6,0.0162866449511401
US National,Season peak percentage,Bin,percent,4.6,4.7,0.0170763004639226
US National,Season peak percentage,Bin,percent,4.7,4.8,0.0159905241338466
US National,Season peak percentage,Bin,percent,4.8,4.9,0.0140163853518902
US National,Season peak percentage,Bin,percent,4.9,5,0.015793110255651
US National,Season peak percentage,Bin,percent,5,5.1,0.014707333925575
US National,Season peak percentage,Bin,percent,5.1,5.2,0.0144112131082815
US National,Season peak percentage,Bin,percent,5.2,5.3,0.0124370743263251
US National,Season peak percentage,Bin,percent,5.3,5.4,0.0174711282203139
US National,Season peak percentage,Bin,percent,5.4,5.5,0.0158918171947488
US National,Season peak percentage,Bin,percent,5.5,5.6,0.0146086269864771
US National,Season peak percentage,Bin,percent,5.6,5.7,0.0137202645345968
US National,Season peak percentage,Bin,percent,5.7,5.8,0.0151021616819662
US National,Season peak percentage,Bin,percent,5.8,5.9,0.0144112131082815
US National,Season peak percentage,Bin,percent,5.9,6,0.0166814727075313
US National,Season peak percentage,Bin,percent,6,6.1,0.0126344882045208
US National,Season peak percentage,Bin,percent,6.1,6.2,0.0131280229000099
US National,Season peak percentage,Bin,percent,6.2,6.3,0.0146086269864771
US National,Season peak percentage,Bin,percent,6.3,6.4,0.0137202645345968
US National,Season peak percentage,Bin,percent,6.4,6.5,0.0142137992300859
US National,Season peak percentage,Bin,percent,6.5,6.6,0.0151021616819662
US National,Season peak percentage,Bin,percent,6.6,6.7,0.0135228506564011
US National,Season peak percentage,Bin,percent,6.7,6.8,0.0126344882045208
US National,Season peak percentage,Bin,percent,6.8,6.9,0.0120422465699339
US National,Season peak percentage,Bin,percent,6.9,7,0.0131280229000099
US National,Season peak percentage,Bin,percent,7,7.1,0.0115487118744448
US National,Season peak percentage,Bin,percent,7.1,7.2,0.0138189714736946
US National,Season peak percentage,Bin,percent,7.2,7.3,0.0109564702398579
US National,Season peak percentage,Bin,percent,7.3,7.4,0.0101668147270753
US National,Season peak percentage,Bin,percent,7.4,7.5,0.00937715921429277
US National,Season peak percentage,Bin,percent,7.5,7.6,0.00927845227519495
US National,Season peak percentage,Bin,percent,7.6,7.7,0.00839008982331458
US National,Season peak percentage,Bin,percent,7.7,7.8,0.00868621064060804
US National,Season peak percentage,Bin,percent,7.8,7.9,0.010364228605271
US National,Season peak percentage,Bin,percent,7.9,8,0.00947586615339058
US National,Season peak percentage,Bin,percent,8,8.1,0.00779784818872767
US National,Season peak percentage,Bin,percent,8.1,8.2,0.00700819267594512
US National,Season peak percentage,Bin,percent,8.2,8.3,0.00631724410226039
US National,Season peak percentage,Bin,percent,8.3,8.4,0.00700819267594512
US National,Season peak percentage,Bin,percent,8.4,8.5,0.00661336491955385
US National,Season peak percentage,Bin,percent,8.5,8.6,0.00572500246767348
US National,Season peak percentage,Bin,percent,8.6,8.7,0.0058237094067713
US National,Season peak percentage,Bin,percent,8.7,8.8,0.00434310532030402
US National,Season peak percentage,Bin,percent,8.8,8.9,0.00473793307669529
US National,Season peak percentage,Bin,percent,8.9,9,0.00523146777218439
US National,Season peak percentage,Bin,percent,9,9.1,0.00454051919849965
US National,Season peak percentage,Bin,percent,9.1,9.2,0.00276379429473892
US National,Season peak percentage,Bin,percent,9.2,9.3,0.00414569144210838
US National,Season peak percentage,Bin,percent,9.3,9.4,0.0026650873556411
US National,Season peak percentage,Bin,percent,9.4,9.5,0.00207284572105419
US National,Season peak percentage,Bin,percent,9.5,9.6,0.00286250123383674
US National,Season peak percentage,Bin,percent,9.6,9.7,0.00345474286842365
US National,Season peak percentage,Bin,percent,9.7,9.8,0.00345474286842365
US National,Season peak percentage,Bin,percent,9.8,9.9,0.00177672490376073
US National,Season peak percentage,Bin,percent,9.9,10,0.0015793110255651
US National,Season peak percentage,Bin,percent,10,10.1,0.00296120817293456
US National,Season peak percentage,Bin,percent,10.1,10.2,0.00177672490376073
US National,Season peak percentage,Bin,percent,10.2,10.3,0.00177672490376073
US National,Season peak percentage,Bin,percent,10.3,10.4,0.0015793110255651
US National,Season peak percentage,Bin,percent,10.4,10.5,0.00118448326917382
US National,Season peak percentage,Bin,percent,10.5,10.6,0.000789655512782549
US National,Season peak percentage,Bin,percent,10.6,10.7,0.0015793110255651
US National,Season peak percentage,Bin,percent,10.7,10.8,0.00148060408646728
US National,Season peak percentage,Bin,percent,10.8,10.9,0.00138189714736946
US National,Season peak percentage,Bin,percent,10.9,11,0.00069094857368473
US National,Season peak percentage,Bin,percent,11,11.1,0.000987069390978186
US National,Season peak percentage,Bin,percent,11.1,11.2,0.00069094857368473
US National,Season peak percentage,Bin,percent,11.2,11.3,0.000493534695489093
US National,Season peak percentage,Bin,percent,11.3,11.4,0.000394827756391274
US National,Season peak percentage,Bin,percent,11.4,11.5,0.000394827756391274
US National,Season peak percentage,Bin,percent,11.5,11.6,0.000493534695489093
US National,Season peak percentage,Bin,percent,11.6,11.7,0.000493534695489093
US National,Season peak percentage,Bin,percent,11.7,11.8,0.000197413878195637
US National,Season peak percentage,Bin,percent,11.8,11.9,0.000197413878195637
US National,Season peak percentage,Bin,percent,11.9,12,0.000296120817293456
US National,Season peak percentage,Bin,percent,12,12.1,0.000296120817293456
US National,Season peak percentage,Bin,percent,12.1,12.2,0.000493534695489093
US National,Season peak percentage,Bin,percent,12.2,12.3,0.000197413878195637
US National,Season peak percentage,Bin,percent,12.3,12.4,0.000296120817293456
US National,Season peak percentage,Bin,percent,12.4,12.5,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,12.5,12.6,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,12.6,12.7,0.000394827756391274
US National,Season peak percentage,Bin,percent,12.7,12.8,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,12.8,12.9,0.000197413878195637
US National,Season peak percentage,Bin,percent,12.9,13,0.000296120817293456
US National,Season peak percentage,Bin,percent,13,100,0.000394827756391274
US National,1 wk ahead,Point,percent,NA,NA,2.2
US National,1 wk ahead,Bin,percent,0,0.1,9.87069390978186e-05
US National,1 wk ahead,Bin,percent,0.1,0.2,9.87069390978186e-05
US National,1 wk ahead,Bin,percent,0.2,0.3,9.87069390978186e-05
US National,1 wk ahead,Bin,percent,0.3,0.4,9.87069390978186e-05
US National,1 wk ahead,Bin,percent,0.4,0.5,9.87069390978186e-05
US National,1 wk ahead,Bin,percent,0.5,0.6,0.000394827756391274
US National,1 wk ahead,Bin,percent,0.6,0.7,0.000592241634586911
US National,1 wk ahead,Bin,percent,0.7,0.8,0.00236896653834765
US National,1 wk ahead,Bin,percent,0.8,0.9,0.00454051919849965
US National,1 wk ahead,Bin,percent,0.9,1,0.00858750370151021
