"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,2
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0.3656
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0.0334
"US National","Season onset","Bin","week","5","6",0.0328
"US National","Season onset","Bin","week","6","7",0.018
"US National","Season onset","Bin","week","7","8",0.0171
"US National","Season onset","Bin","week","8","9",0.0163
"US National","Season onset","Bin","week","9","10",0.0144
"US National","Season onset","Bin","week","10","11",0.0161
"US National","Season onset","Bin","week","11","12",0.0128
"US National","Season onset","Bin","week","12","13",0.0123
"US National","Season onset","Bin","week","13","14",0.0113
"US National","Season onset","Bin","week","14","15",0.006
"US National","Season onset","Bin","week","15","16",0.0098
"US National","Season onset","Bin","week","16","17",0.0091
"US National","Season onset","Bin","week","17","18",0.0123
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.4127
"US National","Season peak week","Point","week",NA,NA,52
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0
"US National","Season peak week","Bin","week","52","53",0.589616699658089
"US National","Season peak week","Bin","week","1","2",0
"US National","Season peak week","Bin","week","2","3",0
"US National","Season peak week","Bin","week","3","4",0.0132265610941155
"US National","Season peak week","Bin","week","4","5",0.0179953212164837
"US National","Season peak week","Bin","week","5","6",0.0239337772179233
"US National","Season peak week","Bin","week","6","7",0.0299622098254454
"US National","Season peak week","Bin","week","7","8",0.0268130286125607
"US National","Season peak week","Bin","week","8","9",0.0199748065502969
"US National","Season peak week","Bin","week","9","10",0.027082958430808
"US National","Season peak week","Bin","week","10","11",0.0302321396436926
"US National","Season peak week","Bin","week","11","12",0.0260932157639014
"US National","Season peak week","Bin","week","12","13",0.0234838941875112
"US National","Season peak week","Bin","week","13","14",0.0247435666726651
"US National","Season peak week","Bin","week","14","15",0.0210545258232859
"US National","Season peak week","Bin","week","15","16",0.0173654849739068
"US National","Season peak week","Bin","week","16","17",0.0113370523663847
"US National","Season peak week","Bin","week","17","18",0.0180852978225661
"US National","Season peak week","Bin","week","18","19",0.0195249235198848
"US National","Season peak week","Bin","week","19","20",0.0238438006118409
