location,year,value
US National,2007,2.2
HHS Region 1,2007,1.4
HHS Region 2,2007,3
HHS Region 3,2007,3.6
HHS Region 4,2007,1.8
HHS Region 5,2007,2.6
HHS Region 6,2007,4.1
HHS Region 7,2007,1.9
HHS Region 8,2007,1.6
HHS Region 9,2007,3.4
HHS Region 10,2007,3.3
US National,2008,2.4
HHS Region 1,2008,1.5
HHS Region 2,2008,2.9
HHS Region 3,2008,3.5
HHS Region 4,2008,2
HHS Region 5,2008,1.9
HHS Region 6,2008,4.6
HHS Region 7,2008,1.8
HHS Region 8,2008,1.5
HHS Region 9,2008,2.7
HHS Region 10,2008,3.5
US National,2009,2.3
HHS Region 1,2009,1.2
HHS Region 2,2009,2.3
HHS Region 3,2009,3
HHS Region 4,2009,2
HHS Region 5,2009,1.7
HHS Region 6,2009,4.8
HHS Region 7,2009,1.9
HHS Region 8,2009,1.3
HHS Region 9,2009,2.8
HHS Region 10,2009,3.3
US National,2010,2.5
HHS Region 1,2010,1.4
HHS Region 2,2010,2.4
HHS Region 3,2010,2.6
HHS Region 4,2010,2.3
HHS Region 5,2010,1.8
HHS Region 6,2010,4.9
HHS Region 7,2010,2.3
HHS Region 8,2010,1.7
HHS Region 9,2010,4.1
HHS Region 10,2010,2.2
US National,2011,2.4
HHS Region 1,2011,1.1
HHS Region 2,2011,2.5
HHS Region 3,2011,2.5
HHS Region 4,2011,2.3
HHS Region 5,2011,1.6
HHS Region 6,2011,4.3
HHS Region 7,2011,2.3
HHS Region 8,2011,2.1
HHS Region 9,2011,3.9
HHS Region 10,2011,2.2
US National,2012,2.2
HHS Region 1,2012,1
HHS Region 2,2012,2
HHS Region 3,2012,2.2
HHS Region 4,2012,2.3
HHS Region 5,2012,1.5
HHS Region 6,2012,3.4
HHS Region 7,2012,2.1
HHS Region 8,2012,1.9
HHS Region 9,2012,3.5
HHS Region 10,2012,1.4
US National,2013,2
HHS Region 1,2013,1.2
HHS Region 2,2013,2.2
HHS Region 3,2013,2
HHS Region 4,2013,1.9
HHS Region 5,2013,1.6
HHS Region 6,2013,2.9
HHS Region 7,2013,1.8
HHS Region 8,2013,1.3
HHS Region 9,2013,2.9
HHS Region 10,2013,1.3
US National,2014,2
HHS Region 1,2014,1.2
HHS Region 2,2014,2.3
HHS Region 3,2014,2
HHS Region 4,2014,1.9
HHS Region 5,2014,1.7
HHS Region 6,2014,3.2
HHS Region 7,2014,1.7
HHS Region 8,2014,1.3
HHS Region 9,2014,2.7
HHS Region 10,2014,1.1
US National,2015,2.1
HHS Region 1,2015,1.3
HHS Region 2,2015,2.3
HHS Region 3,2015,1.8
HHS Region 4,2015,1.6
HHS Region 5,2015,1.9
HHS Region 6,2015,3.6
HHS Region 7,2015,1.7
HHS Region 8,2015,1.4
HHS Region 9,2015,2.6
HHS Region 10,2015,1.1
US National,2016,2.2
HHS Region 1,2016,1.4
HHS Region 2,2016,3
HHS Region 3,2016,2.2
HHS Region 4,2016,1.7
HHS Region 5,2016,1.9
HHS Region 6,2016,4.1
HHS Region 7,2016,1.8
HHS Region 8,2016,1.4
HHS Region 9,2016,2.5
HHS Region 10,2016,1.1
US National,2017,2.2
HHS Region 1,2017,1.4
HHS Region 2,2017,3.1
HHS Region 3,2017,2
HHS Region 4,2017,1.9
HHS Region 5,2017,1.8
HHS Region 6,2017,4.2
HHS Region 7,2017,1.9
HHS Region 8,2017,1.3
HHS Region 9,2017,2.4
HHS Region 10,2017,1.4
