Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.0208800095241873
US National,Season onset,Bin,week,41,42,0.02496224084689064
US National,Season onset,Bin,week,42,43,0.029433714705082707
US National,Season onset,Bin,week,43,44,0.03422605064395014
US National,Season onset,Bin,week,44,45,0.03919348756018657
US National,Season onset,Bin,week,45,46,0.0441431899768769
US National,Season onset,Bin,week,46,47,0.048744027665200564
US National,Season onset,Bin,week,47,48,0.052645325548185976
US National,Season onset,Bin,week,48,49,0.05551528392035594
US National,Season onset,Bin,week,49,50,0.05705846127524315
US National,Season onset,Bin,week,50,51,0.05715854206090002
US National,Season onset,Bin,week,51,52,0.0558440344839416
US National,Season onset,Bin,week,52,53,0.05333316103645938
US National,Season onset,Bin,week,1,2,0.049940659144046204
US National,Season onset,Bin,week,2,3,0.04602656308690946
US National,Season onset,Bin,week,3,4,0.041947466665578276
US National,Season onset,Bin,week,4,5,0.03792670657493114
US National,Season onset,Bin,week,5,6,0.034111701773428135
US National,Season onset,Bin,week,6,7,0.030552595431794956
US National,Season onset,Bin,week,7,8,0.027213457827038302
US National,Season onset,Bin,week,8,9,0.024081439960845514
US National,Season onset,Bin,week,9,10,0.021139044262480616
US National,Season onset,Bin,week,10,11,0.018384426362422997
US National,Season onset,Bin,week,11,12,0.015875799583964276
US National,Season onset,Bin,week,12,13,0.013641117439132272
US National,Season onset,Bin,week,13,14,0.011699571270176113
US National,Season onset,Bin,week,14,15,0.010064951126677994
US National,Season onset,Bin,week,15,16,0.008696839761124267
US National,Season onset,Bin,week,16,17,0.0075465634345265
US National,Season onset,Bin,week,17,18,0.006561416925108855
US National,Season onset,Bin,week,18,19,0.005682073911588728
US National,Season onset,Bin,week,19,20,0.00487183552865368
US National,Season onset,Bin,week,20,21,0.004110910365368702
US National,Season onset,Bin,week,none,none,0.006787330316742081
US National,Season peak week,Point,week,NA,NA,7
US National,Season peak week,Bin,week,40,41,0.011199548037534035
US National,Season peak week,Bin,week,41,42,0.012805212454075189
US National,Season peak week,Bin,week,42,43,0.014383693663910098
US National,Season peak week,Bin,week,43,44,0.015973556488765556
US National,Season peak week,Bin,week,44,45,0.01765933803367712
US National,Season peak week,Bin,week,45,46,0.01954288004160345
US National,Season peak week,Bin,week,46,47,0.021710993640463142
US National,Season peak week,Bin,week,47,48,0.024234250051912508
US National,Season peak week,Bin,week,48,49,0.027102218875526083
US National,Season peak week,Bin,week,49,50,0.030298199316320083
US National,Season peak week,Bin,week,50,51,0.0337011178271482
US National,Season peak week,Bin,week,51,52,0.037240698676766236
US National,Season peak week,Bin,week,52,53,0.04075869338587233
US National,Season peak week,Bin,week,1,2,0.04416790327781376
US National,Season peak week,Bin,week,2,3,0.04731111532447702
US National,Season peak week,Bin,week,3,4,0.05005286114567924
US National,Season peak week,Bin,week,4,5,0.052201475388988304
US National,Season peak week,Bin,week,5,6,0.05355630725161946
US National,Season peak week,Bin,week,6,7,0.05391832385153402
US National,Season peak week,Bin,week,7,8,0.053136222108316665
US National,Season peak week,Bin,week,8,9,0.05114097491792823
US National,Season peak week,Bin,week,9,10,0.04800700644501775
US National,Season peak week,Bin,week,10,11,0.04388230968994124
US National,Season peak week,Bin,week,11,12,0.039094491163431215
US National,Season peak week,Bin,week,12,13,0.03392370479632984
US National,Season peak week,Bin,week,13,14,0.028760123420849763
US National,Season peak week,Bin,week,14,15,0.023842818620489967
US National,Season peak week,Bin,week,15,16,0.019412687808399547
US National,Season peak week,Bin,week,16,17,0.015561015429474797
US National,Season peak week,Bin,week,17,18,0.012330433352333478
US National,Season peak week,Bin,week,18,19,0.009685428273284148
US National,Season peak week,Bin,week,19,20,0.007552014304636757
US National,Season peak week,Bin,week,20,21,0.005852382935880794
US National,Season peak percentage,Point,percent,NA,NA,5
US National,Season peak percentage,Bin,percent,0,0.1,0.002188879120025157
US National,Season peak percentage,Bin,percent,0.1,0.2,0.002386201869375903
US National,Season peak percentage,Bin,percent,0.2,0.3,0.002593240585295286
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0028130739823519274
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0030583328218690142
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0033049266672018564
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0035642855785699393
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0038404434619962475
US National,Season peak percentage,Bin,percent,0.8,0.9,0.004136768760075343
US National,Season peak percentage,Bin,percent,0.9,1,0.004434480286483201
US National,Season peak percentage,Bin,percent,1,1.1,0.004743907905619223
US National,Season peak percentage,Bin,percent,1.1,1.2,0.005073863731811163
US National,Season peak percentage,Bin,percent,1.2,1.3,0.005413245656468494
US National,Season peak percentage,Bin,percent,1.3,1.4,0.005754253266979356
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0061037212489198625
US National,Season peak percentage,Bin,percent,1.5,1.6,0.006476130646263207
US National,Season peak percentage,Bin,percent,1.6,1.7,0.006842912737701297
US National,Season peak percentage,Bin,percent,1.7,1.8,0.007210947359838184
US National,Season peak percentage,Bin,percent,1.8,1.9,0.007584092904743705
US National,Season peak percentage,Bin,percent,1.9,2,0.007975226674501484
US National,Season peak percentage,Bin,percent,2,2.1,0.00834862347353152
US National,Season peak percentage,Bin,percent,2.1,2.2,0.00872061440765458
US National,Season peak percentage,Bin,percent,2.2,2.3,0.00909666182838213
US National,Season peak percentage,Bin,percent,2.3,2.4,0.009472944642012373
US National,Season peak percentage,Bin,percent,2.4,2.5,0.0098305155358387
US National,Season peak percentage,Bin,percent,2.5,2.6,0.010180155953766043
US National,Season peak percentage,Bin,percent,2.6,2.7,0.01053170568714317
US National,Season peak percentage,Bin,percent,2.7,2.8,0.010866764329329748
US National,Season peak percentage,Bin,percent,2.8,2.9,0.011183153715270384
US National,Season peak percentage,Bin,percent,2.9,3,0.01148625452940973
US National,Season peak percentage,Bin,percent,3,3.1,0.011787809646224905
US National,Season peak percentage,Bin,percent,3.1,3.2,0.012060996094469452
US National,Season peak percentage,Bin,percent,3.2,3.3,0.012316389100318566
US National,Season peak percentage,Bin,percent,3.3,3.4,0.012557145189766269
US National,Season peak percentage,Bin,percent,3.4,3.5,0.012786860916968477
US National,Season peak percentage,Bin,percent,3.5,3.6,0.012988534242956654
US National,Season peak percentage,Bin,percent,3.6,3.7,0.013172243879837682
US National,Season peak percentage,Bin,percent,3.7,3.8,0.013341594787099719
US National,Season peak percentage,Bin,percent,3.8,3.9,0.013492444306469472
US National,Season peak percentage,Bin,percent,3.9,4,0.01362083223012586
US National,Season peak percentage,Bin,percent,4,4.1,0.013731864747071481
US National,Season peak percentage,Bin,percent,4.1,4.2,0.013828490694555304
US National,Season peak percentage,Bin,percent,4.2,4.3,0.013905696228976904
US National,Season peak percentage,Bin,percent,4.3,4.4,0.013965374492000268
US National,Season peak percentage,Bin,percent,4.4,4.5,0.014009708966394616
US National,Season peak percentage,Bin,percent,4.5,4.6,0.014039946282597228
US National,Season peak percentage,Bin,percent,4.6,4.7,0.014053649848218249
US National,Season peak percentage,Bin,percent,4.7,4.8,0.014053808474226357
US National,Season peak percentage,Bin,percent,4.8,4.9,0.014040554051350686
US National,Season peak percentage,Bin,percent,4.9,5,0.014013477748594846
US National,Season peak percentage,Bin,percent,5,5.1,0.013974987830636791
US National,Season peak percentage,Bin,percent,5.1,5.2,0.013925062587726144
US National,Season peak percentage,Bin,percent,5.2,5.3,0.013861791531657943
