Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,,,49.0
US National,Season onset,Bin,week,40,41,0.0
US National,Season onset,Bin,week,41,42,0.0
US National,Season onset,Bin,week,42,43,0.0
US National,Season onset,Bin,week,43,44,0.0
US National,Season onset,Bin,week,44,45,0.0
US National,Season onset,Bin,week,45,46,0.0
US National,Season onset,Bin,week,46,47,0.0
US National,Season onset,Bin,week,47,48,0.0
US National,Season onset,Bin,week,48,49,0.11725504008966793
US National,Season onset,Bin,week,49,50,0.4727970110611681
US National,Season onset,Bin,week,50,51,0.4099479488491641
US National,Season onset,Bin,week,51,52,0.0
US National,Season onset,Bin,week,52,53,0.0
US National,Season onset,Bin,week,1,2,0.0
US National,Season onset,Bin,week,2,3,0.0
US National,Season onset,Bin,week,3,4,0.0
US National,Season onset,Bin,week,4,5,0.0
US National,Season onset,Bin,week,5,6,0.0
US National,Season onset,Bin,week,6,7,0.0
US National,Season onset,Bin,week,7,8,0.0
US National,Season onset,Bin,week,8,9,0.0
US National,Season onset,Bin,week,9,10,0.0
US National,Season onset,Bin,week,10,11,0.0
US National,Season onset,Bin,week,11,12,0.0
US National,Season onset,Bin,week,12,13,0.0
US National,Season onset,Bin,week,13,14,0.0
US National,Season onset,Bin,week,14,15,0.0
US National,Season onset,Bin,week,15,16,0.0
US National,Season onset,Bin,week,16,17,0.0
US National,Season onset,Bin,week,17,18,0.0
US National,Season onset,Bin,week,18,19,0.0
US National,Season onset,Bin,week,19,20,0.0
US National,Season onset,Bin,week,20,21,0.0
US National,Season onset,Bin,week,none,none,0.0
US National,Season peak week,Point,week,,,1.0
US National,Season peak week,Bin,week,40,41,0.0
US National,Season peak week,Bin,week,41,42,0.0
US National,Season peak week,Bin,week,42,43,0.0
US National,Season peak week,Bin,week,43,44,0.0
US National,Season peak week,Bin,week,44,45,0.0
US National,Season peak week,Bin,week,45,46,0.0
US National,Season peak week,Bin,week,46,47,0.0
US National,Season peak week,Bin,week,47,48,0.0
US National,Season peak week,Bin,week,48,49,0.0
US National,Season peak week,Bin,week,49,50,0.0
US National,Season peak week,Bin,week,50,51,0.0
US National,Season peak week,Bin,week,51,52,0.0
US National,Season peak week,Bin,week,52,53,7.755216640917595e-05
US National,Season peak week,Bin,week,1,2,0.4938996001706789
US National,Season peak week,Bin,week,2,3,0.08673952798605729
US National,Season peak week,Bin,week,3,4,0.00936499734213589
US National,Season peak week,Bin,week,4,5,0.2832772670698658
US National,Season peak week,Bin,week,5,6,0.10909366844208253
US National,Season peak week,Bin,week,6,7,0.017547386822770423
US National,Season peak week,Bin,week,7,8,0.0
US National,Season peak week,Bin,week,8,9,0.0
US National,Season peak week,Bin,week,9,10,0.0
US National,Season peak week,Bin,week,10,11,0.0
US National,Season peak week,Bin,week,11,12,0.0
US National,Season peak week,Bin,week,12,13,0.0
US National,Season peak week,Bin,week,13,14,0.0
US National,Season peak week,Bin,week,14,15,0.0
US National,Season peak week,Bin,week,15,16,0.0
US National,Season peak week,Bin,week,16,17,0.0
US National,Season peak week,Bin,week,17,18,0.0
US National,Season peak week,Bin,week,18,19,0.0
US National,Season peak week,Bin,week,19,20,0.0
US National,Season peak week,Bin,week,20,21,0.0
US National,Season peak percentage,Point,percent,,,5.579601471136973
US National,Season peak percentage,Bin,percent,0,0.1,0.0
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0
US National,Season peak percentage,Bin,percent,0.9,1,0.0
US National,Season peak percentage,Bin,percent,1,1.1,0.0
US National,Season peak percentage,Bin,percent,1.1,1.2,0.0
US National,Season peak percentage,Bin,percent,1.2,1.3,0.0
US National,Season peak percentage,Bin,percent,1.3,1.4,0.0
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0
US National,Season peak percentage,Bin,percent,1.5,1.6,0.0
US National,Season peak percentage,Bin,percent,1.6,1.7,0.0
US National,Season peak percentage,Bin,percent,1.7,1.8,0.0
US National,Season peak percentage,Bin,percent,1.8,1.9,0.0
US National,Season peak percentage,Bin,percent,1.9,2,0.0
US National,Season peak percentage,Bin,percent,2,2.1,0.0
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0
US National,Season peak percentage,Bin,percent,2.2,2.3,0.0
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0
US National,Season peak percentage,Bin,percent,2.4,2.5,0.0
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0
US National,Season peak percentage,Bin,percent,2.9,3,0.0
US National,Season peak percentage,Bin,percent,3,3.1,0.0
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0
US National,Season peak percentage,Bin,percent,3.5,3.6,0.0
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0
US National,Season peak percentage,Bin,percent,3.9,4,0.0
US National,Season peak percentage,Bin,percent,4,4.1,0.0
US National,Season peak percentage,Bin,percent,4.1,4.2,0.001614112242495417
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0032639839392800372
US National,Season peak percentage,Bin,percent,4.3,4.4,0.007361448125191756
US National,Season peak percentage,Bin,percent,4.4,4.5,0.01004360130931796
US National,Season peak percentage,Bin,percent,4.5,4.6,0.017796090143972737
US National,Season peak percentage,Bin,percent,4.6,4.7,0.03711675907394064
US National,Season peak percentage,Bin,percent,4.7,4.8,0.05494873419994838
US National,Season peak percentage,Bin,percent,4.8,4.9,0.10442076412661563
US National,Season peak percentage,Bin,percent,4.9,5,0.1235996869898727
US National,Season peak percentage,Bin,percent,5,5.1,0.0918668602269766
US National,Season peak percentage,Bin,percent,5.1,5.2,0.07408700469302322
US National,Season peak percentage,Bin,percent,5.2,5.3,0.04758117322733199
US National,Season peak percentage,Bin,percent,5.3,5.4,0.02919698154059694
US National,Season peak percentage,Bin,percent,5.4,5.5,0.02955353865923288
US National,Season peak percentage,Bin,percent,5.5,5.6,0.021793012183386005
US National,Season peak percentage,Bin,percent,5.6,5.7,0.05630788282688407
US National,Season peak percentage,Bin,percent,5.7,5.8,0.013799068078663188
US National,Season peak percentage,Bin,percent,5.8,5.9,0.01863433749981889
US National,Season peak percentage,Bin,percent,5.9,6,0.031109905182209487
US National,Season peak percentage,Bin,percent,6,6.1,0.010196445591371178
US National,Season peak percentage,Bin,percent,6.1,6.2,0.025621607217857605
US National,Season peak percentage,Bin,percent,6.2,6.3,0.014725125290758763
US National,Season peak percentage,Bin,percent,6.3,6.4,0.011761968842768176
US National,Season peak percentage,Bin,percent,6.4,6.5,0.013463629192141422
US National,Season peak percentage,Bin,percent,6.5,6.6,0.0035265049163429453
US National,Season peak percentage,Bin,percent,6.6,6.7,0.017023157906972355
US National,Season peak percentage,Bin,percent,6.7,6.8,0.0065631360993167655
US National,Season peak percentage,Bin,percent,6.8,6.9,0.003516627112325765
US National,Season peak percentage,Bin,percent,6.9,7,0.00529340422600486
US National,Season peak percentage,Bin,percent,7,7.1,0.015050351658536678
US National,Season peak percentage,Bin,percent,7.1,7.2,0.0021736933865478987
US National,Season peak percentage,Bin,percent,7.2,7.3,0.0037299985827179967
US National,Season peak percentage,Bin,percent,7.3,7.4,0.0067455837868477106
US National,Season peak percentage,Bin,percent,7.4,7.5,0.005516387163345117
US National,Season peak percentage,Bin,percent,7.5,7.6,0.01132485249005691
US National,Season peak percentage,Bin,percent,7.6,7.7,0.002431730080928263
US National,Season peak percentage,Bin,percent,7.7,7.8,0.003624752200918043
US National,Season peak percentage,Bin,percent,7.8,7.9,0.0070805621213837185
US National,Season peak percentage,Bin,percent,7.9,8,0.0017027485301224221
US National,Season peak percentage,Bin,percent,8,8.1,0.0068482032572644855
US National,Season peak percentage,Bin,percent,8.1,8.2,0.007642266370506291
US National,Season peak percentage,Bin,percent,8.2,8.3,0.007265398417336862
US National,Season peak percentage,Bin,percent,8.3,8.4,0.001124563366638727
US National,Season peak percentage,Bin,percent,8.4,8.5,0.0020506656795238
US National,Season peak percentage,Bin,percent,8.5,8.6,0.0007219475887391891
US National,Season peak percentage,Bin,percent,8.6,8.7,0.007004628624536222
US National,Season peak percentage,Bin,percent,8.7,8.8,0.003706088306595243
US National,Season peak percentage,Bin,percent,8.8,8.9,0.002607506750995415
US National,Season peak percentage,Bin,percent,8.9,9,0.0002864431506383397
US National,Season peak percentage,Bin,percent,9,9.1,0.0017839197089671876
US National,Season peak percentage,Bin,percent,9.1,9.2,0.0020260718151187762
US National,Season peak percentage,Bin,percent,9.2,9.3,0.0023795580360447093
US National,Season peak percentage,Bin,percent,9.3,9.4,5.500472390811153e-05
US National,Season peak percentage,Bin,percent,9.4,9.5,0.0030827519349431397
US National,Season peak percentage,Bin,percent,9.5,9.6,0.001407817753587072
US National,Season peak percentage,Bin,percent,9.6,9.7,0.001791929168480671
US National,Season peak percentage,Bin,percent,9.7,9.8,0.00012064314235574925
US National,Season peak percentage,Bin,percent,9.8,9.9,0.0026891104519156683
US National,Season peak percentage,Bin,percent,9.9,10,0.00023827108588139902
US National,Season peak percentage,Bin,percent,10,10.1,0.0
US National,Season peak percentage,Bin,percent,10.1,10.2,0.0
US National,Season peak percentage,Bin,percent,10.2,10.3,0.0
US National,Season peak percentage,Bin,percent,10.3,10.4,0.0
US National,Season peak percentage,Bin,percent,10.4,10.5,0.0
US National,Season peak percentage,Bin,percent,10.5,10.6,0.0
US National,Season peak percentage,Bin,percent,10.6,10.7,0.0
US National,Season peak percentage,Bin,percent,10.7,10.8,0.0
US National,Season peak percentage,Bin,percent,10.8,10.9,0.0
US National,Season peak percentage,Bin,percent,10.9,11,0.0
US National,Season peak percentage,Bin,percent,11,11.1,0.0
US National,Season peak percentage,Bin,percent,11.1,11.2,0.0
US National,Season peak percentage,Bin,percent,11.2,11.3,0.0
US National,Season peak percentage,Bin,percent,11.3,11.4,0.0
US National,Season peak percentage,Bin,percent,11.4,11.5,0.0
US National,Season peak percentage,Bin,percent,11.5,11.6,0.0
US National,Season peak percentage,Bin,percent,11.6,11.7,0.0
US National,Season peak percentage,Bin,percent,11.7,11.8,0.0
US National,Season peak percentage,Bin,percent,11.8,11.9,0.0
US National,Season peak percentage,Bin,percent,11.9,12,0.0
US National,Season peak percentage,Bin,percent,12,12.1,0.0
US National,Season peak percentage,Bin,percent,12.1,12.2,0.0
US National,Season peak percentage,Bin,percent,12.2,12.3,0.0
US National,Season peak percentage,Bin,percent,12.3,12.4,0.0
US National,Season peak percentage,Bin,percent,12.4,12.5,0.0
US National,Season peak percentage,Bin,percent,12.5,12.6,0.0
US National,Season peak percentage,Bin,percent,12.6,12.7,0.0
US National,Season peak percentage,Bin,percent,12.7,12.8,0.0
US National,Season peak percentage,Bin,percent,12.8,12.9,0.0
US National,Season peak percentage,Bin,percent,12.9,13,0.0
US National,Season peak percentage,Bin,percent,13,100,0.0
US National,1 wk ahead,Point,percent,,,5.088460584612384
US National,1 wk ahead,Bin,percent,0,0.1,0.0
US National,1 wk ahead,Bin,percent,0.1,0.2,0.0
US National,1 wk ahead,Bin,percent,0.2,0.3,0.0
US National,1 wk ahead,Bin,percent,0.3,0.4,0.0
US National,1 wk ahead,Bin,percent,0.4,0.5,0.0
US National,1 wk ahead,Bin,percent,0.5,0.6,0.0
US National,1 wk ahead,Bin,percent,0.6,0.7,0.0
US National,1 wk ahead,Bin,percent,0.7,0.8,0.0
US National,1 wk ahead,Bin,percent,0.8,0.9,0.0
US National,1 wk ahead,Bin,percent,0.9,1,0.0
US National,1 wk ahead,Bin,percent,1,1.1,0.0
US National,1 wk ahead,Bin,percent,1.1,1.2,0.0
US National,1 wk ahead,Bin,percent,1.2,1.3,0.0
US National,1 wk ahead,Bin,percent,1.3,1.4,0.0
US National,1 wk ahead,Bin,percent,1.4,1.5,0.0
US National,1 wk ahead,Bin,percent,1.5,1.6,0.0
US National,1 wk ahead,Bin,percent,1.6,1.7,0.0
US National,1 wk ahead,Bin,percent,1.7,1.8,0.0
US National,1 wk ahead,Bin,percent,1.8,1.9,0.0
US National,1 wk ahead,Bin,percent,1.9,2,0.0
US National,1 wk ahead,Bin,percent,2,2.1,0.0
US National,1 wk ahead,Bin,percent,2.1,2.2,0.0
US National,1 wk ahead,Bin,percent,2.2,2.3,0.0
US National,1 wk ahead,Bin,percent,2.3,2.4,0.0
US National,1 wk ahead,Bin,percent,2.4,2.5,0.0
US National,1 wk ahead,Bin,percent,2.5,2.6,0.0
US National,1 wk ahead,Bin,percent,2.6,2.7,0.0
US National,1 wk ahead,Bin,percent,2.7,2.8,0.0
US National,1 wk ahead,Bin,percent,2.8,2.9,0.0
US National,1 wk ahead,Bin,percent,2.9,3,0.0
US National,1 wk ahead,Bin,percent,3,3.1,0.0
US National,1 wk ahead,Bin,percent,3.1,3.2,0.0
US National,1 wk ahead,Bin,percent,3.2,3.3,0.0
US National,1 wk ahead,Bin,percent,3.3,3.4,0.0
US National,1 wk ahead,Bin,percent,3.4,3.5,0.0
US National,1 wk ahead,Bin,percent,3.5,3.6,0.0
