Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,0.0012160547592319658
US National,Season onset,Bin,week,41,42,0.00873263725658577
US National,Season onset,Bin,week,42,43,0.038426184653363366
US National,Season onset,Bin,week,43,44,0.07618340575111358
US National,Season onset,Bin,week,44,45,0.09601637391754546
US National,Season onset,Bin,week,45,46,0.12508317475667655
US National,Season onset,Bin,week,46,47,0.15737801978052676
US National,Season onset,Bin,week,47,48,0.15774939099590585
US National,Season onset,Bin,week,48,49,0.11597916661424038
US National,Season onset,Bin,week,49,50,0.076354956805643
US National,Season onset,Bin,week,50,51,0.0604393270691168
US National,Season onset,Bin,week,51,52,0.04494662594114076
US National,Season onset,Bin,week,52,53,0.019717687153414386
US National,Season onset,Bin,week,53,54,0.00435053685821149
US National,Season onset,Bin,week,1,2,0.001081956856600416
US National,Season onset,Bin,week,2,3,8.390304620737993e-4
US National,Season onset,Bin,week,3,4,8.328572165692965e-4
US National,Season onset,Bin,week,4,5,8.327969627605821e-4
US National,Season onset,Bin,week,5,6,8.327179616310943e-4
US National,Season onset,Bin,week,6,7,8.326743712124284e-4
US National,Season onset,Bin,week,7,8,8.326677566163209e-4
US National,Season onset,Bin,week,8,9,8.326674547617546e-4
US National,Season onset,Bin,week,9,10,8.32667450438933e-4
US National,Season onset,Bin,week,10,11,8.326674504456455e-4
US National,Season onset,Bin,week,11,12,8.326674505311621e-4
US National,Season onset,Bin,week,12,13,8.326674505236443e-4
US National,Season onset,Bin,week,13,14,8.326674505107562e-4
US National,Season onset,Bin,week,14,15,8.326674504704816e-4
US National,Season onset,Bin,week,15,16,8.326674472333328e-4
US National,Season onset,Bin,week,16,17,8.326664476568591e-4
US National,Season onset,Bin,week,17,18,8.325617867403035e-4
US National,Season onset,Bin,week,18,19,8.28809038599655e-4
US National,Season onset,Bin,week,19,20,7.818387364105605e-4
US National,Season onset,Bin,week,20,21,5.723629542902384e-4
US National,Season onset,Bin,week,none,none,8.321775312066575e-4
US National,Season peak week,Point,week,NA,NA,3
US National,Season peak week,Bin,week,40,41,5.988914509454772e-4
US National,Season peak week,Bin,week,41,42,7.98437992632457e-4
US National,Season peak week,Bin,week,42,43,8.511362293329121e-4
US National,Season peak week,Bin,week,43,44,8.571540301870239e-4
US National,Season peak week,Bin,week,44,45,8.574256096682325e-4
US National,Season peak week,Bin,week,45,46,8.610916607821069e-4
US National,Season peak week,Bin,week,46,47,9.435323818043274e-4
US National,Season peak week,Bin,week,47,48,0.0016868447707871627
US National,Season peak week,Bin,week,48,49,0.0048798059433818024
US National,Season peak week,Bin,week,49,50,0.013301123195765836
US National,Season peak week,Bin,week,50,51,0.02952232802063838
US National,Season peak week,Bin,week,51,52,0.04741047820875283
US National,Season peak week,Bin,week,52,53,0.05700607971317729
US National,Season peak week,Bin,week,53,54,0.06668348057212994
US National,Season peak week,Bin,week,1,2,0.0894568975186788
US National,Season peak week,Bin,week,2,3,0.1252257618255417
US National,Season peak week,Bin,week,3,4,0.15862385729763284
US National,Season peak week,Bin,week,4,5,0.16336142136386667
US National,Season peak week,Bin,week,5,6,0.12437089100978925
US National,Season peak week,Bin,week,6,7,0.0656161180235916
US National,Season peak week,Bin,week,7,8,0.024764410039226657
US National,Season peak week,Bin,week,8,9,0.008893590139655433
US National,Season peak week,Bin,week,9,10,0.0036548002030744467
US National,Season peak week,Bin,week,10,11,0.0014886335097633833
US National,Season peak week,Bin,week,11,12,9.237524033956263e-4
US National,Season peak week,Bin,week,12,13,8.604343753836465e-4
US National,Season peak week,Bin,week,13,14,8.573616452507005e-4
US National,Season peak week,Bin,week,14,15,8.570547912455504e-4
US National,Season peak week,Bin,week,15,16,8.571065166203889e-4
US National,Season peak week,Bin,week,16,17,8.573633464321928e-4
US National,Season peak week,Bin,week,17,18,8.570592845020588e-4
US National,Season peak week,Bin,week,18,19,0.00084975691776570275
US National,Season peak week,Bin,week,19,20,7.895776357167009e-4
US National,Season peak week,Bin,week,20,21,5.76342372880923e-4
