Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.0197466140900906
US National,Season onset,Bin,week,41,42,0.0134489299882229
US National,Season onset,Bin,week,42,43,0.00602330246512505
US National,Season onset,Bin,week,43,44,0.00592930718002254
US National,Season onset,Bin,week,44,45,0.0159868026859905
US National,Season onset,Bin,week,45,46,0.0252923359111384
US National,Season onset,Bin,week,46,47,0.0376057182595664
US National,Season onset,Bin,week,47,48,0.0547128601482221
US National,Season onset,Bin,week,48,49,0.0770837380026181
US National,Season onset,Bin,week,49,50,0.102838446120704
US National,Season onset,Bin,week,50,51,0.153783890646261
US National,Season onset,Bin,week,51,52,0.145418310272138
US National,Season onset,Bin,week,52,53,0.0982326771506815
US National,Season onset,Bin,week,53,54,0.040519572097744
US National,Season onset,Bin,week,1,2,0.0230364490686783
US National,Season onset,Bin,week,2,3,0.0262322887621634
US National,Season onset,Bin,week,3,4,0.0299921001662636
US National,Season onset,Bin,week,4,5,0.0259503029068559
US National,Season onset,Bin,week,5,6,0.0146708686945554
US National,Season onset,Bin,week,6,7,0.00536533546940752
US National,Season onset,Bin,week,7,8,0.000665571214282321
US National,Season onset,Bin,week,8,9,0.000101599503667297
US National,Season onset,Bin,week,9,10,0.000101599503667297
US National,Season onset,Bin,week,10,11,0.000101599503667297
US National,Season onset,Bin,week,11,12,0.000101599503667297
US National,Season onset,Bin,week,12,13,0.000101599503667297
US National,Season onset,Bin,week,13,14,0.000101599503667297
US National,Season onset,Bin,week,14,15,0.000101599503667297
US National,Season onset,Bin,week,15,16,0.000101599503667297
US National,Season onset,Bin,week,16,17,0.000101599503667297
US National,Season onset,Bin,week,17,18,0.000101599503667297
US National,Season onset,Bin,week,18,19,0.000101599503667297
US National,Season onset,Bin,week,19,20,0.000101599503667297
US National,Season onset,Bin,week,20,21,0.000101599503667297
US National,Season onset,Bin,week,none,none,0.076143785151593
US National,Season peak week,Point,week,NA,NA,3
US National,Season peak week,Bin,week,40,41,0.00704225352112676
US National,Season peak week,Bin,week,41,42,0.0103621730382294
US National,Season peak week,Bin,week,42,43,0.0103621730382294
US National,Season peak week,Bin,week,43,44,0.0079476861167002
US National,Season peak week,Bin,week,44,45,0.006841046277666
US National,Season peak week,Bin,week,45,46,0.00442655935613682
US National,Season peak week,Bin,week,46,47,0.0045271629778672
US National,Season peak week,Bin,week,47,48,0.00694164989939638
US National,Season peak week,Bin,week,48,49,0.0128772635814889
US National,Season peak week,Bin,week,49,50,0.024748490945674
US National,Season peak week,Bin,week,50,51,0.0390342052313883
US National,Season peak week,Bin,week,51,52,0.0482897384305835
