Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,5.524160170696534e-5
US National,Season onset,Bin,week,41,42,8.797271327450454e-5
US National,Season onset,Bin,week,42,43,8.797271327449965e-5
US National,Season onset,Bin,week,43,44,8.797271327450251e-5
US National,Season onset,Bin,week,44,45,8.797271327452433e-5
US National,Season onset,Bin,week,45,46,8.797271327449058e-5
US National,Season onset,Bin,week,46,47,8.797271327442534e-5
US National,Season onset,Bin,week,47,48,0.002082020880829965
US National,Season onset,Bin,week,48,49,8.79727132745136e-5
US National,Season onset,Bin,week,49,50,0.12172491093415862
US National,Season onset,Bin,week,50,51,0.7648054449707475
US National,Season onset,Bin,week,51,52,0.028004647059049675
US National,Season onset,Bin,week,52,53,8.797271327451651e-5
US National,Season onset,Bin,week,1,2,8.797271327451651e-5
US National,Season onset,Bin,week,2,3,0.02102547847260732
US National,Season onset,Bin,week,3,4,0.01604035805371855
US National,Season onset,Bin,week,4,5,0.01007601866588716
US National,Season onset,Bin,week,5,6,0.002082020880829974
US National,Season onset,Bin,week,6,7,0.004076069048385432
US National,Season onset,Bin,week,7,8,0.002082020880829849
US National,Season onset,Bin,week,8,9,0.0010849967970521202
US National,Season onset,Bin,week,9,10,0.0030790449646075782
US National,Season onset,Bin,week,10,11,0.0010849967970523702
US National,Season onset,Bin,week,11,12,0.0010849967970522453
US National,Season onset,Bin,week,12,13,0.002082020880829974
US National,Season onset,Bin,week,13,14,8.797271327451651e-5
US National,Season onset,Bin,week,14,15,0.002082020880830099
US National,Season onset,Bin,week,15,16,8.797271327451651e-5
US National,Season onset,Bin,week,16,17,8.797271327451651e-5
US National,Season onset,Bin,week,17,18,8.797271327451651e-5
US National,Season onset,Bin,week,18,19,0.0010849967970522453
US National,Season onset,Bin,week,19,20,8.797271327451651e-5
US National,Season onset,Bin,week,20,21,8.79706747400751e-5
US National,Season onset,Bin,week,none,none,0.01504310597618908
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,6.089151399063395e-5
US National,Season peak week,Bin,week,41,42,8.141299983114232e-5
US National,Season peak week,Bin,week,42,43,8.902536263652108e-5
US National,Season peak week,Bin,week,43,44,9.050215518733982e-5
US National,Season peak week,Bin,week,44,45,9.065386468538115e-5
US National,Season peak week,Bin,week,45,46,9.076567007508883e-5
US National,Season peak week,Bin,week,46,47,9.492700666654276e-5
US National,Season peak week,Bin,week,47,48,1.903315624610978e-4
US National,Season peak week,Bin,week,48,49,0.0014382733704875732
US National,Season peak week,Bin,week,49,50,0.010531655332150896
US National,Season peak week,Bin,week,50,51,0.04563534547332207
US National,Season peak week,Bin,week,51,52,0.10942376902650933
US National,Season peak week,Bin,week,52,53,0.14215468157957398
US National,Season peak week,Bin,week,1,2,0.09979628996571077
US National,Season peak week,Bin,week,2,3,0.042331664620524505
US National,Season peak week,Bin,week,3,4,0.025278152761629372
US National,Season peak week,Bin,week,4,5,0.03822980948093526
US National,Season peak week,Bin,week,5,6,0.0560128090297613
US National,Season peak week,Bin,week,6,7,0.06418479525190143
US National,Season peak week,Bin,week,7,8,0.06084833817719645
US National,Season peak week,Bin,week,8,9,0.05216520141004093
US National,Season peak week,Bin,week,9,10,0.04329641590995896
US National,Season peak week,Bin,week,10,11,0.03557634598905675
US National,Season peak week,Bin,week,11,12,0.029959118035825072
US National,Season peak week,Bin,week,12,13,0.026441076756899416
US National,Season peak week,Bin,week,13,14,0.025072387017479714
US National,Season peak week,Bin,week,14,15,0.025438016060081416
US National,Season peak week,Bin,week,15,16,0.024198382498757408
US National,Season peak week,Bin,week,16,17,0.019287813013677997
US National,Season peak week,Bin,week,17,18,0.012315308822680672
US National,Season peak week,Bin,week,18,19,0.006240650561768115
US National,Season peak week,Bin,week,19,20,0.0025382527620539286
US National,Season peak week,Bin,week,20,21,8.169369564829074e-4
US National,Season peak percentage,Point,percent,NA,NA,3
US National,Season peak percentage,Bin,percent,0,0.1,1.594497991431179e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.077436153832351e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.2495551093857398e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.280083229815266e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.2831019924098723e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2831759069664213e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.2832729371347835e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.2831658823841953e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.2833457267335687e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2833734839480145e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.283741270219611e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.2835065118138242e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2837596825219876e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.2832802049201425e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.283354029103671e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.283124078219807e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.283318288880474e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,2.283140363468374e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,2.283316124378997e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.2843526604575197e-5
US National,Season peak percentage,Bin,percent,2,2.1,2.3370562853074734e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,3.6704587835957706e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,2.1489197895607594e-4
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0016010299225125413
US National,Season peak percentage,Bin,percent,2.4,2.5,0.008335163909683663
US National,Season peak percentage,Bin,percent,2.5,2.6,0.027072668078178718
US National,Season peak percentage,Bin,percent,2.6,2.7,0.05804590447835861
US National,Season peak percentage,Bin,percent,2.7,2.8,0.08960812094736226
US National,Season peak percentage,Bin,percent,2.8,2.9,0.10701319361878107
US National,Season peak percentage,Bin,percent,2.9,3,0.10726824222969376
US National,Season peak percentage,Bin,percent,3,3.1,0.09547677688542562
US National,Season peak percentage,Bin,percent,3.1,3.2,0.07828629971872793
US National,Season peak percentage,Bin,percent,3.2,3.3,0.062162888017362264
US National,Season peak percentage,Bin,percent,3.3,3.4,0.04946469475440946
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0404634960423869
US National,Season peak percentage,Bin,percent,3.5,3.6,0.03414462523500142
US National,Season peak percentage,Bin,percent,3.6,3.7,0.030818314053968208
