Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.013633603391980754
US National,Season onset,Bin,week,41,42,0.018165486221578278
US National,Season onset,Bin,week,42,43,0.023474890786126263
US National,Season onset,Bin,week,43,44,0.029453473897747297
US National,Season onset,Bin,week,44,45,0.03576491346456481
US National,Season onset,Bin,week,45,46,0.04209913928386003
US National,Season onset,Bin,week,46,47,0.047933152539602696
US National,Season onset,Bin,week,47,48,0.052887340709713335
US National,Season onset,Bin,week,48,49,0.05652028964968879
US National,Season onset,Bin,week,49,50,0.05862112632920976
US National,Season onset,Bin,week,50,51,0.05908685664445822
US National,Season onset,Bin,week,51,52,0.05802070280058756
US National,Season onset,Bin,week,52,53,0.055673991430763785
US National,Season onset,Bin,week,1,2,0.052370945608763576
US National,Season onset,Bin,week,2,3,0.048485039444357635
US National,Season onset,Bin,week,3,4,0.04432796909982591
US National,Season onset,Bin,week,4,5,0.04015391516498659
US National,Season onset,Bin,week,5,6,0.03611662011311694
US National,Season onset,Bin,week,6,7,0.032290970333642005
US National,Season onset,Bin,week,7,8,0.0287080132504749
US National,Season onset,Bin,week,8,9,0.025355500372218155
US National,Season onset,Bin,week,9,10,0.02224595726807663
US National,Season onset,Bin,week,10,11,0.01936837556412477
US National,Season onset,Bin,week,11,12,0.016759665768630853
US National,Season onset,Bin,week,12,13,0.014416348669881028
US National,Season onset,Bin,week,13,14,0.012371673923665599
US National,Season onset,Bin,week,14,15,0.010598547028308196
US National,Season onset,Bin,week,15,16,0.009095918116555747
US National,Season onset,Bin,week,16,17,0.007808096132031892
US National,Season onset,Bin,week,17,18,0.00670747292471109
US National,Season onset,Bin,week,18,19,0.005737863219173254
US National,Season onset,Bin,week,19,20,0.0048740618472921955
US National,Season onset,Bin,week,20,21,0.004084748683539408
US National,Season onset,Bin,week,none,none,0.006787330316742082
US National,Season peak week,Point,week,NA,NA,7
US National,Season peak week,Bin,week,40,41,0.006797771341467681
US National,Season peak week,Bin,week,41,42,0.008698576601999028
US National,Season peak week,Bin,week,42,43,0.010988012109985488
US National,Season peak week,Bin,week,43,44,0.01367940240437007
US National,Season peak week,Bin,week,44,45,0.016812406630448945
US National,Season peak week,Bin,week,45,46,0.02032386466939625
US National,Season peak week,Bin,week,46,47,0.024178929847921287
US National,Season peak week,Bin,week,47,48,0.028232563682575096
US National,Season peak week,Bin,week,48,49,0.032339422619095046
US National,Season peak week,Bin,week,49,50,0.03631559746696143
US National,Season peak week,Bin,week,50,51,0.03997345323746309
US National,Season peak week,Bin,week,51,52,0.04319170998581207
US National,Season peak week,Bin,week,52,53,0.04585460121867889
US National,Season peak week,Bin,week,1,2,0.047960643879359194
US National,Season peak week,Bin,week,2,3,0.04950101768467455
US National,Season peak week,Bin,week,3,4,0.050520749010280266
US National,Season peak week,Bin,week,4,5,0.051027325949673234
US National,Season peak week,Bin,week,5,6,0.050999838460852175
US National,Season peak week,Bin,week,6,7,0.05037472037536018
US National,Season peak week,Bin,week,7,8,0.04907639272280929
US National,Season peak week,Bin,week,8,9,0.04702608729368999
US National,Season peak week,Bin,week,9,10,0.04423247075865712
US National,Season peak week,Bin,week,10,11,0.04072798453275957
US National,Season peak week,Bin,week,11,12,0.03668502414223261
US National,Season peak week,Bin,week,12,13,0.03228526613793565
US National,Season peak week,Bin,week,13,14,0.02777643429564689
US National,Season peak week,Bin,week,14,15,0.023389688133367822
US National,Season peak week,Bin,week,15,16,0.019299069792903096
US National,Season peak week,Bin,week,16,17,0.015661930335635267
US National,Season peak week,Bin,week,17,18,0.012506744674603183
US National,Season peak week,Bin,week,18,19,0.009878940281988467
US National,Season peak week,Bin,week,19,20,0.00771363093805113
US National,Season peak week,Bin,week,20,21,0.005969728783345991
US National,Season peak percentage,Point,percent,NA,NA,4.6
US National,Season peak percentage,Bin,percent,0,0.1,0.001534107517788411
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0017076452740282153
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0018842447563726368
US National,Season peak percentage,Bin,percent,0.3,0.4,0.002091980439943151
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0023041478111672418
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0025493861679371185
US National,Season peak percentage,Bin,percent,0.6,0.7,0.002803569781960546
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0030910496558262278
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0033926762803069914
US National,Season peak percentage,Bin,percent,0.9,1,0.0037257730378081754
US National,Season peak percentage,Bin,percent,1,1.1,0.004079367911663225
US National,Season peak percentage,Bin,percent,1.1,1.2,0.004460237398025884
US National,Season peak percentage,Bin,percent,1.2,1.3,0.0048689625177425165
US National,Season peak percentage,Bin,percent,1.3,1.4,0.0052977600733024
US National,Season peak percentage,Bin,percent,1.4,1.5,0.005761922532542605
US National,Season peak percentage,Bin,percent,1.5,1.6,0.006235678128218799
US National,Season peak percentage,Bin,percent,1.6,1.7,0.006752722925901955
US National,Season peak percentage,Bin,percent,1.7,1.8,0.007265583879883106
US National,Season peak percentage,Bin,percent,1.8,1.9,0.007829339603002809
US National,Season peak percentage,Bin,percent,1.9,2,0.008371963029585096
US National,Season peak percentage,Bin,percent,2,2.1,0.008971757560845318
US National,Season peak percentage,Bin,percent,2.1,2.2,0.00953684207359998
US National,Season peak percentage,Bin,percent,2.2,2.3,0.010148301051207363
US National,Season peak percentage,Bin,percent,2.3,2.4,0.01072612090497678
US National,Season peak percentage,Bin,percent,2.4,2.5,0.011331357467858622
US National,Season peak percentage,Bin,percent,2.5,2.6,0.011904770957188754
US National,Season peak percentage,Bin,percent,2.6,2.7,0.012485302073778244
US National,Season peak percentage,Bin,percent,2.7,2.8,0.013035784821081028
US National,Season peak percentage,Bin,percent,2.8,2.9,0.013573207020150153
US National,Season peak percentage,Bin,percent,2.9,3,0.014082014871591622
US National,Season peak percentage,Bin,percent,3,3.1,0.014559711246389169
US National,Season peak percentage,Bin,percent,3.1,3.2,0.015010270708516182
US National,Season peak percentage,Bin,percent,3.2,3.3,0.015415539342320558
US National,Season peak percentage,Bin,percent,3.3,3.4,0.01579371926511464
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0161173493880216
US National,Season peak percentage,Bin,percent,3.5,3.6,0.016413292278377893
US National,Season peak percentage,Bin,percent,3.6,3.7,0.016651313116473835
US National,Season peak percentage,Bin,percent,3.7,3.8,0.016861224236372027
US National,Season peak percentage,Bin,percent,3.8,3.9,0.017015014867378754
