"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.6
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.0015
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.01352
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.00184
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.00882
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.02228
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.04572
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.06964
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.07432
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0812
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.11946
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.15526
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.1093
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.07168
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.05352
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.04836
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.04488
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.03054
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0163
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00952
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00522
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00424
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00396
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00284
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00124
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00042
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0004
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00036
