Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 1,1 wk ahead,Point,percent,NA,NA, 0.800000000000000044408920985
HHS Region 1,2 wk ahead,Point,percent,NA,NA, 0.800000000000000044408920985
HHS Region 1,3 wk ahead,Point,percent,NA,NA, 0.699999999999999955591079015
HHS Region 1,4 wk ahead,Point,percent,NA,NA, 0.900000000000000022204460493
HHS Region 1,Season onset,Point,week,NA,NA,52.000000000000000000000000000
HHS Region 1,Season peak percentage,Point,percent,NA,NA, 2.600000000000000088817841970
HHS Region 1,Season peak week,Point,week,NA,NA, 7.000000000000000000000000000
HHS Region 10,1 wk ahead,Point,percent,NA,NA, 1.300000000000000044408920985
HHS Region 10,2 wk ahead,Point,percent,NA,NA, 1.100000000000000088817841970
HHS Region 10,3 wk ahead,Point,percent,NA,NA, 1.000000000000000000000000000
HHS Region 10,4 wk ahead,Point,percent,NA,NA, 1.300000000000000044408920985
HHS Region 10,Season onset,Point,week,NA,NA, 1.000000000000000000000000000
HHS Region 10,Season peak percentage,Point,percent,NA,NA, 4.400000000000000355271367880
HHS Region 10,Season peak week,Point,week,NA,NA, 6.000000000000000000000000000
HHS Region 2,1 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 2,2 wk ahead,Point,percent,NA,NA, 1.500000000000000000000000000
HHS Region 2,3 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 2,4 wk ahead,Point,percent,NA,NA, 1.800000000000000044408920985
HHS Region 2,Season onset,Point,week,NA,NA, 2.000000000000000000000000000
HHS Region 2,Season peak percentage,Point,percent,NA,NA, 3.899999999999999911182158030
HHS Region 2,Season peak week,Point,week,NA,NA, 6.000000000000000000000000000
HHS Region 3,1 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 3,2 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 3,3 wk ahead,Point,percent,NA,NA, 1.600000000000000088817841970
HHS Region 3,4 wk ahead,Point,percent,NA,NA, 1.800000000000000044408920985
HHS Region 3,Season onset,Point,week,NA,NA,52.000000000000000000000000000
HHS Region 3,Season peak percentage,Point,percent,NA,NA, 4.700000000000000177635683940
HHS Region 3,Season peak week,Point,week,NA,NA, 5.000000000000000000000000000
HHS Region 4,1 wk ahead,Point,percent,NA,NA, 1.300000000000000044408920985
HHS Region 4,2 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 4,3 wk ahead,Point,percent,NA,NA, 1.500000000000000000000000000
HHS Region 4,4 wk ahead,Point,percent,NA,NA, 1.699999999999999955591079015
HHS Region 4,Season onset,Point,week,NA,NA,50.000000000000000000000000000
HHS Region 4,Season peak percentage,Point,percent,NA,NA, 4.400000000000000355271367880
HHS Region 4,Season peak week,Point,week,NA,NA, 5.000000000000000000000000000
HHS Region 5,1 wk ahead,Point,percent,NA,NA, 1.199999999999999955591079015
HHS Region 5,2 wk ahead,Point,percent,NA,NA, 1.199999999999999955591079015
HHS Region 5,3 wk ahead,Point,percent,NA,NA, 1.199999999999999955591079015
HHS Region 5,4 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
HHS Region 5,Season onset,Point,week,NA,NA, 2.000000000000000000000000000
HHS Region 5,Season peak percentage,Point,percent,NA,NA, 3.600000000000000088817841970
HHS Region 5,Season peak week,Point,week,NA,NA, 6.000000000000000000000000000
HHS Region 6,1 wk ahead,Point,percent,NA,NA, 2.299999999999999822364316060
HHS Region 6,2 wk ahead,Point,percent,NA,NA, 2.399999999999999911182158030
HHS Region 6,3 wk ahead,Point,percent,NA,NA, 2.399999999999999911182158030
HHS Region 6,4 wk ahead,Point,percent,NA,NA, 2.700000000000000177635683940
HHS Region 6,Season onset,Point,week,NA,NA, 1.000000000000000000000000000
HHS Region 6,Season peak percentage,Point,percent,NA,NA, 7.799999999999999822364316060
HHS Region 6,Season peak week,Point,week,NA,NA, 4.000000000000000000000000000
HHS Region 7,1 wk ahead,Point,percent,NA,NA, 0.900000000000000022204460493
HHS Region 7,2 wk ahead,Point,percent,NA,NA, 1.100000000000000088817841970
HHS Region 7,3 wk ahead,Point,percent,NA,NA, 1.100000000000000088817841970
HHS Region 7,4 wk ahead,Point,percent,NA,NA, 1.199999999999999955591079015
HHS Region 7,Season onset,Point,week,NA,NA, 1.000000000000000000000000000
HHS Region 7,Season peak percentage,Point,percent,NA,NA, 4.799999999999999822364316060
HHS Region 7,Season peak week,Point,week,NA,NA, 5.000000000000000000000000000
HHS Region 8,1 wk ahead,Point,percent,NA,NA, 0.699999999999999955591079015
HHS Region 8,2 wk ahead,Point,percent,NA,NA, 0.800000000000000044408920985
HHS Region 8,3 wk ahead,Point,percent,NA,NA, 0.800000000000000044408920985
HHS Region 8,4 wk ahead,Point,percent,NA,NA, 0.900000000000000022204460493
HHS Region 8,Season onset,Point,week,NA,NA, 3.000000000000000000000000000
HHS Region 8,Season peak percentage,Point,percent,NA,NA, 3.000000000000000000000000000
HHS Region 8,Season peak week,Point,week,NA,NA, 6.000000000000000000000000000
HHS Region 9,1 wk ahead,Point,percent,NA,NA, 1.699999999999999955591079015
HHS Region 9,2 wk ahead,Point,percent,NA,NA, 1.699999999999999955591079015
HHS Region 9,3 wk ahead,Point,percent,NA,NA, 1.800000000000000044408920985
HHS Region 9,4 wk ahead,Point,percent,NA,NA, 2.000000000000000000000000000
HHS Region 9,Season onset,Point,week,NA,NA, 2.000000000000000000000000000
HHS Region 9,Season peak percentage,Point,percent,NA,NA, 5.000000000000000000000000000
HHS Region 9,Season peak week,Point,week,NA,NA, 5.000000000000000000000000000
US National,1 wk ahead,Point,percent,NA,NA, 1.399999999999999911182158030
US National,2 wk ahead,Point,percent,NA,NA, 1.500000000000000000000000000
US National,3 wk ahead,Point,percent,NA,NA, 1.600000000000000088817841970
US National,4 wk ahead,Point,percent,NA,NA, 1.800000000000000044408920985
US National,Season onset,Point,week,NA,NA,50.000000000000000000000000000
US National,Season peak percentage,Point,percent,NA,NA, 4.299999999999999822364316060
US National,Season peak week,Point,week,NA,NA, 6.000000000000000000000000000
US National,Season onset,Bin,week,40,41, 0.000162692127524666045601531
US National,Season onset,Bin,week,41,42, 0.000754934555944689663492531
US National,Season onset,Bin,week,42,43, 0.002861977292854707855679353
US National,Season onset,Bin,week,43,44, 0.008795335113241079319501559
US National,Season onset,Bin,week,44,45, 0.022155833963461019076035541
US National,Season onset,Bin,week,45,46, 0.045386150635252218987769623
US National,Season onset,Bin,week,46,47, 0.074439633780872177526433120
US National,Season onset,Bin,week,47,48, 0.097193156752537507303557618
US National,Season onset,Bin,week,48,49, 0.103036636435934123023905329
US National,Season onset,Bin,week,49,50, 0.093939781145142425833327593
US National,Season onset,Bin,week,50,51, 0.080099796709108161962831218
US National,Season onset,Bin,week,51,52, 0.067266062671074280943095403
US National,Season onset,Bin,week,52,53, 0.055640954381346328927460121
US National,Season onset,Bin,week,1,2, 0.047393915763962547738064046
US National,Season onset,Bin,week,2,3, 0.046328924130166475314762664
US National,Season onset,Bin,week,3,4, 0.051066663346379902177485377
US National,Season onset,Bin,week,4,5, 0.054362344333480257241308919
US National,Season onset,Bin,week,5,6, 0.049533439014652048959508335
US National,Season onset,Bin,week,6,7, 0.036274795224258769843483918
US National,Season onset,Bin,week,7,8, 0.020564772288391493237913465
US National,Season onset,Bin,week,8,9, 0.008799604486344573053835383
US National,Season onset,Bin,week,9,10, 0.002795251392964476395974760
US National,Season onset,Bin,week,10,11, 0.000675342835904786577966297
US National,Season onset,Bin,week,11,12, 0.000404181246940712708779625
US National,Season onset,Bin,week,12,13, 0.000404181246940712708779625
US National,Season onset,Bin,week,13,14, 0.000404181246940712708779625
US National,Season onset,Bin,week,14,15, 0.000404181246940712708779625
US National,Season onset,Bin,week,15,16, 0.000404181246940712708779625
US National,Season onset,Bin,week,16,17, 0.000404181246940712708779625
US National,Season onset,Bin,week,17,18, 0.000404181246940712708779625
US National,Season onset,Bin,week,18,19, 0.000404181246940712708779625
US National,Season onset,Bin,week,19,20, 0.000404181246940712708779625
US National,Season onset,Bin,week,20,21, 0.000404181246940712708779625
US National,Season onset,Bin,week,none,none, 0.026430189149794218461675399
US National,Season peak week,Bin,week,40,41, 0.001059087447705307077905346
US National,Season peak week,Bin,week,41,42, 0.001059087447705307077905346
US National,Season peak week,Bin,week,42,43, 0.001059087447705307077905346
US National,Season peak week,Bin,week,43,44, 0.001059087447705307077905346
US National,Season peak week,Bin,week,44,45, 0.001059087447705307077905346
US National,Season peak week,Bin,week,45,46, 0.001059087447705307077905346
US National,Season peak week,Bin,week,46,47, 0.001059087447705307077905346
US National,Season peak week,Bin,week,47,48, 0.001059087447705307077905346
US National,Season peak week,Bin,week,48,49, 0.001059087447705307077905346
US National,Season peak week,Bin,week,49,50, 0.001179045629050584718250372
US National,Season peak week,Bin,week,50,51, 0.010121531862019732955770834
US National,Season peak week,Bin,week,51,52, 0.052024596263894586078979643
US National,Season peak week,Bin,week,52,53, 0.089803067573805031575950863
US National,Season peak week,Bin,week,1,2, 0.055763070131506338455995575
US National,Season peak week,Bin,week,2,3, 0.029828331360269407651619744
US National,Season peak week,Bin,week,3,4, 0.042065369995443802064727379
US National,Season peak week,Bin,week,4,5, 0.066016677488750896696245718
US National,Season peak week,Bin,week,5,6, 0.109767887247007811524213139
US National,Season peak week,Bin,week,6,7, 0.140745741992172629375446036
