"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",1
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,6
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0
"US National","Season peak week","Bin","week","52","53",0.2274610921816
"US National","Season peak week","Bin","week","1","2",0
"US National","Season peak week","Bin","week","2","3",0
"US National","Season peak week","Bin","week","3","4",0
"US National","Season peak week","Bin","week","4","5",0.0277189428124137
"US National","Season peak week","Bin","week","5","6",0.0747766829358136
"US National","Season peak week","Bin","week","6","7",0.208859010958652
"US National","Season peak week","Bin","week","7","8",0.224053780274427
"US National","Season peak week","Bin","week","8","9",0.114190993645824
"US National","Season peak week","Bin","week","9","10",0.0298370015655217
"US National","Season peak week","Bin","week","10","11",0.0485311722994751
"US National","Season peak week","Bin","week","11","12",0.0195229763329957
"US National","Season peak week","Bin","week","12","13",0.0143659637167327
"US National","Season peak week","Bin","week","13","14",0.00764342941338982
"US National","Season peak week","Bin","week","14","15",0.00138134266507045
"US National","Season peak week","Bin","week","15","16",0.000736716088037573
"US National","Season peak week","Bin","week","16","17",0.000460447555023483
"US National","Season peak week","Bin","week","17","18",0.000184179022009393
"US National","Season peak week","Bin","week","18","19",0.000184179022009393
"US National","Season peak week","Bin","week","19","20",9.20895110046966e-05
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,4.9
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0.247
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.031
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.028
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0297
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0285
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0301
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0275
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0288
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0279
"US National","Season peak percentage","Bin","percent","4.9","5",0.0243
"US National","Season peak percentage","Bin","percent","5","5.1",0.0287
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0261
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.024
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0222
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0204
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0207
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0211
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0173
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0158
"US National","Season peak percentage","Bin","percent","5.9","6",0.0201
"US National","Season peak percentage","Bin","percent","6","6.1",0.0148
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0143
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0141
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0144
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0104
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0104
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0136
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0105
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.01
"US National","Season peak percentage","Bin","percent","6.9","7",0.0083
"US National","Season peak percentage","Bin","percent","7","7.1",0.0093
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0073
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.008
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0087
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0067
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0064
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0066
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0049
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0048
"US National","Season peak percentage","Bin","percent","7.9","8",0.0049
"US National","Season peak percentage","Bin","percent","8","8.1",0.0049
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0042
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0038
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0035
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.0036
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0037
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.0033
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0034
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0024
"US National","Season peak percentage","Bin","percent","8.9","9",0.0043
"US National","Season peak percentage","Bin","percent","9","9.1",0.0023
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0027
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0021
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.002
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.0024
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.0028
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.0012
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0023
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.0025
"US National","Season peak percentage","Bin","percent","9.9","10",0.0013
"US National","Season peak percentage","Bin","percent","10","10.1",0.0014
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0013
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0016
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0016
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0015
"US National","Season peak percentage","Bin","percent","10.5","10.6",8e-04
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0012
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0016
"US National","Season peak percentage","Bin","percent","10.8","10.9",8e-04
"US National","Season peak percentage","Bin","percent","10.9","11",0.0012
"US National","Season peak percentage","Bin","percent","11","11.1",6e-04
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0011
"US National","Season peak percentage","Bin","percent","11.2","11.3",8e-04
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.000900000000000001
"US National","Season peak percentage","Bin","percent","11.4","11.5",5e-04
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.000900000000000001
"US National","Season peak percentage","Bin","percent","11.6","11.7",3e-04
"US National","Season peak percentage","Bin","percent","11.7","11.8",4e-04
"US National","Season peak percentage","Bin","percent","11.8","11.9",3e-04
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",6e-04
"US National","Season peak percentage","Bin","percent","12.1","12.2",5e-04
"US National","Season peak percentage","Bin","percent","12.2","12.3",3e-04
"US National","Season peak percentage","Bin","percent","12.3","12.4",4e-04
"US National","Season peak percentage","Bin","percent","12.4","12.5",4e-04
"US National","Season peak percentage","Bin","percent","12.5","12.6",1e-04
"US National","Season peak percentage","Bin","percent","12.6","12.7",5e-04
"US National","Season peak percentage","Bin","percent","12.7","12.8",6e-04
"US National","Season peak percentage","Bin","percent","12.8","12.9",2e-04
"US National","Season peak percentage","Bin","percent","12.9","13",1e-04
"US National","Season peak percentage","Bin","percent","13","100",0.0112
"US National","1 wk ahead","Point","percent",NA,NA,3.5
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",0
"US National","1 wk ahead","Bin","percent","1.7","1.8",0
"US National","1 wk ahead","Bin","percent","1.8","1.9",0
"US National","1 wk ahead","Bin","percent","1.9","2",0
"US National","1 wk ahead","Bin","percent","2","2.1",0
"US National","1 wk ahead","Bin","percent","2.1","2.2",4e-04
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0011
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0025
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0054
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0109
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0193
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0244
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0382
"US National","1 wk ahead","Bin","percent","2.9","3",0.0476
"US National","1 wk ahead","Bin","percent","3","3.1",0.0488
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0583
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0667
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0613
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0696
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0672
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.063
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0563
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0558
"US National","1 wk ahead","Bin","percent","3.9","4",0.0482
"US National","1 wk ahead","Bin","percent","4","4.1",0.0407
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.0394
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.0314
"US National","1 wk ahead","Bin","percent","4.3","4.4",0.0263
"US National","1 wk ahead","Bin","percent","4.4","4.5",0.0235
"US National","1 wk ahead","Bin","percent","4.5","4.6",0.0185
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.015
"US National","1 wk ahead","Bin","percent","4.7","4.8",0.0118
"US National","1 wk ahead","Bin","percent","4.8","4.9",0.0098
"US National","1 wk ahead","Bin","percent","4.9","5",0.0085
"US National","1 wk ahead","Bin","percent","5","5.1",0.0057
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.0062
"US National","1 wk ahead","Bin","percent","5.2","5.3",0.0041
"US National","1 wk ahead","Bin","percent","5.3","5.4",0.0037
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.0018
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0023
"US National","1 wk ahead","Bin","percent","5.6","5.7",0.0013
"US National","1 wk ahead","Bin","percent","5.7","5.8",0.0011
"US National","1 wk ahead","Bin","percent","5.8","5.9",0.0012
"US National","1 wk ahead","Bin","percent","5.9","6",5e-04
"US National","1 wk ahead","Bin","percent","6","6.1",2e-04
"US National","1 wk ahead","Bin","percent","6.1","6.2",4e-04
"US National","1 wk ahead","Bin","percent","6.2","6.3",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","6.3","6.4",4e-04
"US National","1 wk ahead","Bin","percent","6.4","6.5",3e-04
"US National","1 wk ahead","Bin","percent","6.5","6.6",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","6.6","6.7",2e-04
"US National","1 wk ahead","Bin","percent","6.7","6.8",2e-04
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","7","7.1",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
