Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,6.869312276750314e-4
US National,Season onset,Bin,week,41,42,0.0015092187717508727
US National,Season onset,Bin,week,42,43,0.004076720440151774
US National,Season onset,Bin,week,43,44,0.01120259731062456
US National,Season onset,Bin,week,44,45,0.026449929352465883
US National,Season onset,Bin,week,45,46,0.050709146877422555
US National,Season onset,Bin,week,46,47,0.07722282498979594
US National,Season onset,Bin,week,47,48,0.09403104062595391
US National,Season onset,Bin,week,48,49,0.09443850367280641
US National,Season onset,Bin,week,49,50,0.08404792460600295
US National,Season onset,Bin,week,50,51,0.07496662716878712
US National,Season onset,Bin,week,51,52,0.07599418497065845
US National,Season onset,Bin,week,52,53,0.08600171622106417
US National,Season onset,Bin,week,1,2,0.0932206737726711
US National,Season onset,Bin,week,2,3,0.08495194346165509
US National,Season onset,Bin,week,3,4,0.0613101829012514
US National,Season onset,Bin,week,4,5,0.03513676421086058
US National,Season onset,Bin,week,5,6,0.017393985811910255
US National,Season onset,Bin,week,6,7,0.008647496886371965
US National,Season onset,Bin,week,7,8,0.004521270091636677
US National,Season onset,Bin,week,8,9,0.0023223647763953893
US National,Season onset,Bin,week,9,10,0.0012886132976184198
US National,Season onset,Bin,week,10,11,9.443790713048126e-4
US National,Season onset,Bin,week,11,12,8.692730904947314e-4
US National,Season onset,Bin,week,12,13,8.585640855255351e-4
US National,Season onset,Bin,week,13,14,8.575868359911826e-4
US National,Season onset,Bin,week,14,15,8.575361553530075e-4
US National,Season onset,Bin,week,15,16,8.574097677998272e-4
US National,Season onset,Bin,week,16,17,8.562848409921507e-4
US National,Season onset,Bin,week,17,18,8.486227897586567e-4
US National,Season onset,Bin,week,18,19,8.144641101364338e-4
US National,Season onset,Bin,week,19,20,7.163251632803658e-4
US National,Season onset,Bin,week,20,21,5.322393028847705e-4
US National,Season onset,Bin,week,none,none,8.566533409480299e-4
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,5.995853260819119e-4
