"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"49"
"US National","Season onset","Bin","week","40","41","0.0244637343244967"
"US National","Season onset","Bin","week","41","42","0.0264346813970672"
"US National","Season onset","Bin","week","42","43","0.0283225345039535"
"US National","Season onset","Bin","week","43","44","0.030107436281855"
"US National","Season onset","Bin","week","44","45","0.0317706166162686"
"US National","Season onset","Bin","week","45","46","0.0332571739583119"
"US National","Season onset","Bin","week","46","47","0.0345557354507354"
"US National","Season onset","Bin","week","47","48","0.0356527895620979"
"US National","Season onset","Bin","week","48","49","0.0365251547301902"
"US National","Season onset","Bin","week","49","50","0.0371639290595305"
"US National","Season onset","Bin","week","50","51","0.0375710856368223"
"US National","Season onset","Bin","week","51","52","0.0377470639959648"
"US National","Season onset","Bin","week","52","1","0.037699396785202"
"US National","Season onset","Bin","week","1","2","0.0374415730038661"
"US National","Season onset","Bin","week","2","3","0.0369870467685483"
"US National","Season onset","Bin","week","3","4","0.0363565771412351"
"US National","Season onset","Bin","week","4","5","0.0355724076516486"
"US National","Season onset","Bin","week","5","6","0.0346509096051364"
"US National","Season onset","Bin","week","6","7","0.0336093556563327"
"US National","Season onset","Bin","week","7","8","0.0324785920374421"
"US National","Season onset","Bin","week","8","9","0.0312697052499922"
"US National","Season onset","Bin","week","9","10","0.0299879704854722"
"US National","Season onset","Bin","week","10","11","0.028665607678435"
"US National","Season onset","Bin","week","11","12","0.0273075374292203"
"US National","Season onset","Bin","week","12","13","0.0259159060360269"
"US National","Season onset","Bin","week","13","14","0.0245042440749553"
"US National","Season onset","Bin","week","14","15","0.023087382710514"
"US National","Season onset","Bin","week","15","16","0.0216644272357579"
"US National","Season onset","Bin","week","16","17","0.0202312114806815"
"US National","Season onset","Bin","week","17","18","0.0188174162384904"
"US National","Season onset","Bin","week","18","19","0.0174173707683249"
"US National","Season onset","Bin","week","19","20","0.0160300227037803"
"US National","Season onset","Bin","week","20","21","0.014674580212232"
"US National","Season onset","Bin","week","none","none","0.0220588235294118"
"US National","Season peak week","Point","week",NA,NA,"4.5"
"US National","Season peak week","Bin","week","40","41","0.0183401467699031"
"US National","Season peak week","Bin","week","41","42","0.0201183983952497"
"US National","Season peak week","Bin","week","42","43","0.0219317223578785"
"US National","Season peak week","Bin","week","43","44","0.023762619693998"
"US National","Season peak week","Bin","week","44","45","0.0255915003777664"
"US National","Season peak week","Bin","week","45","46","0.0273970266666295"
"US National","Season peak week","Bin","week","46","47","0.0291624301189552"
"US National","Season peak week","Bin","week","47","48","0.0308525766285722"
"US National","Season peak week","Bin","week","48","49","0.0324460455448747"
"US National","Season peak week","Bin","week","49","50","0.0339189508992294"
"US National","Season peak week","Bin","week","50","51","0.0352472760607018"
"US National","Season peak week","Bin","week","51","52","0.0364070918019307"
"US National","Season peak week","Bin","week","52","1","0.0373780935657901"
"US National","Season peak week","Bin","week","1","2","0.0381399062644339"
"US National","Season peak week","Bin","week","2","3","0.0386743238718959"
"US National","Season peak week","Bin","week","3","4","0.0389721130731793"
"US National","Season peak week","Bin","week","4","5","0.0390267028477031"
"US National","Season peak week","Bin","week","5","6","0.0388358412239717"
"US National","Season peak week","Bin","week","6","7","0.0384024463152037"
"US National","Season peak week","Bin","week","7","8","0.0377307263885191"
"US National","Season peak week","Bin","week","8","9","0.0368370366602424"
"US National","Season peak week","Bin","week","9","10","0.0357383292871646"
"US National","Season peak week","Bin","week","10","11","0.0344536145292124"
"US National","Season peak week","Bin","week","11","12","0.0330061671849572"
"US National","Season peak week","Bin","week","12","13","0.0314205972962769"
"US National","Season peak week","Bin","week","13","14","0.0297213161624793"
"US National","Season peak week","Bin","week","14","15","0.0279319835749572"
"US National","Season peak week","Bin","week","15","16","0.0260900941632464"
"US National","Season peak week","Bin","week","16","17","0.0242150109552857"
"US National","Season peak week","Bin","week","17","18","0.0223310865035308"
"US National","Season peak week","Bin","week","18","19","0.020460657129527"
"US National","Season peak week","Bin","week","19","20","0.018624075254581"
"US National","Season peak week","Bin","week","20","21","0.0168340924321531"
"US National","Season peak percentage","Point","percent",NA,NA,"3.1"
"US National","Season peak percentage","Bin","percent","0","0.1","0.00549848164052476"
"US National","Season peak percentage","Bin","percent","0.1","0.2","0.00568042260183997"
"US National","Season peak percentage","Bin","percent","0.2","0.3","0.00586181619819896"
"US National","Season peak percentage","Bin","percent","0.3","0.4","0.00603497107566996"
"US National","Season peak percentage","Bin","percent","0.4","0.5","0.00620754841558439"
"US National","Season peak percentage","Bin","percent","0.5","0.6","0.00639368833271055"
"US National","Season peak percentage","Bin","percent","0.6","0.7","0.00656578586492686"
"US National","Season peak percentage","Bin","percent","0.7","0.8","0.00673441436557719"
"US National","Season peak percentage","Bin","percent","0.8","0.9","0.00690526342990311"
"US National","Season peak percentage","Bin","percent","0.9","1","0.00708120417100548"
"US National","Season peak percentage","Bin","percent","1","1.1","0.00724286408945609"
"US National","Season peak percentage","Bin","percent","1.1","1.2","0.00740150160801548"
"US National","Season peak percentage","Bin","percent","1.2","1.3","0.00756612539002198"
"US National","Season peak percentage","Bin","percent","1.3","1.4","0.0077230211569007"
"US National","Season peak percentage","Bin","percent","1.4","1.5","0.00787067028997238"
"US National","Season peak percentage","Bin","percent","1.5","1.6","0.0080140156304472"
"US National","Season peak percentage","Bin","percent","1.6","1.7","0.00816579270727257"
"US National","Season peak percentage","Bin","percent","1.7","1.8","0.00829938937149503"
"US National","Season peak percentage","Bin","percent","1.8","1.9","0.00842809914299705"
"US National","Season peak percentage","Bin","percent","1.9","2","0.00855551635140735"
"US National","Season peak percentage","Bin","percent","2","2.1","0.00867978963428361"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.00879124105934604"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.00889691854784652"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.0090028002763217"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.00909741313318701"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.00918349061444585"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.00926395134464641"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.00934217008234073"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.00940740972595564"
"US National","Season peak percentage","Bin","percent","2.9","3","0.00946622271241724"
"US National","Season peak percentage","Bin","percent","3","3.1","0.00952037308834884"
"US National","Season peak percentage","Bin","percent","3.1","3.2","0.00956678340575113"
"US National","Season peak percentage","Bin","percent","3.2","3.3","0.00960430519367627"
"US National","Season peak percentage","Bin","percent","3.3","3.4","0.00963543384139335"
"US National","Season peak percentage","Bin","percent","3.4","3.5","0.00966125619836134"
"US National","Season peak percentage","Bin","percent","3.5","3.6","0.00967821849348433"
"US National","Season peak percentage","Bin","percent","3.6","3.7","0.00968873919077963"
"US National","Season peak percentage","Bin","percent","3.7","3.8","0.00969315665959749"
"US National","Season peak percentage","Bin","percent","3.8","3.9","0.00969045230563483"
"US National","Season peak percentage","Bin","percent","3.9","4","0.00968162162252582"
"US National","Season peak percentage","Bin","percent","4","4.1","0.00966722899847967"
"US National","Season peak percentage","Bin","percent","4.1","4.2","0.00964592496349356"
"US National","Season peak percentage","Bin","percent","4.2","4.3","0.00961879224836532"
"US National","Season peak percentage","Bin","percent","4.3","4.4","0.0095874707395079"
"US National","Season peak percentage","Bin","percent","4.4","4.5","0.00955139002950986"
"US National","Season peak percentage","Bin","percent","4.5","4.6","0.00950649572849085"
"US National","Season peak percentage","Bin","percent","4.6","4.7","0.00946039229971766"
"US National","Season peak percentage","Bin","percent","4.7","4.8","0.00941044509910968"
"US National","Season peak percentage","Bin","percent","4.8","4.9","0.00935486955725852"
"US National","Season peak percentage","Bin","percent","4.9","5","0.00929341178267846"
"US National","Season peak percentage","Bin","percent","5","5.1","0.0092321525706282"
"US National","Season peak percentage","Bin","percent","5.1","5.2","0.00916795979620295"
"US National","Season peak percentage","Bin","percent","5.2","5.3","0.00909633639301686"
"US National","Season peak percentage","Bin","percent","5.3","5.4","0.00902452465411038"
"US National","Season peak percentage","Bin","percent","5.4","5.5","0.00895247904224569"
"US National","Season peak percentage","Bin","percent","5.5","5.6","0.00887800838331495"
"US National","Season peak percentage","Bin","percent","5.6","5.7","0.00879551215721114"
"US National","Season peak percentage","Bin","percent","5.7","5.8","0.00871815475091909"
