Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,4.3149335515155606e-5
US National,Season onset,Bin,week,41,42,8.797531229611781e-5
US National,Season onset,Bin,week,42,43,8.79753122961449e-5
US National,Season onset,Bin,week,43,44,0.008064403627144397
US National,Season onset,Bin,week,44,45,8.797531229614943e-5
US National,Season onset,Bin,week,45,46,8.797531229613455e-5
US National,Season onset,Bin,week,46,47,0.005073243009076343
US National,Season onset,Bin,week,47,48,0.8685216080914365
US National,Season onset,Bin,week,48,49,0.03398779565040144
US National,Season onset,Bin,week,49,50,0.07386993722464395
US National,Season onset,Bin,week,50,51,0.008064403627144414
US National,Season onset,Bin,week,51,52,8.797531229608164e-5
US National,Season onset,Bin,week,52,53,8.797531229629325e-5
US National,Season onset,Bin,week,1,2,8.797531229608164e-5
US National,Season onset,Bin,week,2,3,8.797531229608164e-5
US National,Season onset,Bin,week,3,4,8.797531229608164e-5
US National,Season onset,Bin,week,4,5,8.810528754902402e-5
US National,Season onset,Bin,week,5,6,8.797531229608164e-5
US National,Season onset,Bin,week,6,7,8.797531229608164e-5
US National,Season onset,Bin,week,7,8,8.797531229629325e-5
US National,Season onset,Bin,week,8,9,8.797531229608164e-5
US National,Season onset,Bin,week,9,10,8.797531229608164e-5
US National,Season onset,Bin,week,10,11,8.797531229608164e-5
US National,Season onset,Bin,week,11,12,8.797531229608164e-5
US National,Season onset,Bin,week,12,13,8.797531229629325e-5
US National,Season onset,Bin,week,13,14,8.797531229608164e-5
US National,Season onset,Bin,week,14,15,8.797531229608164e-5
US National,Season onset,Bin,week,15,16,8.797531229608164e-5
US National,Season onset,Bin,week,16,17,8.797531229629325e-5
US National,Season onset,Bin,week,17,18,8.797531229608164e-5
US National,Season onset,Bin,week,18,19,8.797531229608164e-5
US National,Season onset,Bin,week,19,20,8.797531229608164e-5
US National,Season onset,Bin,week,20,21,8.7975272004038e-5
US National,Season onset,Bin,week,none,none,8.797137997771393e-5
US National,Season peak week,Point,week,NA,NA,52
US National,Season peak week,Bin,week,40,41,6.268827266679307e-5
US National,Season peak week,Bin,week,41,42,9.063961347378663e-5
US National,Season peak week,Bin,week,42,43,9.063961347378056e-5
US National,Season peak week,Bin,week,43,44,9.063961347377772e-5
US National,Season peak week,Bin,week,44,45,9.063961347378413e-5
US National,Season peak week,Bin,week,45,46,9.063961347378484e-5
US National,Season peak week,Bin,week,46,47,9.063961347376889e-5
US National,Season peak week,Bin,week,47,48,9.06396134737832e-5
US National,Season peak week,Bin,week,48,49,9.063961347382271e-5
US National,Season peak week,Bin,week,49,50,9.063961347378766e-5
US National,Season peak week,Bin,week,50,51,9.06396134737942e-5
US National,Season peak week,Bin,week,51,52,0.12621566176223029
US National,Season peak week,Bin,week,52,53,0.8595354545718182
US National,Season peak week,Bin,week,1,2,0.003580264732213953
US National,Season peak week,Bin,week,2,3,0.001087675361685321
US National,Season peak week,Bin,week,3,4,0.0040787826063200545
US National,Season peak week,Bin,week,4,5,5.902580726456769e-4
US National,Season peak week,Bin,week,5,6,0.001087675361685321
US National,Season peak week,Bin,week,6,7,5.891574875794875e-4
US National,Season peak week,Bin,week,7,8,9.063961347378792e-5
US National,Season peak week,Bin,week,8,9,9.063961347378792e-5
US National,Season peak week,Bin,week,9,10,9.063961347378792e-5
US National,Season peak week,Bin,week,10,11,9.063961347378792e-5
US National,Season peak week,Bin,week,11,12,9.063961347378792e-5
US National,Season peak week,Bin,week,12,13,9.063961347378792e-5
US National,Season peak week,Bin,week,13,14,9.063961347378792e-5
US National,Season peak week,Bin,week,14,15,9.063961347378792e-5
US National,Season peak week,Bin,week,15,16,0.001087675361685321
US National,Season peak week,Bin,week,16,17,9.063961347378792e-5
US National,Season peak week,Bin,week,17,18,9.063961347378792e-5
US National,Season peak week,Bin,week,18,19,9.063961347378792e-5
US National,Season peak week,Bin,week,19,20,9.063961347392186e-5
US National,Season peak week,Bin,week,20,21,9.063491304614474e-5
US National,Season peak percentage,Point,percent,NA,NA,5.8
US National,Season peak percentage,Bin,percent,0,0.1,1.5390683565530182e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.0063079326783926e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.2172929030096495e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.273112499815076e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.2817356476436313e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2825791771696427e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.2831499037909428e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.2837270700044694e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.284015164782088e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2840631967797454e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.283261079146697e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.282690131545251e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.282851563328051e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.2837532931126955e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2844150101584438e-5
