Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,4.61325604968572e-5
US National,Season onset,Bin,week,41,42,4.027378453228152e-5
US National,Season onset,Bin,week,42,43,4.4075744754577996e-5
US National,Season onset,Bin,week,43,44,4.285095916030002e-5
US National,Season onset,Bin,week,44,45,4.179796339372285e-5
US National,Season onset,Bin,week,45,46,4.570307343057652e-5
US National,Season onset,Bin,week,46,47,0.7251441441421894
US National,Season onset,Bin,week,47,48,0.27348273116411786
US National,Season onset,Bin,week,48,49,3.6619276555549196e-5
US National,Season onset,Bin,week,49,50,5.0238404407168854e-5
US National,Season onset,Bin,week,50,51,3.56325420903355e-5
US National,Season onset,Bin,week,51,52,4.9931580278452364e-5
US National,Season onset,Bin,week,52,53,3.6454655581132356e-5
US National,Season onset,Bin,week,53,54,4.734159323231083e-5
US National,Season onset,Bin,week,1,2,3.96139060126761e-5
US National,Season onset,Bin,week,2,3,4.45306405675335e-5
US National,Season onset,Bin,week,3,4,4.282870025018479e-5
US National,Season onset,Bin,week,4,5,4.122799070623419e-5
US National,Season onset,Bin,week,5,6,4.5948883982762696e-5
US National,Season onset,Bin,week,6,7,3.8613996035792884e-5
US National,Season onset,Bin,week,7,8,4.865876434204251e-5
US National,Season onset,Bin,week,8,9,3.6441932602623164e-5
US National,Season onset,Bin,week,9,10,4.892513134860418e-5
US National,Season onset,Bin,week,10,11,3.6605434474637595e-5
US National,Season onset,Bin,week,11,12,4.7849334367872246e-5
US National,Season onset,Bin,week,12,13,3.800315228730191e-5
US National,Season onset,Bin,week,13,14,4.545743519214821e-5
US National,Season onset,Bin,week,14,15,4.060902424671207e-5
US National,Season onset,Bin,week,15,16,4.346785189196914e-5
US National,Season onset,Bin,week,16,17,4.270463228375549e-5
US National,Season onset,Bin,week,17,18,4.1920199829239736e-5
US National,Season onset,Bin,week,18,19,4.425036103581524e-5
US National,Season onset,Bin,week,19,20,4.0814479003603864e-5
US National,Season onset,Bin,week,20,21,4.807751891006429e-6
US National,Season onset,Bin,week,none,none,4.2792953427002346e-5
US National,Season peak week,Point,week,NA,NA,52
US National,Season peak week,Bin,week,40,41,4.704829409336857e-5
US National,Season peak week,Bin,week,41,42,4.120149633680271e-5
US National,Season peak week,Bin,week,42,43,4.730579862445683e-5
US National,Season peak week,Bin,week,43,44,4.159333395108679e-5
US National,Season peak week,Bin,week,44,45,4.54591218693326e-5
US National,Season peak week,Bin,week,45,46,4.4187677071042565e-5
US National,Season peak week,Bin,week,46,47,4.2833616701512605e-5
US National,Season peak week,Bin,week,47,48,4.765917282310739e-5
US National,Season peak week,Bin,week,48,49,3.986874410856018e-5
US National,Season peak week,Bin,week,49,50,5.061528486121552e-5
US National,Season peak week,Bin,week,50,51,3.751757944896756e-5
US National,Season peak week,Bin,week,51,52,0.90249775858454
US National,Season peak week,Bin,week,52,53,0.09612966737768482
US National,Season peak week,Bin,week,53,54,4.941893432437833e-5
US National,Season peak week,Bin,week,1,2,4.021879740125609e-5
US National,Season peak week,Bin,week,2,3,4.614520202427865e-5
US National,Season peak week,Bin,week,3,4,4.4096913674926014e-5
US National,Season peak week,Bin,week,4,5,4.2189371354619675e-5
US National,Season peak week,Bin,week,5,6,4.780158081653699e-5
US National,Season peak week,Bin,week,6,7,3.921278369153918e-5
US National,Season peak week,Bin,week,7,8,5.053504760547861e-5
US National,Season peak week,Bin,week,8,9,3.7198224159669876e-5
US National,Season peak week,Bin,week,9,10,4.932049010475254e-5
US National,Season peak week,Bin,week,10,11,3.893504047835427e-5
US National,Season peak week,Bin,week,11,12,4.718586229675056e-5
US National,Season peak week,Bin,week,12,13,4.1395278665430784e-5
US National,Season peak week,Bin,week,13,14,4.482699404814038e-5
US National,Season peak week,Bin,week,14,15,4.3883108854346835e-5
US National,Season peak week,Bin,week,15,16,4.314686064988118e-5
US National,Season peak week,Bin,week,16,17,4.5089793117935e-5
US National,Season peak week,Bin,week,17,18,4.2551224737835864e-5
US National,Season peak week,Bin,week,18,19,4.448847896990912e-5
US National,Season peak week,Bin,week,19,20,4.3566938798635906e-5
US National,Season peak week,Bin,week,20,21,6.076992111059967e-6
US National,Season peak percentage,Point,percent,NA,NA,6
US National,Season peak percentage,Bin,percent,0,0.1,1.16737437383292e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,1.1769802550214609e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,1.1821980342884422e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,1.1524316720056957e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,1.1465062537067902e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,1.1402507019742265e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,1.1112099653448428e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,1.1071672686459676e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,1.1164377283079446e-5
US National,Season peak percentage,Bin,percent,0.9,1,1.1258732546863014e-5
US National,Season peak percentage,Bin,percent,1,1.1,1.1354738477804781e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,1.1452395075928257e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,1.155170234122122e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,1.1652660273690569e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,1.1755268873338328e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,1.1859528140148522e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,1.1820339988798247e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,1.1503023592954318e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,1.1427368500095422e-5
US National,Season peak percentage,Bin,percent,1.9,2,1.1087205455912196e-5
US National,Season peak percentage,Bin,percent,2,2.1,1.1005372400632135e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,1.1104626785001888e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,1.1205531836537417e-5
US National,Season peak percentage,Bin,percent,2.3,2.4,1.1308087555279266e-5
US National,Season peak percentage,Bin,percent,2.4,2.5,1.1412293941123344e-5
US National,Season peak percentage,Bin,percent,2.5,2.6,1.1518150994178866e-5
US National,Season peak percentage,Bin,percent,2.6,2.7,1.1625658714412797e-5
US National,Season peak percentage,Bin,percent,2.7,2.8,1.1734817101812442e-5
US National,Season peak percentage,Bin,percent,2.8,2.9,1.184562615638234e-5
US National,Season peak percentage,Bin,percent,2.9,3,1.1958085878128993e-5
US National,Season peak percentage,Bin,percent,3,3.1,1.1779034778700744e-5
US National,Season peak percentage,Bin,percent,3.1,3.2,1.146406616972829e-5
US National,Season peak percentage,Bin,percent,3.2,3.3,1.107017154196216e-5
US National,Season peak percentage,Bin,percent,3.3,3.4,1.0933154020165577e-5
US National,Season peak percentage,Bin,percent,3.4,3.5,1.1038958192290039e-5
US National,Season peak percentage,Bin,percent,3.5,3.6,1.1146413031587942e-5
US National,Season peak percentage,Bin,percent,3.6,3.7,1.1255518538057387e-5
US National,Season peak percentage,Bin,percent,3.7,3.8,1.13662747116877e-5
US National,Season peak percentage,Bin,percent,3.8,3.9,1.1478681552508016e-5
US National,Season peak percentage,Bin,percent,3.9,4,1.159273906049601e-5
US National,Season peak percentage,Bin,percent,4,4.1,1.1708447235648432e-5
US National,Season peak percentage,Bin,percent,4.1,4.2,1.1825806077983248e-5
US National,Season peak percentage,Bin,percent,4.2,4.3,1.1944815587484148e-5
US National,Season peak percentage,Bin,percent,4.3,4.4,1.2065475764157876e-5
US National,Season peak percentage,Bin,percent,4.4,4.5,1.1685403417476668e-5
US National,Season peak percentage,Bin,percent,4.5,4.6,1.1063021967021108e-5
US National,Season peak percentage,Bin,percent,4.6,4.7,1.0855017545051451e-5
US National,Season peak percentage,Bin,percent,4.7,4.8,1.0967371504935125e-5
US National,Season peak percentage,Bin,percent,4.8,4.9,1.1081376132002243e-5
US National,Season peak percentage,Bin,percent,4.9,5,1.1197031426225198e-5
US National,Season peak percentage,Bin,percent,5,5.1,1.131433738762589e-5
US National,Season peak percentage,Bin,percent,5.1,5.2,1.1433294016181378e-5
US National,Season peak percentage,Bin,percent,5.2,5.3,1.1553901311947724e-5
US National,Season peak percentage,Bin,percent,5.3,5.4,1.1676159274865062e-5
US National,Season peak percentage,Bin,percent,5.4,5.5,1.1800067904941002e-5
US National,Season peak percentage,Bin,percent,5.5,5.6,1.1925627202032873e-5
US National,Season peak percentage,Bin,percent,5.6,5.7,1.2052837166632098e-5
US National,Season peak percentage,Bin,percent,5.7,5.8,1.2181697798248484e-5
US National,Season peak percentage,Bin,percent,5.8,5.9,1.1139850473568728e-5
US National,Season peak percentage,Bin,percent,5.9,6,0.8796230610535013
US National,Season peak percentage,Bin,percent,6,6.1,0.11891072013279162
US National,Season peak percentage,Bin,percent,6.1,6.2,1.1010421137859995e-05
US National,Season peak percentage,Bin,percent,6.2,6.3,1.1132626219749242e-5
US National,Season peak percentage,Bin,percent,6.3,6.4,1.1256481968801504e-5
US National,Season peak percentage,Bin,percent,6.4,6.5,1.1380440614170258e-5
US National,Season peak percentage,Bin,percent,6.5,6.6,1.1496665740355514e-5
US National,Season peak percentage,Bin,percent,6.6,6.7,1.1620104257187458e-5
US National,Season peak percentage,Bin,percent,6.7,6.8,1.1740241439442137e-5
US National,Season peak percentage,Bin,percent,6.8,6.9,1.1857077287496402e-5
US National,Season peak percentage,Bin,percent,6.9,7,1.197061180135025e-5
US National,Season peak percentage,Bin,percent,7,7.1,1.2080844980626836e-5
US National,Season peak percentage,Bin,percent,7.1,7.2,1.1717563607545098e-5
US National,Season peak percentage,Bin,percent,7.2,7.3,1.0711054559586112e-5
US National,Season peak percentage,Bin,percent,7.3,7.4,1.084120150694524e-5
US National,Season peak percentage,Bin,percent,7.4,7.5,1.0968047119978335e-5
US National,Season peak percentage,Bin,percent,7.5,7.6,1.1091591398559784e-5
US National,Season peak percentage,Bin,percent,7.6,7.7,1.1211834342689584e-5
US National,Season peak percentage,Bin,percent,7.7,7.8,1.1328775952744586e-5
US National,Season peak percentage,Bin,percent,7.8,7.9,1.1442416228222324e-5
US National,Season peak percentage,Bin,percent,7.9,8,1.155275516949965e-5
US National,Season peak percentage,Bin,percent,8,8.1,1.165979277657656e-5
US National,Season peak percentage,Bin,percent,8.1,8.2,1.1763529048824972e-5
US National,Season peak percentage,Bin,percent,8.2,8.3,1.186396398724982e-5
