"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"47"
"US National","Season onset","Bin","week","40","41","8.09117843464609e-05"
"US National","Season onset","Bin","week","41","42","8.09851181705206e-05"
"US National","Season onset","Bin","week","42","43","8.09466702530576e-05"
"US National","Season onset","Bin","week","43","44","8.14185874128494e-05"
"US National","Season onset","Bin","week","44","45","0.000132532097384245"
"US National","Season onset","Bin","week","45","46","0.00350203333854125"
"US National","Season onset","Bin","week","46","47","0.308944583431605"
"US National","Season onset","Bin","week","47","48","0.351485324801321"
"US National","Season onset","Bin","week","48","49","0.161501088665564"
"US National","Season onset","Bin","week","49","50","0.075763908421555"
"US National","Season onset","Bin","week","50","51","0.00203560260548816"
"US National","Season onset","Bin","week","51","52","0.000131217755936493"
"US National","Season onset","Bin","week","52","1","8.6324440066072e-05"
"US National","Season onset","Bin","week","1","2","8.15775146192115e-05"
"US National","Season onset","Bin","week","2","3","0.000208340100272574"
"US National","Season onset","Bin","week","3","4","0.00279522449212737"
"US National","Season onset","Bin","week","4","5","0.0375187575455158"
"US National","Season onset","Bin","week","5","6","0.0424875337071747"
"US National","Season onset","Bin","week","6","7","0.011194557509859"
"US National","Season onset","Bin","week","7","8","0.000678267713047357"
"US National","Season onset","Bin","week","8","9","0.000119371366466962"
"US National","Season onset","Bin","week","9","10","8.10722746083917e-05"
"US National","Season onset","Bin","week","10","11","8.10087594780076e-05"
"US National","Season onset","Bin","week","11","12","8.1062915236254e-05"
"US National","Season onset","Bin","week","12","13","8.10912349625293e-05"
"US National","Season onset","Bin","week","13","14","8.10673519320272e-05"
"US National","Season onset","Bin","week","14","15","8.10224154762591e-05"
"US National","Season onset","Bin","week","15","16","8.09760015768935e-05"
"US National","Season onset","Bin","week","16","17","8.09496425514069e-05"
"US National","Season onset","Bin","week","17","18","8.09534183481165e-05"
"US National","Season onset","Bin","week","18","19","8.09775828522169e-05"
"US National","Season onset","Bin","week","19","20","8.0815214282588e-05"
"US National","Season onset","Bin","week","20","21","3.74464660189497e-05"
"US National","Season onset","Bin","week","none","none","8.10490559493021e-05"
"US National","Season peak week","Point","week",NA,NA,"51"
"US National","Season peak week","Bin","week","40","41","8.30669190316708e-05"
"US National","Season peak week","Bin","week","41","42","8.39692287326286e-05"
"US National","Season peak week","Bin","week","42","43","8.43912868043173e-05"
"US National","Season peak week","Bin","week","43","44","8.43330932466918e-05"
"US National","Season peak week","Bin","week","44","45","8.12627123977672e-05"
"US National","Season peak week","Bin","week","45","46","8.20973291619938e-05"
"US National","Season peak week","Bin","week","46","47","8.31909302335653e-05"
"US National","Season peak week","Bin","week","47","48","8.45246524770224e-05"
"US National","Season peak week","Bin","week","48","49","8.60984958919936e-05"
"US National","Season peak week","Bin","week","49","50","0.000953011395906238"
"US National","Season peak week","Bin","week","50","51","0.694468722422643"
"US National","Season peak week","Bin","week","51","52","0.167478021841233"
"US National","Season peak week","Bin","week","52","1","0.00162602656401995"
"US National","Season peak week","Bin","week","1","2","0.000196777442755137"
"US National","Season peak week","Bin","week","2","3","0.00284494582501885"
"US National","Season peak week","Bin","week","3","4","0.00871116901357836"
"US National","Season peak week","Bin","week","4","5","0.00827258951166186"
"US National","Season peak week","Bin","week","5","6","0.0121563674267256"
"US National","Season peak week","Bin","week","6","7","0.0232387077289737"
"US National","Season peak week","Bin","week","7","8","0.0341359510416129"
"US National","Season peak week","Bin","week","8","9","0.0344073083670719"
"US National","Season peak week","Bin","week","9","10","0.00931128971030274"
"US National","Season peak week","Bin","week","10","11","0.000674915860003499"
"US National","Season peak week","Bin","week","11","12","8.22310178567546e-05"
"US National","Season peak week","Bin","week","12","13","8.34004139880649e-05"
"US National","Season peak week","Bin","week","13","14","8.40895584902844e-05"
"US National","Season peak week","Bin","week","14","15","8.42984513629336e-05"
"US National","Season peak week","Bin","week","15","16","8.40081589571894e-05"
"US National","Season peak week","Bin","week","16","17","8.08800603968182e-05"
"US National","Season peak week","Bin","week","17","18","8.18401208357423e-05"
"US National","Season peak week","Bin","week","18","19","8.30403024458248e-05"
"US National","Season peak week","Bin","week","19","20","8.44806052279048e-05"
"US National","Season peak week","Bin","week","20","21","2.29925109546892e-05"
"US National","Season peak percentage","Point","percent",NA,NA,"4.4"
"US National","Season peak percentage","Bin","percent","0","0.1","1.51473543878337e-05"
"US National","Season peak percentage","Bin","percent","0.1","0.2","1.81329543675969e-05"
"US National","Season peak percentage","Bin","percent","0.2","0.3","1.98810552844921e-05"
"US National","Season peak percentage","Bin","percent","0.3","0.4","2.0675971692564e-05"
"US National","Season peak percentage","Bin","percent","0.4","0.5","2.09403966325829e-05"
"US National","Season peak percentage","Bin","percent","0.5","0.6","2.10178444061664e-05"
