Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,52
US National,Season onset,Bin,week,40,41,8.57984923635261e-5
US National,Season onset,Bin,week,41,42,8.752110643313351e-5
US National,Season onset,Bin,week,42,43,8.861721351327146e-5
US National,Season onset,Bin,week,43,44,8.908681360394797e-5
US National,Season onset,Bin,week,44,45,8.82420774137219e-5
US National,Season onset,Bin,week,45,46,8.55707191471297e-5
US National,Season onset,Bin,week,46,47,8.668612104616967e-5
US National,Season onset,Bin,week,47,48,8.811473904778306e-5
US National,Season onset,Bin,week,48,49,8.985657315198039e-5
US National,Season onset,Bin,week,49,50,9.042751483250411e-5
US National,Season onset,Bin,week,50,51,0.013715803681369432
US National,Season onset,Bin,week,51,52,0.809222745358887
US National,Season onset,Bin,week,52,53,0.1737897650004563
US National,Season onset,Bin,week,1,2,6.940179993969701e-4
US National,Season onset,Bin,week,2,3,8.650642662208892e-5
US National,Season onset,Bin,week,3,4,8.823206745927745e-5
US National,Season onset,Bin,week,4,5,9.007508555453711e-5
US National,Season onset,Bin,week,5,6,9.177821325976095e-5
US National,Season onset,Bin,week,6,7,9.084873929477532e-5
US National,Season onset,Bin,week,7,8,8.882788803911137e-5
US National,Season onset,Bin,week,8,9,8.515593976679091e-5
US National,Season onset,Bin,week,9,10,8.624912277319024e-5
US National,Season onset,Bin,week,10,11,8.696276344087391e-5
US National,Season onset,Bin,week,11,12,8.73971768685017e-5
US National,Season onset,Bin,week,12,13,8.84894929248657e-5
US National,Season onset,Bin,week,13,14,8.895530199210415e-5
US National,Season onset,Bin,week,14,15,8.879460406956e-5
US National,Season onset,Bin,week,15,16,8.556061134063195e-5
US National,Season onset,Bin,week,16,17,8.592918981191335e-5
US National,Season onset,Bin,week,17,18,8.735970309911418e-5
US National,Season onset,Bin,week,18,19,8.910343248896877e-5
US National,Season onset,Bin,week,19,20,9.116037798108288e-5
US National,Season onset,Bin,week,20,21,2.0689103370328164e-5
US National,Season onset,Bin,week,none,none,8.967134917956259e-5
US National,Season peak week,Point,week,NA,NA,3
US National,Season peak week,Bin,week,40,41,9.043510363496606e-5
US National,Season peak week,Bin,week,41,42,9.057880668390794e-5
US National,Season peak week,Bin,week,42,43,9.082313852248998e-5
US National,Season peak week,Bin,week,43,44,9.065382637662643e-5
US National,Season peak week,Bin,week,44,45,9.0650963091103e-5
US National,Season peak week,Bin,week,45,46,9.048535696991733e-5
US National,Season peak week,Bin,week,46,47,9.034009626831543e-5
US National,Season peak week,Bin,week,47,48,9.052357251153831e-5
US National,Season peak week,Bin,week,48,49,9.068881606167609e-5
US National,Season peak week,Bin,week,49,50,9.080793770508039e-5
US National,Season peak week,Bin,week,50,51,9.06565816336747e-5
US National,Season peak week,Bin,week,51,52,9.050909013878027e-5
US National,Season peak week,Bin,week,52,53,1.1576594154101463e-4
US National,Season peak week,Bin,week,1,2,0.24942428094522903
US National,Season peak week,Bin,week,2,3,0.33262909682170194
US National,Season peak week,Bin,week,3,4,0.2750454312514352
US National,Season peak week,Bin,week,4,5,0.13905675677848664
US National,Season peak week,Bin,week,5,6,0.0013279491358619577
US National,Season peak week,Bin,week,6,7,9.23228990853131e-5
US National,Season peak week,Bin,week,7,8,9.294381142609994e-5
US National,Season peak week,Bin,week,8,9,9.133093760428795e-5
US National,Season peak week,Bin,week,9,10,9.078296978581449e-5
US National,Season peak week,Bin,week,10,11,9.067464905136687e-5
US National,Season peak week,Bin,week,11,12,9.07115739757848e-5
US National,Season peak week,Bin,week,12,13,9.05065473503428e-5
US National,Season peak week,Bin,week,13,14,9.03258960221268e-5
US National,Season peak week,Bin,week,14,15,9.048841066920336e-5
US National,Season peak week,Bin,week,15,16,9.066051681144348e-5
US National,Season peak week,Bin,week,16,17,9.083226310524457e-5
US National,Season peak week,Bin,week,17,18,9.063236336510865e-5
US National,Season peak week,Bin,week,18,19,9.058053207462206e-5
US National,Season peak week,Bin,week,19,20,9.041733504249856e-5
US National,Season peak week,Bin,week,20,21,4.035513077691318e-5
US National,Season peak percentage,Point,percent,NA,NA,3.5
US National,Season peak percentage,Bin,percent,0,0.1,2.2858161660222776e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.29831797056336e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.2821910574217187e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.275768622045332e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.2783204648896498e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2846185298111352e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.2993762739644575e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.2767730486082855e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.2792814893775916e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.280567301364599e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.2879895329569892e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.2887112079705014e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2757915801045647e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.281653955197868e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2903083136813735e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.3072600828146034e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.276204027265154e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,2.271358092689741e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,2.278014313297876e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.2828120052862226e-5
US National,Season peak percentage,Bin,percent,2,2.1,2.2974424199064425e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,2.284704068975915e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,2.5975808882200977e-5
US National,Season peak percentage,Bin,percent,2.3,2.4,2.484287401524714e-5
US National,Season peak percentage,Bin,percent,2.4,2.5,2.2929361449812684e-5
US National,Season peak percentage,Bin,percent,2.5,2.6,2.286429001829326e-5
US National,Season peak percentage,Bin,percent,2.6,2.7,2.2754293192756168e-5
US National,Season peak percentage,Bin,percent,2.7,2.8,2.2818434599353203e-5
