"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"3"
"US National","Season onset","Bin","week","40","41","4.4474698613495e-05"
"US National","Season onset","Bin","week","41","42","4.47443296225574e-05"
"US National","Season onset","Bin","week","42","43","4.50500569017589e-05"
"US National","Season onset","Bin","week","43","44","4.53918804512204e-05"
"US National","Season onset","Bin","week","44","45","4.57698002707741e-05"
"US National","Season onset","Bin","week","45","46","4.61838163605166e-05"
"US National","Season onset","Bin","week","46","47","4.63128380865549e-05"
"US National","Season onset","Bin","week","47","48","4.57239200414627e-05"
"US National","Season onset","Bin","week","48","49","4.56107984034526e-05"
"US National","Season onset","Bin","week","49","50","4.54254842251927e-05"
"US National","Season onset","Bin","week","50","51","4.33495957004662e-05"
"US National","Season onset","Bin","week","51","52","0.00446687076905399"
"US National","Season onset","Bin","week","52","1","0.00356301622592594"
"US National","Season onset","Bin","week","1","2","0.00441832667327516"
"US National","Season onset","Bin","week","2","3","0.737617798692654"
"US National","Season onset","Bin","week","3","4","0.248665427896172"
"US National","Season onset","Bin","week","4","5","4.50624138792665e-05"
"US National","Season onset","Bin","week","5","6","4.53913358107911e-05"
"US National","Season onset","Bin","week","6","7","4.56480652014147e-05"
"US National","Season onset","Bin","week","7","8","4.58326020522053e-05"
"US National","Season onset","Bin","week","8","9","4.59449463623618e-05"
"US National","Season onset","Bin","week","9","10","4.59535048590086e-05"
"US National","Season onset","Bin","week","10","11","4.39522613041864e-05"
"US National","Season onset","Bin","week","11","12","4.41013018252718e-05"
"US National","Season onset","Bin","week","12","13","4.42864386166075e-05"
"US National","Season onset","Bin","week","13","14","4.38993905205201e-05"
"US National","Season onset","Bin","week","14","15","4.40082417422399e-05"
"US National","Season onset","Bin","week","15","16","4.43528787010366e-05"
"US National","Season onset","Bin","week","16","17","4.46253231195997e-05"
"US National","Season onset","Bin","week","17","18","4.48255749980628e-05"
"US National","Season onset","Bin","week","18","19","4.49536343357583e-05"
"US National","Season onset","Bin","week","19","20","4.50095011333538e-05"
"US National","Season onset","Bin","week","20","21","7.80757679713867e-06"
"US National","Season onset","Bin","week","none","none","4.48675329826664e-05"
"US National","Season peak week","Point","week",NA,NA,"7"
"US National","Season peak week","Bin","week","40","41","4.53949405655175e-05"
"US National","Season peak week","Bin","week","41","42","4.56566090644313e-05"
"US National","Season peak week","Bin","week","42","43","4.59688806479724e-05"
"US National","Season peak week","Bin","week","43","44","4.63317553155765e-05"
"US National","Season peak week","Bin","week","44","45","4.67452330677748e-05"
"US National","Season peak week","Bin","week","45","46","4.72093139044778e-05"
"US National","Season peak week","Bin","week","46","47","4.77239978255292e-05"
"US National","Season peak week","Bin","week","47","48","4.74298951602681e-05"
"US National","Season peak week","Bin","week","48","49","4.71401775969881e-05"
"US National","Season peak week","Bin","week","49","50","4.6994685598557e-05"
"US National","Season peak week","Bin","week","50","51","4.57889408719838e-05"
"US National","Season peak week","Bin","week","51","52","4.47039221644017e-05"
"US National","Season peak week","Bin","week","52","1","4.50432334841657e-05"
"US National","Season peak week","Bin","week","1","2","4.77249958031668e-05"
"US National","Season peak week","Bin","week","2","3","4.66173351927735e-05"
"US National","Season peak week","Bin","week","3","4","4.73279746014893e-05"
"US National","Season peak week","Bin","week","4","5","5.7258298494608e-05"
"US National","Season peak week","Bin","week","5","6","0.0121597207012752"
"US National","Season peak week","Bin","week","6","7","0.776778720375443"
"US National","Season peak week","Bin","week","7","8","0.209697731144168"
"US National","Season peak week","Bin","week","8","9","4.73874486598882e-05"
"US National","Season peak week","Bin","week","9","10","4.61212600550887e-05"
"US National","Season peak week","Bin","week","10","11","4.52671463347962e-05"
"US National","Season peak week","Bin","week","11","12","4.54937615825536e-05"
