Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.01883661170543413
US National,Season onset,Bin,week,41,42,0.023352008378557308
US National,Season onset,Bin,week,42,43,0.0281366013168324
US National,Season onset,Bin,week,43,44,0.03306815338646554
US National,Season onset,Bin,week,44,45,0.037982392939477694
US National,Season onset,Bin,week,45,46,0.042748277998907715
US National,Season onset,Bin,week,46,47,0.047200168239287105
US National,Season onset,Bin,week,47,48,0.051142621842271835
US National,Season onset,Bin,week,48,49,0.05433738924871683
US National,Season onset,Bin,week,49,50,0.05654946840882355
US National,Season onset,Bin,week,50,51,0.05759477070598176
US National,Season onset,Bin,week,51,52,0.05736928790110907
US National,Season onset,Bin,week,52,53,0.055875141708280014
US National,Season onset,Bin,week,1,2,0.05324663032878709
US National,Season onset,Bin,week,2,3,0.049695420009618525
US National,Season onset,Bin,week,3,4,0.045481343194450366
US National,Season onset,Bin,week,4,5,0.04086494694169898
US National,Season onset,Bin,week,5,6,0.03610120534969585
US National,Season onset,Bin,week,6,7,0.03141388648473167
US National,Season onset,Bin,week,7,8,0.026976016367373498
US National,Season onset,Bin,week,8,9,0.022930360555733987
US National,Season onset,Bin,week,9,10,0.019371480795346844
US National,Season onset,Bin,week,10,11,0.016376668809349446
US National,Season onset,Bin,week,11,12,0.013940988921589077
US National,Season onset,Bin,week,12,13,0.01202372326955477
US National,Season onset,Bin,week,13,14,0.010543932200560035
US National,Season onset,Bin,week,14,15,0.009401077246363167
US National,Season onset,Bin,week,15,16,0.00848571209320226
US National,Season onset,Bin,week,16,17,0.007696014101484527
US National,Season onset,Bin,week,17,18,0.006953531562274501
US National,Season onset,Bin,week,18,19,0.0062056709764807755
US National,Season onset,Bin,week,19,20,0.005434780435167142
US National,Season onset,Bin,week,20,21,0.004642326202060915
US National,Season onset,Bin,week,none,none,0.008021390374331552
US National,Season peak week,Point,week,NA,NA,7
US National,Season peak week,Bin,week,40,41,0.012208781887718994
US National,Season peak week,Bin,week,41,42,0.014082263955317477
US National,Season peak week,Bin,week,42,43,0.015937609811670195
US National,Season peak week,Bin,week,43,44,0.017769222808793783
US National,Season peak week,Bin,week,44,45,0.01960082781263363
US National,Season peak week,Bin,week,45,46,0.021483699145507348
US National,Season peak week,Bin,week,46,47,0.02348444474992766
US National,Season peak week,Bin,week,47,48,0.025669367086692388
US National,Season peak week,Bin,week,48,49,0.028100035023870873
US National,Season peak week,Bin,week,49,50,0.030811659737492794
US National,Season peak week,Bin,week,50,51,0.03380469907583135
US National,Season peak week,Bin,week,51,52,0.03703689590600115
US National,Season peak week,Bin,week,52,53,0.04041816121192531
US National,Season peak week,Bin,week,1,2,0.043810669955449834
US National,Season peak week,Bin,week,2,3,0.047010575040984735
US National,Season peak week,Bin,week,3,4,0.04979340028309724
US National,Season peak week,Bin,week,4,5,0.05190983593934877
US National,Season peak week,Bin,week,5,6,0.05312057967971069
US National,Season peak week,Bin,week,6,7,0.05323482549494059
US National,Season peak week,Bin,week,7,8,0.05214516537326768
US National,Season peak week,Bin,week,8,9,0.04984767678488566
US National,Season peak week,Bin,week,9,10,0.04647029222969652
US National,Season peak week,Bin,week,10,11,0.042238460585115795
US National,Season peak week,Bin,week,11,12,0.03744917143817148
US National,Season peak week,Bin,week,12,13,0.03242776776072027
US National,Season peak week,Bin,week,13,14,0.027480130024712245
US National,Season peak week,Bin,week,14,15,0.02285470512769535
US National,Season peak week,Bin,week,15,16,0.018715923782305754
US National,Season peak week,Bin,week,16,17,0.015156806849740929
US National,Season peak week,Bin,week,17,18,0.012185335440614993
US National,Season peak week,Bin,week,18,19,0.009753770199165058
US National,Season peak week,Bin,week,19,20,0.007786954252315436
US National,Season peak week,Bin,week,20,21,0.006200285544677963
US National,Season peak percentage,Point,percent,NA,NA,4.999999999999609
US National,Season peak percentage,Bin,percent,0,0.1,0.001976956690736754
US National,Season peak percentage,Bin,percent,0.1,0.2,0.002141822794090151
US National,Season peak percentage,Bin,percent,0.2,0.3,0.002317871878508326
US National,Season peak percentage,Bin,percent,0.3,0.4,0.002508496433936799
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0027140405614080824
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0029262085862128947
