"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"51"
"US National","Season onset","Bin","week","40","41","0.0059206122778512"
"US National","Season onset","Bin","week","41","42","0.00728815554123513"
"US National","Season onset","Bin","week","42","43","0.00892970330172636"
"US National","Season onset","Bin","week","43","44","0.0115045539295692"
"US National","Season onset","Bin","week","44","45","0.0162325585448606"
"US National","Season onset","Bin","week","45","46","0.0246823586498096"
"US National","Season onset","Bin","week","46","47","0.0382785383322803"
"US National","Season onset","Bin","week","47","48","0.0568867564011341"
"US National","Season onset","Bin","week","48","49","0.0781804464007213"
"US National","Season onset","Bin","week","49","50","0.0971704405877328"
"US National","Season onset","Bin","week","50","51","0.108258404696172"
"US National","Season onset","Bin","week","51","52","0.107670486579556"
"US National","Season onset","Bin","week","52","1","0.0956236568887878"
"US National","Season onset","Bin","week","1","2","0.0761359674793777"
"US National","Season onset","Bin","week","2","3","0.0549840324137206"
"US National","Season onset","Bin","week","3","4","0.0367732808000391"
"US National","Season onset","Bin","week","4","5","0.0238454865308365"
"US National","Season onset","Bin","week","5","6","0.0159917621883305"
"US National","Season onset","Bin","week","6","7","0.0119178114152819"
"US National","Season onset","Bin","week","7","8","0.0100759673684181"
"US National","Season onset","Bin","week","8","9","0.00935388527368727"
"US National","Season onset","Bin","week","9","10","0.00910567533739332"
"US National","Season onset","Bin","week","10","11","0.00902984004988142"
"US National","Season onset","Bin","week","11","12","0.00900552854545873"
"US National","Season onset","Bin","week","12","13","0.00898626789804201"
"US National","Season onset","Bin","week","13","14","0.00894550583737196"
"US National","Season onset","Bin","week","14","15","0.00884987635683836"
"US National","Season onset","Bin","week","15","16","0.00865044797244694"
"US National","Season onset","Bin","week","16","17","0.00828032332424208"
"US National","Season onset","Bin","week","17","18","0.00767682598747196"
"US National","Season onset","Bin","week","18","19","0.00680472659055635"
"US National","Season onset","Bin","week","19","20","0.00569346779035496"
"US National","Season onset","Bin","week","20","21","0.00444311929704901"
"US National","Season onset","Bin","week","none","none","0.00882352941176471"
"US National","Season peak week","Point","week",NA,NA,"3"
"US National","Season peak week","Bin","week","40","41","0.00583110124218907"
"US National","Season peak week","Bin","week","41","42","0.00686455662459359"
"US National","Season peak week","Bin","week","42","43","0.00802432476857529"
"US National","Season peak week","Bin","week","43","44","0.00941338318238193"
"US National","Season peak week","Bin","week","44","45","0.0111661038159392"
"US National","Season peak week","Bin","week","45","46","0.0134768588109302"
"US National","Season peak week","Bin","week","46","47","0.0165646623555736"
"US National","Season peak week","Bin","week","47","48","0.020587916934231"
"US National","Season peak week","Bin","week","48","49","0.0256654764320162"
"US National","Season peak week","Bin","week","49","50","0.0317801097748805"
"US National","Season peak week","Bin","week","50","51","0.0386807853610881"
"US National","Season peak week","Bin","week","51","52","0.0459968477537835"
"US National","Season peak week","Bin","week","52","1","0.0531609977733391"
