Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.018603232693481436
US National,Season onset,Bin,week,41,42,0.02360020488817277
US National,Season onset,Bin,week,42,43,0.029193910320035446
US National,Season onset,Bin,week,43,44,0.03525586691738196
US National,Season onset,Bin,week,44,45,0.041558940290289115
US National,Season onset,Bin,week,45,46,0.047756768209317416
US National,Season onset,Bin,week,46,47,0.05339341758783512
US National,Season onset,Bin,week,47,48,0.05795944427565683
US National,Season onset,Bin,week,48,49,0.06098869048697369
US National,Season onset,Bin,week,49,50,0.06216906273374212
US National,Season onset,Bin,week,50,51,0.06142973810306109
US National,Season onset,Bin,week,51,52,0.058975420136203
US National,Season onset,Bin,week,52,53,0.055226181262325154
US National,Season onset,Bin,week,1,2,0.050707475237569695
US National,Season onset,Bin,week,2,3,0.04591974293023537
US National,Season onset,Bin,week,3,4,0.04123241952429673
US National,Season onset,Bin,week,4,5,0.03684038708032106
US National,Season onset,Bin,week,5,6,0.03278325609741781
US National,Season onset,Bin,week,6,7,0.029008786169054793
US National,Season onset,Bin,week,7,8,0.02544613013857234
US National,Season onset,Bin,week,8,9,0.022059225612573827
US National,Season onset,Bin,week,9,10,0.018866494634200114
US National,Season onset,Bin,week,10,11,0.015927722974330955
US National,Season onset,Bin,week,11,12,0.013318958516181693
US National,Season onset,Bin,week,12,13,0.011095048078667683
US National,Season onset,Bin,week,13,14,0.009269791346656257
US National,Season onset,Bin,week,14,15,0.007813569485928932
US National,Season onset,Bin,week,15,16,0.006661519014484023
US National,Season onset,Bin,week,16,17,0.005731856668940492
US National,Season onset,Bin,week,17,18,0.004944760483010125
US National,Season onset,Bin,week,18,19,0.004237548641623439
US National,Season onset,Bin,week,19,20,0.0035725583135447336
US National,Season onset,Bin,week,20,21,0.0029371652655618623
US National,Season onset,Bin,week,none,none,0.0055147058823529415
US National,Season peak week,Point,week,NA,NA,6.999999999999986
US National,Season peak week,Bin,week,40,41,0.010152418857407617
US National,Season peak week,Bin,week,41,42,0.011708496042699757
US National,Season peak week,Bin,week,42,43,0.01334423717247493
US National,Season peak week,Bin,week,43,44,0.015185419420006735
US National,Season peak week,Bin,week,44,45,0.017387891690633556
US National,Season peak week,Bin,week,45,46,0.020103263988587576
US National,Season peak week,Bin,week,46,47,0.0233886704113211
US National,Season peak week,Bin,week,47,48,0.02721054452380137
US National,Season peak week,Bin,week,48,49,0.0314063497336922
US National,Season peak week,Bin,week,49,50,0.03572639610088842
US National,Season peak week,Bin,week,50,51,0.03986914895801633
US National,Season peak week,Bin,week,51,52,0.043583711234109576
US National,Season peak week,Bin,week,52,53,0.04672364982630484
US National,Season peak week,Bin,week,1,2,0.04924825715057331
US National,Season peak week,Bin,week,2,3,0.05119263265286575
US National,Season peak week,Bin,week,3,4,0.052595086389516106
US National,Season peak week,Bin,week,4,5,0.053453980414238676
US National,Season peak week,Bin,week,5,6,0.053676574222584865
US National,Season peak week,Bin,week,6,7,0.05309822234714619
US National,Season peak week,Bin,week,7,8,0.05154721004741199
US National,Season peak week,Bin,week,8,9,0.04892136400445299
US National,Season peak week,Bin,week,9,10,0.04524167745404424
US National,Season peak week,Bin,week,10,11,0.040670901234759894
US National,Season peak week,Bin,week,11,12,0.035504272259940906
US National,Season peak week,Bin,week,12,13,0.030117672124454813
US National,Season peak week,Bin,week,13,14,0.02485892210918253
US National,Season peak week,Bin,week,14,15,0.020019578195922802
US National,Season peak week,Bin,week,15,16,0.01578013089809786
US National,Season peak week,Bin,week,16,17,0.012247419407675939
US National,Season peak week,Bin,week,17,18,0.009396459982872188
US National,Season peak week,Bin,week,18,19,0.007153706779421175
US National,Season peak week,Bin,week,19,20,0.005413103000282749
US National,Season peak week,Bin,week,20,21,0.004072631364611114
US National,Season peak percentage,Point,percent,NA,NA,4.6
US National,Season peak percentage,Bin,percent,0,0.1,0.0014521948626894032
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0016179952761172002
US National,Season peak percentage,Bin,percent,0.2,0.3,0.001787324520780118
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0019821478358675545
US National,Season peak percentage,Bin,percent,0.4,0.5,0.002187463002024023
US National,Season peak percentage,Bin,percent,0.5,0.6,0.002414233146337856
US National,Season peak percentage,Bin,percent,0.6,0.7,0.002660654681679591
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0029215924063951443
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0032141958788980073
US National,Season peak percentage,Bin,percent,0.9,1,0.0035109970318649916
US National,Season peak percentage,Bin,percent,1,1.1,0.0038533571146564527
US National,Season peak percentage,Bin,percent,1.1,1.2,0.004192666510600668
US National,Season peak percentage,Bin,percent,1.2,1.3,0.004573404875858885
US National,Season peak percentage,Bin,percent,1.3,1.4,0.004961661198411318
US National,Season peak percentage,Bin,percent,1.4,1.5,0.005378176319172491
US National,Season peak percentage,Bin,percent,1.5,1.6,0.005814421461268372
US National,Season peak percentage,Bin,percent,1.6,1.7,0.006261236204825364
US National,Season peak percentage,Bin,percent,1.7,1.8,0.006741452577391361
US National,Season peak percentage,Bin,percent,1.8,1.9,0.007210818211344619
US National,Season peak percentage,Bin,percent,1.9,2,0.007728558971243519
US National,Season peak percentage,Bin,percent,2,2.1,0.008219674882498635
US National,Season peak percentage,Bin,percent,2.1,2.2,0.008747337739805256
US National,Season peak percentage,Bin,percent,2.2,2.3,0.009258386290438111
US National,Season peak percentage,Bin,percent,2.3,2.4,0.009781912920315045
US National,Season peak percentage,Bin,percent,2.4,2.5,0.010301081617662588
US National,Season peak percentage,Bin,percent,2.5,2.6,0.010807048852557328
US National,Season peak percentage,Bin,percent,2.6,2.7,0.011320131168360607
US National,Season peak percentage,Bin,percent,2.7,2.8,0.01179546073808441
US National,Season peak percentage,Bin,percent,2.8,2.9,0.012288176711655921
US National,Season peak percentage,Bin,percent,2.9,3,0.01272824721658926
US National,Season peak percentage,Bin,percent,3,3.1,0.01317276537480624
US National,Season peak percentage,Bin,percent,3.1,3.2,0.013574316116272911
US National,Season peak percentage,Bin,percent,3.2,3.3,0.013959321251485484
US National,Season peak percentage,Bin,percent,3.3,3.4,0.014313444903098166
US National,Season peak percentage,Bin,percent,3.4,3.5,0.014634062133377873
US National,Season peak percentage,Bin,percent,3.5,3.6,0.014932598847435393
US National,Season peak percentage,Bin,percent,3.6,3.7,0.015186656322457323
US National,Season peak percentage,Bin,percent,3.7,3.8,0.015424536522834395
US National,Season peak percentage,Bin,percent,3.8,3.9,0.015615815205710516
US National,Season peak percentage,Bin,percent,3.9,4,0.01578721496968139
US National,Season peak percentage,Bin,percent,4,4.1,0.01592069358502737
US National,Season peak percentage,Bin,percent,4.1,4.2,0.016028359241075978
US National,Season peak percentage,Bin,percent,4.2,4.3,0.016106443824631396
US National,Season peak percentage,Bin,percent,4.3,4.4,0.016157143236910636
US National,Season peak percentage,Bin,percent,4.4,4.5,0.016183162608047166
US National,Season peak percentage,Bin,percent,4.5,4.6,0.01618436762592503
US National,Season peak percentage,Bin,percent,4.6,4.7,0.016161756220900724
US National,Season peak percentage,Bin,percent,4.7,4.8,0.016119527677215858
US National,Season peak percentage,Bin,percent,4.8,4.9,0.016053473163481456
US National,Season peak percentage,Bin,percent,4.9,5,0.015971725065360216
US National,Season peak percentage,Bin,percent,5,5.1,0.01586881813287592
US National,Season peak percentage,Bin,percent,5.1,5.2,0.015749770729198344
US National,Season peak percentage,Bin,percent,5.2,5.3,0.015614653504282197
US National,Season peak percentage,Bin,percent,5.3,5.4,0.015459880602226722
US National,Season peak percentage,Bin,percent,5.4,5.5,0.015296265303688968
US National,Season peak percentage,Bin,percent,5.5,5.6,0.015106964648193083
US National,Season peak percentage,Bin,percent,5.6,5.7,0.01491560169722064
US National,Season peak percentage,Bin,percent,5.7,5.8,0.014696847761276912
US National,Season peak percentage,Bin,percent,5.8,5.9,0.01447555318132411
US National,Season peak percentage,Bin,percent,5.9,6,0.014232623873462866
US National,Season peak percentage,Bin,percent,6,6.1,0.013980606661751101
US National,Season peak percentage,Bin,percent,6.1,6.2,0.013716365922587724
US National,Season peak percentage,Bin,percent,6.2,6.3,0.013434510099643138
US National,Season peak percentage,Bin,percent,6.3,6.4,0.013151894654867116
US National,Season peak percentage,Bin,percent,6.4,6.5,0.012841532465611986
US National,Season peak percentage,Bin,percent,6.5,6.6,0.012540886601504514
US National,Season peak percentage,Bin,percent,6.6,6.7,0.012210022206802618
US National,Season peak percentage,Bin,percent,6.7,6.8,0.011888581455649302
US National,Season peak percentage,Bin,percent,6.8,6.9,0.011546560685526848
US National,Season peak percentage,Bin,percent,6.9,7,0.011204081584207956
US National,Season peak percentage,Bin,percent,7,7.1,0.010854827825805918
US National,Season peak percentage,Bin,percent,7.1,7.2,0.0104943098979074
US National,Season peak percentage,Bin,percent,7.2,7.3,0.010141849620883964
US National,Season peak percentage,Bin,percent,7.3,7.4,0.009766625155056946
US National,Season peak percentage,Bin,percent,7.4,7.5,0.009412100984417348
US National,Season peak percentage,Bin,percent,7.5,7.6,0.00903136964861179
US National,Season peak percentage,Bin,percent,7.6,7.7,0.00867195371428999
US National,Season peak percentage,Bin,percent,7.7,7.8,0.008297770225799212
US National,Season peak percentage,Bin,percent,7.8,7.9,0.007933534689138058
US National,Season peak percentage,Bin,percent,7.9,8,0.007570077036654741
US National,Season peak percentage,Bin,percent,8,8.1,0.007205460053493373
US National,Season peak percentage,Bin,percent,8.1,8.2,0.006856929428109582
US National,Season peak percentage,Bin,percent,8.2,8.3,0.006496801017705223
US National,Season peak percentage,Bin,percent,8.3,8.4,0.006165234481636949
US National,Season peak percentage,Bin,percent,8.4,8.5,0.005818599550013849
US National,Season peak percentage,Bin,percent,8.5,8.6,0.005502071232463802
US National,Season peak percentage,Bin,percent,8.6,8.7,0.005181571373952067
US National,Season peak percentage,Bin,percent,8.7,8.8,0.004880568333264741
US National,Season peak percentage,Bin,percent,8.8,8.9,0.004589332102532321
US National,Season peak percentage,Bin,percent,8.9,9,0.00430814367832915
US National,Season peak percentage,Bin,percent,9,9.1,0.004048283384067713
US National,Season peak percentage,Bin,percent,9.1,9.2,0.0037907912159127082
US National,Season peak percentage,Bin,percent,9.2,9.3,0.0035625888886317444
US National,Season peak percentage,Bin,percent,9.3,9.4,0.0033334380422237217
US National,Season peak percentage,Bin,percent,9.4,9.5,0.003133389483464018
US National,Season peak percentage,Bin,percent,9.5,9.6,0.0029386372917640973
US National,Season peak percentage,Bin,percent,9.6,9.7,0.0027642451886692745
US National,Season peak percentage,Bin,percent,9.7,9.8,0.0026022964176270705
US National,Season peak percentage,Bin,percent,9.8,9.9,0.002453354028334133
US National,Season peak percentage,Bin,percent,9.9,10,0.002321235402537374
US National,Season peak percentage,Bin,percent,10,10.1,0.0021962021562239877
US National,Season peak percentage,Bin,percent,10.1,10.2,0.002089935866748078
US National,Season peak percentage,Bin,percent,10.2,10.3,0.001987367755158903
US National,Season peak percentage,Bin,percent,10.3,10.4,0.0019015886982964526
US National,Season peak percentage,Bin,percent,10.4,10.5,0.0018207399824429992
US National,Season peak percentage,Bin,percent,10.5,10.6,0.0017506169254353208
US National,Season peak percentage,Bin,percent,10.6,10.7,0.0016868559427332182
US National,Season peak percentage,Bin,percent,10.7,10.8,0.0016293761522560412
US National,Season peak percentage,Bin,percent,10.8,10.9,0.001578596806960069
US National,Season peak percentage,Bin,percent,10.9,11,0.0015305527985400066
US National,Season peak percentage,Bin,percent,11,11.1,0.0014888761440171384
US National,Season peak percentage,Bin,percent,11.1,11.2,0.0014472292802238669
US National,Season peak percentage,Bin,percent,11.2,11.3,0.0014108089048753554
US National,Season peak percentage,Bin,percent,11.3,11.4,0.0013740863395650027
US National,Season peak percentage,Bin,percent,11.4,11.5,0.0013397779425136816
US National,Season peak percentage,Bin,percent,11.5,11.6,0.001305472859920952
US National,Season peak percentage,Bin,percent,11.6,11.7,0.0012713278567224242
US National,Season peak percentage,Bin,percent,11.7,11.8,0.0012376391974222435
US National,Season peak percentage,Bin,percent,11.8,11.9,0.0012021716408757474
US National,Season peak percentage,Bin,percent,11.9,12,0.0011679132203668968
US National,Season peak percentage,Bin,percent,12,12.1,0.0011300809386284416
US National,Season peak percentage,Bin,percent,12.1,12.2,0.0010939415784749502
US National,Season peak percentage,Bin,percent,12.2,12.3,0.0010545705645718722
US National,Season peak percentage,Bin,percent,12.3,12.4,0.0010156104251004949
US National,Season peak percentage,Bin,percent,12.4,12.5,9.747627679356983e-4
US National,Season peak percentage,Bin,percent,12.5,12.6,9.330347348059845e-4
US National,Season peak percentage,Bin,percent,12.6,12.7,8.911158637588771e-4
US National,Season peak percentage,Bin,percent,12.7,12.8,8.470459224930483e-4
US National,Season peak percentage,Bin,percent,12.8,12.9,8.047162393963349e-4
US National,Season peak percentage,Bin,percent,12.9,13,7.5898367302769e-4
US National,Season peak percentage,Bin,percent,13,100,0.007820195534178374
US National,1 wk ahead,Point,percent,NA,NA,1.3
US National,1 wk ahead,Bin,percent,0,0.1,0.0035669233901686748
US National,1 wk ahead,Bin,percent,0.1,0.2,0.005394889894839392
US National,1 wk ahead,Bin,percent,0.2,0.3,0.008047617846323926
US National,1 wk ahead,Bin,percent,0.3,0.4,0.011692194885322329
US National,1 wk ahead,Bin,percent,0.4,0.5,0.01643082028866015
US National,1 wk ahead,Bin,percent,0.5,0.6,0.022305361536539996
US National,1 wk ahead,Bin,percent,0.6,0.7,0.029236926774775168
US National,1 wk ahead,Bin,percent,0.7,0.8,0.03700022779537423
US National,1 wk ahead,Bin,percent,0.8,0.9,0.044806418600859765
US National,1 wk ahead,Bin,percent,0.9,1,0.05211688282983637
US National,1 wk ahead,Bin,percent,1,1.1,0.05818969353290536
US National,1 wk ahead,Bin,percent,1.1,1.2,0.062404414867669296
US National,1 wk ahead,Bin,percent,1.2,1.3,0.06403947741486256
US National,1 wk ahead,Bin,percent,1.3,1.4,0.0630459751977127
US National,1 wk ahead,Bin,percent,1.4,1.5,0.059520337302957124
US National,1 wk ahead,Bin,percent,1.5,1.6,0.05379544515939586
US National,1 wk ahead,Bin,percent,1.6,1.7,0.046621495571976056
US National,1 wk ahead,Bin,percent,1.7,1.8,0.03881862476406401
US National,1 wk ahead,Bin,percent,1.8,1.9,0.03105672456220539
US National,1 wk ahead,Bin,percent,1.9,2,0.02386375869512742
US National,1 wk ahead,Bin,percent,2,2.1,0.01763782376425048
US National,1 wk ahead,Bin,percent,2.1,2.2,0.012692939901115927
US National,1 wk ahead,Bin,percent,2.2,2.3,0.008925654438360029
US National,1 wk ahead,Bin,percent,2.3,2.4,0.006205480726883034
US National,1 wk ahead,Bin,percent,2.4,2.5,0.004308631045929283
US National,1 wk ahead,Bin,percent,2.5,2.6,0.0031157791987002485
US National,1 wk ahead,Bin,percent,2.6,2.7,0.0023749398184858533
US National,1 wk ahead,Bin,percent,2.7,2.8,0.0019388651894603353
US National,1 wk ahead,Bin,percent,2.8,2.9,0.0016932038700503938
US National,1 wk ahead,Bin,percent,2.9,3,0.001563202861915725
US National,1 wk ahead,Bin,percent,3,3.1,0.0014982429576537704
US National,1 wk ahead,Bin,percent,3.1,3.2,0.0014664845981656384
US National,1 wk ahead,Bin,percent,3.2,3.3,0.0014516654836543772
US National,1 wk ahead,Bin,percent,3.3,3.4,0.001445203862055682
US National,1 wk ahead,Bin,percent,3.4,3.5,0.0014425141594763611
US National,1 wk ahead,Bin,percent,3.5,3.6,0.0014414352647993504
US National,1 wk ahead,Bin,percent,3.6,3.7,0.0014410212051663626
US National,1 wk ahead,Bin,percent,3.7,3.8,0.0014408694648445565
US National,1 wk ahead,Bin,percent,3.8,3.9,0.0014408218224586725
US National,1 wk ahead,Bin,percent,3.9,4,0.0014408077118182312
US National,1 wk ahead,Bin,percent,4,4.1,0.001440804666607958
US National,1 wk ahead,Bin,percent,4.1,4.2,0.0014408041296347616
US National,1 wk ahead,Bin,percent,4.2,4.3,0.0014408031178377442
US National,1 wk ahead,Bin,percent,4.3,4.4,0.0014408007813578227
US National,1 wk ahead,Bin,percent,4.4,4.5,0.0014407971755999109
US National,1 wk ahead,Bin,percent,4.5,4.6,0.0014407927586711563
US National,1 wk ahead,Bin,percent,4.6,4.7,0.001440788288257734
US National,1 wk ahead,Bin,percent,4.7,4.8,0.001440784652612037
US National,1 wk ahead,Bin,percent,4.8,4.9,0.001440782474040972
US National,1 wk ahead,Bin,percent,4.9,5,0.0014407822854402392
US National,1 wk ahead,Bin,percent,5,5.1,0.00144078450188274
US National,1 wk ahead,Bin,percent,5.1,5.2,0.0014407896641501054
US National,1 wk ahead,Bin,percent,5.2,5.3,0.0014407995840221188
US National,1 wk ahead,Bin,percent,5.3,5.4,0.0014408196983047071
US National,1 wk ahead,Bin,percent,5.4,5.5,0.0014408678002140179
US National,1 wk ahead,Bin,percent,5.5,5.6,0.0014409842317452603
US National,1 wk ahead,Bin,percent,5.6,5.7,0.0014412656390505733
US National,1 wk ahead,Bin,percent,5.7,5.8,0.0014419315536477399
US National,1 wk ahead,Bin,percent,5.8,5.9,0.0014434430380756184
US National,1 wk ahead,Bin,percent,5.9,6,0.0014467682000329398
US National,1 wk ahead,Bin,percent,6,6.1,0.0014535495103012875
US National,1 wk ahead,Bin,percent,6.1,6.2,0.0014667198623655345
US National,1 wk ahead,Bin,percent,6.2,6.3,0.001491537704186741
US National,1 wk ahead,Bin,percent,6.3,6.4,0.0015363849275918241
US National,1 wk ahead,Bin,percent,6.4,6.5,0.0016113417844735045
US National,1 wk ahead,Bin,percent,6.5,6.6,0.0017315558144304672
US National,1 wk ahead,Bin,percent,6.6,6.7,0.0019135109361105795
US National,1 wk ahead,Bin,percent,6.7,6.8,0.0021836983476465257
US National,1 wk ahead,Bin,percent,6.8,6.9,0.002548132870462328
US National,1 wk ahead,Bin,percent,6.9,7,0.003016478053442026
US National,1 wk ahead,Bin,percent,7,7.1,0.003585140892398924
