"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"none"
"US National","Season onset","Bin","week","40","41","3.20331137926334e-05"
"US National","Season onset","Bin","week","41","42","3.41902467952383e-05"
"US National","Season onset","Bin","week","42","43","3.63185666001471e-05"
"US National","Season onset","Bin","week","43","44","3.83609961016748e-05"
"US National","Season onset","Bin","week","44","45","4.03123270050835e-05"
"US National","Season onset","Bin","week","45","46","4.21737910769113e-05"
"US National","Season onset","Bin","week","46","47","4.39007378421092e-05"
"US National","Season onset","Bin","week","47","48","4.54876555713615e-05"
"US National","Season onset","Bin","week","48","49","4.69357291118953e-05"
"US National","Season onset","Bin","week","49","50","4.82160829482816e-05"
"US National","Season onset","Bin","week","50","51","4.93231275525317e-05"
"US National","Season onset","Bin","week","51","52","5.02599949697808e-05"
"US National","Season onset","Bin","week","52","1","5.10089252831514e-05"
"US National","Season onset","Bin","week","1","2","5.15684319609016e-05"
"US National","Season onset","Bin","week","2","3","5.1939454552932e-05"
"US National","Season onset","Bin","week","3","4","5.21153098146094e-05"
"US National","Season onset","Bin","week","4","5","5.2097018287039e-05"
"US National","Season onset","Bin","week","5","6","5.18850529710726e-05"
"US National","Season onset","Bin","week","6","7","5.14772383392391e-05"
"US National","Season onset","Bin","week","7","8","5.08826294396641e-05"
"US National","Season onset","Bin","week","8","9","5.00984319954495e-05"
"US National","Season onset","Bin","week","9","10","4.91278921805285e-05"
"US National","Season onset","Bin","week","10","11","4.79881978126811e-05"
"US National","Season onset","Bin","week","11","12","4.6677260896543e-05"
"US National","Season onset","Bin","week","12","13","4.5199357319086e-05"
"US National","Season onset","Bin","week","13","14","4.35860989997962e-05"
"US National","Season onset","Bin","week","14","15","4.18348298256766e-05"
"US National","Season onset","Bin","week","15","16","3.99522059387713e-05"
"US National","Season onset","Bin","week","16","17","3.79827975423927e-05"
"US National","Season onset","Bin","week","17","18","3.59260342414131e-05"
"US National","Season onset","Bin","week","18","19","3.378669446792e-05"
"US National","Season onset","Bin","week","19","20","3.16227762414932e-05"
"US National","Season onset","Bin","week","20","21","2.94327927628065e-05"
"US National","Season onset","Bin","week","none","none","0.998546298199759"
"US National","Season peak week","Point","week",NA,NA,"52"
"US National","Season peak week","Bin","week","40","41","4.50605895584663e-05"
"US National","Season peak week","Bin","week","41","42","4.53340716135285e-05"
"US National","Season peak week","Bin","week","42","43","4.56421346346555e-05"
"US National","Season peak week","Bin","week","43","44","4.59847786218767e-05"
"US National","Season peak week","Bin","week","44","45","4.63620035752285e-05"
"US National","Season peak week","Bin","week","45","46","4.67738094946915e-05"
"US National","Season peak week","Bin","week","46","47","4.67746258650697e-05"
"US National","Season peak week","Bin","week","47","48","4.62328387071321e-05"
"US National","Season peak week","Bin","week","48","49","4.61094181923245e-05"
"US National","Season peak week","Bin","week","49","50","4.57391315911207e-05"
"US National","Season peak week","Bin","week","50","51","4.38533620877734e-05"
"US National","Season peak week","Bin","week","51","52","0.602137525707648"
"US National","Season peak week","Bin","week","52","1","0.160418426394246"
"US National","Season peak week","Bin","week","1","2","4.47408395128719e-05"
"US National","Season peak week","Bin","week","2","3","4.51058272535666e-05"
"US National","Season peak week","Bin","week","3","4","4.54950777760285e-05"
"US National","Season peak week","Bin","week","4","5","4.55785290116851e-05"
"US National","Season peak week","Bin","week","5","6","4.59040626450873e-05"
"US National","Season peak week","Bin","week","6","7","4.61604343464657e-05"
"US National","Season peak week","Bin","week","7","8","4.63476441155601e-05"
"US National","Season peak week","Bin","week","8","9","4.64656919525005e-05"
"US National","Season peak week","Bin","week","9","10","0.121897774128482"
"US National","Season peak week","Bin","week","10","11","0.051404290370883"
"US National","Season peak week","Bin","week","11","12","0.00598817127505578"
"US National","Season peak week","Bin","week","12","13","0.000446464772998804"
"US National","Season peak week","Bin","week","13","14","0.000142050683281794"
"US National","Season peak week","Bin","week","14","15","4.44591682591771e-05"
"US National","Season peak week","Bin","week","15","16","4.48091763179686e-05"
"US National","Season peak week","Bin","week","16","17","4.5090022444866e-05"
"US National","Season peak week","Bin","week","17","18","0.0419327843140214"
"US National","Season peak week","Bin","week","18","19","0.0145753921080542"
"US National","Season peak week","Bin","week","19","20","4.55175892321149e-05"
"US National","Season peak week","Bin","week","20","21","7.57941851985716e-06"
"US National","Season peak percentage","Point","percent",NA,NA,"2.1"
"US National","Season peak percentage","Bin","percent","0","0.1","1.20424817962792e-05"
"US National","Season peak percentage","Bin","percent","0.1","0.2","1.15061555613333e-05"
"US National","Season peak percentage","Bin","percent","0.2","0.3","1.10581700986429e-05"
"US National","Season peak percentage","Bin","percent","0.3","0.4","1.08861243957097e-05"
"US National","Season peak percentage","Bin","percent","0.4","0.5","1.09893214645167e-05"
"US National","Season peak percentage","Bin","percent","0.5","0.6","1.10930594192761e-05"
"US National","Season peak percentage","Bin","percent","0.6","0.7","1.11973382596316e-05"
"US National","Season peak percentage","Bin","percent","0.7","0.8","1.13021579857869e-05"
"US National","Season peak percentage","Bin","percent","0.8","0.9","1.14075185976678e-05"
"US National","Season peak percentage","Bin","percent","0.9","1","1.15134200952595e-05"
"US National","Season peak percentage","Bin","percent","1","1.1","1.16198624785673e-05"
"US National","Season peak percentage","Bin","percent","1.1","1.2","1.17268457476944e-05"
"US National","Season peak percentage","Bin","percent","1.2","1.3","1.18343699025064e-05"
"US National","Season peak percentage","Bin","percent","1.3","1.4","1.19424349430966e-05"
"US National","Season peak percentage","Bin","percent","1.4","1.5","1.20510408694623e-05"
"US National","Season peak percentage","Bin","percent","1.5","1.6","1.16415858787148e-05"
"US National","Season peak percentage","Bin","percent","1.6","1.7","1.098757702388e-05"
"US National","Season peak percentage","Bin","percent","1.7","1.8","1.08673534107582e-05"
"US National","Season peak percentage","Bin","percent","1.8","1.9","1.09730088593495e-05"
"US National","Season peak percentage","Bin","percent","1.9","2","1.1079205193722e-05"
"US National","Season peak percentage","Bin","percent","2","2.1","0.636053732412422"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.262185830508172"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.0340802811224397"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.00842107380659105"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.003941395084456"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.0091955789894865"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.0215000459028208"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.0146104821437683"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.00668608770318554"
"US National","Season peak percentage","Bin","percent","2.9","3","0.00187969145896684"
"US National","Season peak percentage","Bin","percent","3","3.1","8.60243797097138e-05"
"US National","Season peak percentage","Bin","percent","3.1","3.2","1.08482945439783e-05"
"US National","Season peak percentage","Bin","percent","3.2","3.3","1.09564083723053e-05"
"US National","Season peak percentage","Bin","percent","3.3","3.4","1.10650630863107e-05"
"US National","Season peak percentage","Bin","percent","3.4","3.5","1.1174258686175e-05"
"US National","Season peak percentage","Bin","percent","3.5","3.6","1.1283995171537e-05"
"US National","Season peak percentage","Bin","percent","3.6","3.7","1.13942725425775e-05"
"US National","Season peak percentage","Bin","percent","3.7","3.8","1.15050907998377e-05"
"US National","Season peak percentage","Bin","percent","3.8","3.9","1.16164499422348e-05"
"US National","Season peak percentage","Bin","percent","3.9","4","1.17283499708517e-05"
"US National","Season peak percentage","Bin","percent","4","4.1","1.18407908849665e-05"
"US National","Season peak percentage","Bin","percent","4.1","4.2","1.19537726849401e-05"
"US National","Season peak percentage","Bin","percent","4.2","4.3","1.20672953704116e-05"
"US National","Season peak percentage","Bin","percent","4.3","4.4","1.19426059996901e-05"
"US National","Season peak percentage","Bin","percent","4.4","4.5","1.08261580357228e-05"
