Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,49.000000000003425
US National,Season onset,Bin,week,40,41,8.573363001988372e-5
US National,Season onset,Bin,week,41,42,8.79724402264201e-5
US National,Season onset,Bin,week,42,43,8.841027011419862e-5
US National,Season onset,Bin,week,43,44,2.2519149005944947e-4
US National,Season onset,Bin,week,44,45,0.002070605092850598
US National,Season onset,Bin,week,45,46,0.009289363599292761
US National,Season onset,Bin,week,46,47,0.10922084044006497
US National,Season onset,Bin,week,47,48,0.15349468392828342
US National,Season onset,Bin,week,48,49,0.12384594825234829
US National,Season onset,Bin,week,49,50,0.1738167182701872
US National,Season onset,Bin,week,50,51,0.1613179167148878
US National,Season onset,Bin,week,51,52,0.06569378155734704
US National,Season onset,Bin,week,52,53,0.012549513397827805
US National,Season onset,Bin,week,1,2,0.007850993506677319
US National,Season onset,Bin,week,2,3,0.01468936237159297
US National,Season onset,Bin,week,3,4,0.01984824218430076
US National,Season onset,Bin,week,4,5,0.02059400251082105
US National,Season onset,Bin,week,5,6,0.015152159731804666
US National,Season onset,Bin,week,6,7,0.008564460965394032
US National,Season onset,Bin,week,7,8,0.004067740714451631
US National,Season onset,Bin,week,8,9,0.0021852988121607705
US National,Season onset,Bin,week,9,10,0.001455111575547702
US National,Season onset,Bin,week,10,11,1.654861473614726e-4
US National,Season onset,Bin,week,11,12,8.816969120191424e-5
US National,Season onset,Bin,week,12,13,8.797639850345323e-5
US National,Season onset,Bin,week,13,14,8.797471735581214e-5
US National,Season onset,Bin,week,14,15,8.797751328633641e-5
US National,Season onset,Bin,week,15,16,8.797384724871097e-5
US National,Season onset,Bin,week,16,17,8.797771849180522e-5
US National,Season onset,Bin,week,17,18,8.797417333854527e-5
US National,Season onset,Bin,week,18,19,8.796750754902571e-5
US National,Season onset,Bin,week,19,20,8.496920848772396e-5
US National,Season onset,Bin,week,20,21,4.16957444262713e-5
US National,Season onset,Bin,week,none,none,0.09280980587648818
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41,8.456589219765567e-5
US National,Season peak week,Bin,week,41,42,1.5627271526306465e-4
US National,Season peak week,Bin,week,42,43,5.733781995733443e-4
US National,Season peak week,Bin,week,43,44,0.0014973212485658218
US National,Season peak week,Bin,week,44,45,0.0017552829513196584
US National,Season peak week,Bin,week,45,46,0.0017779391202288085
US National,Season peak week,Bin,week,46,47,0.0027576331156188073
US National,Season peak week,Bin,week,47,48,0.002386793375988239
US National,Season peak week,Bin,week,48,49,0.001710522099748359
US National,Season peak week,Bin,week,49,50,0.010080549253226712
US National,Season peak week,Bin,week,50,51,0.06099740038873921
US National,Season peak week,Bin,week,51,52,0.16320757689814339
US National,Season peak week,Bin,week,52,53,0.1476133050427444
US National,Season peak week,Bin,week,1,2,0.043249421173044665
US National,Season peak week,Bin,week,2,3,0.014057873136343
US National,Season peak week,Bin,week,3,4,0.03536376613912982
US National,Season peak week,Bin,week,4,5,0.06882509300409195
US National,Season peak week,Bin,week,5,6,0.10595491297945336
US National,Season peak week,Bin,week,6,7,0.1458122739375788
US National,Season peak week,Bin,week,7,8,0.1152533774996041
US National,Season peak week,Bin,week,8,9,0.045282750795995294
US National,Season peak week,Bin,week,9,10,0.017315302657516858
US National,Season peak week,Bin,week,10,11,0.008003805033778996
US National,Season peak week,Bin,week,11,12,0.00224893778991244
US National,Season peak week,Bin,week,12,13,3.62547130202721e-4
US National,Season peak week,Bin,week,13,14,1.0492282720195793e-4
US National,Season peak week,Bin,week,14,15,9.148387088298143e-5
US National,Season peak week,Bin,week,15,16,1.184932727934709e-4
US National,Season peak week,Bin,week,16,17,4.352977724639239e-4
US National,Season peak week,Bin,week,17,18,0.001264719383502262
US National,Season peak week,Bin,week,18,19,0.0012107178107409091
US National,Season peak week,Bin,week,19,20,3.7992931771306857e-4
US National,Season peak week,Bin,week,20,21,6.58341666919949e-5
US National,Season peak percentage,Point,percent,NA,NA,3.9
US National,Season peak percentage,Bin,percent,0,0.1,1.4647279224832357e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,1.7205547900323044e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,1.9359777876998694e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.127168509716646e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.3627055023177976e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.7936630438360595e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,3.803589304924124e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,6.0189363906358913e-05
US National,Season peak percentage,Bin,percent,0.8,0.9,1.0683733657889429e-4
US National,Season peak percentage,Bin,percent,0.9,1,1.9514217255357452e-4
US National,Season peak percentage,Bin,percent,1,1.1,3.4666508428908636e-4
US National,Season peak percentage,Bin,percent,1.1,1.2,5.907636350906949e-4
US National,Season peak percentage,Bin,percent,1.2,1.3,9.360342456733868e-4
US National,Season peak percentage,Bin,percent,1.3,1.4,0.001421890205098153
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0020196582094212973
US National,Season peak percentage,Bin,percent,1.5,1.6,0.0027772145217021304
US National,Season peak percentage,Bin,percent,1.6,1.7,0.003676906650528733
US National,Season peak percentage,Bin,percent,1.7,1.8,0.0047727258132868305
US National,Season peak percentage,Bin,percent,1.8,1.9,0.0061019001134797295
US National,Season peak percentage,Bin,percent,1.9,2,0.007667020489617988
US National,Season peak percentage,Bin,percent,2,2.1,0.00954427851799428
US National,Season peak percentage,Bin,percent,2.1,2.2,0.011595272686999192
US National,Season peak percentage,Bin,percent,2.2,2.3,0.013879510215602034
US National,Season peak percentage,Bin,percent,2.3,2.4,0.016214181874424687
US National,Season peak percentage,Bin,percent,2.4,2.5,0.01859888254299342
