Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,6.363741067390478
US National,Season onset,Bin,week,40,41,0.0017314864733959496
US National,Season onset,Bin,week,41,42,0.001784526283919749
US National,Season onset,Bin,week,42,43,0.001813599428849394
US National,Season onset,Bin,week,43,44,0.0018386714894430812
US National,Season onset,Bin,week,44,45,0.0018605348425420607
US National,Season onset,Bin,week,45,46,0.001883614934127452
US National,Season onset,Bin,week,46,47,0.0019162591507045868
US National,Season onset,Bin,week,47,48,0.0019690352510858085
US National,Season onset,Bin,week,48,49,0.0020576733414730975
US National,Season onset,Bin,week,49,50,0.0022000317452271286
US National,Season onset,Bin,week,50,51,0.0024134154719734017
US National,Season onset,Bin,week,51,52,0.0027037543168865175
US National,Season onset,Bin,week,52,53,0.003061812984464399
US National,Season onset,Bin,week,1,2,0.003457556948599053
US National,Season onset,Bin,week,2,3,0.003983082274876119
US National,Season onset,Bin,week,3,4,0.022051498169639795
US National,Season onset,Bin,week,4,5,0.18249857416147167
US National,Season onset,Bin,week,5,6,0.23984741915333047
US National,Season onset,Bin,week,6,7,0.1424386116343265
US National,Season onset,Bin,week,7,8,0.087795288731306
US National,Season onset,Bin,week,8,9,0.03369294642027458
US National,Season onset,Bin,week,9,10,0.007773953391701481
US National,Season onset,Bin,week,10,11,0.00290733407447429
US National,Season onset,Bin,week,11,12,0.0023866753115851964
US National,Season onset,Bin,week,12,13,0.0021781155426337314
US National,Season onset,Bin,week,13,14,0.002038711107158152
US National,Season onset,Bin,week,14,15,0.0022251149744880244
US National,Season onset,Bin,week,15,16,0.0021094948165017967
US National,Season onset,Bin,week,16,17,0.0018517667735356768
US National,Season onset,Bin,week,17,18,0.0018173751546346226
US National,Season onset,Bin,week,18,19,0.0017837972513422957
US National,Season onset,Bin,week,19,20,0.0017229763404412598
US National,Season onset,Bin,week,20,21,0.0014263899135604952
US National,Season onset,Bin,week,none,none,0.22677890214002625
US National,Season peak week,Point,week,NA,NA,8.225897539330532
US National,Season peak week,Bin,week,40,41,0.0022767852360331175
US National,Season peak week,Bin,week,41,42,0.002326221607612663
US National,Season peak week,Bin,week,42,43,0.0023444505226177434
US National,Season peak week,Bin,week,43,44,0.0023611186291873196
US National,Season peak week,Bin,week,44,45,0.002379514255818515
US National,Season peak week,Bin,week,45,46,0.00240111050263781
US National,Season peak week,Bin,week,46,47,0.0024284424200567635
US National,Season peak week,Bin,week,47,48,0.002468851039690362
US National,Season peak week,Bin,week,48,49,0.0027273812895468952
US National,Season peak week,Bin,week,49,50,0.0057294435070273115
US National,Season peak week,Bin,week,50,51,0.0210508510413774
