"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"51"
"US National","Season onset","Bin","week","40","41","0.000865374917692947"
"US National","Season onset","Bin","week","41","42","0.000923959603870492"
"US National","Season onset","Bin","week","42","43","0.00098189677124521"
"US National","Season onset","Bin","week","43","44","0.00103779035044509"
"US National","Season onset","Bin","week","44","45","0.00109153597808839"
"US National","Season onset","Bin","week","45","46","0.00114213669319741"
"US National","Season onset","Bin","week","46","47","0.00118907976134598"
"US National","Season onset","Bin","week","47","48","0.00123212458136152"
"US National","Season onset","Bin","week","48","49","0.00127087026253779"
"US National","Season onset","Bin","week","49","50","0.00130459759453641"
"US National","Season onset","Bin","week","50","51","0.79019604425516"
"US National","Season onset","Bin","week","51","52","0.171846461864536"
"US National","Season onset","Bin","week","52","1","0.00137910433324199"
"US National","Season onset","Bin","week","1","2","0.00139483317455713"
"US National","Season onset","Bin","week","2","3","0.00140568075608595"
"US National","Season onset","Bin","week","3","4","0.00141141044230708"
"US National","Season onset","Bin","week","4","5","0.00141169444135203"
"US National","Season onset","Bin","week","5","6","0.00140718863982189"
"US National","Season onset","Bin","week","6","7","0.00139742699397507"
"US National","Season onset","Bin","week","7","8","0.00138264002247284"
"US National","Season onset","Bin","week","8","9","0.00136260940173084"
"US National","Season onset","Bin","week","9","10","0.00133661920827645"
"US National","Season onset","Bin","week","10","11","0.0013064100554571"
"US National","Season onset","Bin","week","11","12","0.00127176260772578"
"US National","Season onset","Bin","week","12","13","0.00123277534042287"
"US National","Season onset","Bin","week","13","14","0.00119031147388132"
"US National","Season onset","Bin","week","14","15","0.0011433196297894"
"US National","Season onset","Bin","week","15","16","0.00109390202032472"
"US National","Season onset","Bin","week","16","17","0.00104081507680984"
"US National","Season onset","Bin","week","17","18","0.000985846130591785"
"US National","Season onset","Bin","week","18","19","0.000928144933133001"
"US National","Season onset","Bin","week","19","20","0.000869429912017495"
"US National","Season onset","Bin","week","20","21","0.000769443088783527"
"US National","Season onset","Bin","week","none","none","0.00119675968322477"
"US National","Season peak week","Point","week",NA,NA,"7"
"US National","Season peak week","Bin","week","40","41","0.00162318540300624"
"US National","Season peak week","Bin","week","41","42","0.00173947395347503"
"US National","Season peak week","Bin","week","42","43","0.00185266509916901"
"US National","Season peak week","Bin","week","43","44","0.00196201076415601"
"US National","Season peak week","Bin","week","44","45","0.00206708800040851"
"US National","Season peak week","Bin","week","45","46","0.00216688756515003"
"US National","Season peak week","Bin","week","46","47","0.00226045365425345"
"US National","Season peak week","Bin","week","47","48","0.00234590890450658"
"US National","Season peak week","Bin","week","48","49","0.00242380471558723"
"US National","Season peak week","Bin","week","49","50","0.00249207740824094"
"US National","Season peak week","Bin","week","50","51","0.00255153126962061"
"US National","Season peak week","Bin","week","51","52","0.00260070830372528"
"US National","Season peak week","Bin","week","52","1","0.00264078901007633"
"US National","Season peak week","Bin","week","1","2","0.00267192936277794"
"US National","Season peak week","Bin","week","2","3","0.00269351646602937"
"US National","Season peak week","Bin","week","3","4","0.00270486593608045"
"US National","Season peak week","Bin","week","4","5","0.00270565171030755"
"US National","Season peak week","Bin","week","5","6","0.0026966178576558"
"US National","Season peak week","Bin","week","6","7","0.735397147561325"
"US National","Season peak week","Bin","week","7","8","0.194446110882929"
"US National","Season peak week","Bin","week","8","9","0.00285643031592205"
"US National","Season peak week","Bin","week","9","10","0.00260622594053449"
"US National","Season peak week","Bin","week","10","11","0.00249745706324606"
"US National","Season peak week","Bin","week","11","12","0.00242920537525798"
"US National","Season peak week","Bin","week","12","13","0.0023529600794991"
"US National","Season peak week","Bin","week","13","14","0.00226770247585542"
"US National","Season peak week","Bin","week","14","15","0.0021761300727208"
"US National","Season peak week","Bin","week","15","16","0.0020765592079104"
"US National","Season peak week","Bin","week","16","17","0.00197210007698126"
"US National","Season peak week","Bin","week","17","18","0.00186126468890473"
"US National","Season peak week","Bin","week","18","19","0.00174899893762571"
"US National","Season peak week","Bin","week","19","20","0.00163294458920107"
"US National","Season peak week","Bin","week","20","21","0.00147959734786089"
"US National","Season peak percentage","Point","percent",NA,NA,"4.7"
"US National","Season peak percentage","Bin","percent","0","0.1","0.000257186194822312"
"US National","Season peak percentage","Bin","percent","0.1","0.2","0.000269443373866076"
"US National","Season peak percentage","Bin","percent","0.2","0.3","0.000281092020614747"
"US National","Season peak percentage","Bin","percent","0.3","0.4","0.000290701866990266"
"US National","Season peak percentage","Bin","percent","0.4","0.5","0.000301037182849842"
"US National","Season peak percentage","Bin","percent","0.5","0.6","0.000310786956406755"
"US National","Season peak percentage","Bin","percent","0.6","0.7","0.000318489387768848"
"US National","Season peak percentage","Bin","percent","0.7","0.8","0.000326523144705209"
"US National","Season peak percentage","Bin","percent","0.8","0.9","0.000334511135428286"
"US National","Season peak percentage","Bin","percent","0.9","1","0.000340177724504317"
"US National","Season peak percentage","Bin","percent","1","1.1","0.000346217266553962"
"US National","Season peak percentage","Bin","percent","1.1","1.2","0.00035262096935002"
"US National","Season peak percentage","Bin","percent","1.2","1.3","0.000356779702983928"
"US National","Season peak percentage","Bin","percent","1.3","1.4","0.000361371465494033"
"US National","Season peak percentage","Bin","percent","1.4","1.5","0.000366766337336711"
"US National","Season peak percentage","Bin","percent","1.5","1.6","0.000370055191222559"
"US National","Season peak percentage","Bin","percent","1.6","1.7","0.000373519701406029"
"US National","Season peak percentage","Bin","percent","1.7","1.8","0.000378123332983849"
"US National","Season peak percentage","Bin","percent","1.8","1.9","0.000380687768856378"
"US National","Season peak percentage","Bin","percent","1.9","2","0.000383861264767312"
"US National","Season peak percentage","Bin","percent","2","2.1","0.000388598590957135"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.000391724308820224"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.000395566935908999"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.000401737161743926"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.000407002590511674"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.000414148518100468"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.000425624481051083"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.000438998647493869"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.000457834874941748"
"US National","Season peak percentage","Bin","percent","2.9","3","0.000486035101656409"
"US National","Season peak percentage","Bin","percent","3","3.1","0.000521988244945624"
"US National","Season peak percentage","Bin","percent","3.1","3.2","0.000570708170771571"
"US National","Season peak percentage","Bin","percent","3.2","3.3","0.000637112175757656"
"US National","Season peak percentage","Bin","percent","3.3","3.4","0.00072138481444717"
"US National","Season peak percentage","Bin","percent","3.4","3.5","0.000827898017874881"
"US National","Season peak percentage","Bin","percent","3.5","3.6","0.000959664142967126"
"US National","Season peak percentage","Bin","percent","3.6","3.7","0.00111511493955003"
"US National","Season peak percentage","Bin","percent","3.7","3.8","0.00129445464431125"
"US National","Season peak percentage","Bin","percent","3.8","3.9","0.00149554355617741"
"US National","Season peak percentage","Bin","percent","3.9","4","0.00171114297294047"
"US National","Season peak percentage","Bin","percent","4","4.1","0.00193421758633469"
"US National","Season peak percentage","Bin","percent","4.1","4.2","0.00215593157424218"
"US National","Season peak percentage","Bin","percent","4.2","4.3","0.00236390439661365"
"US National","Season peak percentage","Bin","percent","4.3","4.4","0.00254607656702966"
"US National","Season peak percentage","Bin","percent","4.4","4.5","0.00269159873248683"
"US National","Season peak percentage","Bin","percent","4.5","4.6","0.00279110108519085"
"US National","Season peak percentage","Bin","percent","4.6","4.7","0.759996750242391"
"US National","Season peak percentage","Bin","percent","4.7","4.8","0.149523654047411"
"US National","Season peak percentage","Bin","percent","4.8","4.9","0.00276722423351566"
"US National","Season peak percentage","Bin","percent","4.9","5","0.00265355352201549"
"US National","Season peak percentage","Bin","percent","5","5.1","0.00249715153122514"
"US National","Season peak percentage","Bin","percent","5.1","5.2","0.00230770718884467"
"US National","Season peak percentage","Bin","percent","5.2","5.3","0.00209695126922898"
"US National","Season peak percentage","Bin","percent","5.3","5.4","0.00187675099581088"
"US National","Season peak percentage","Bin","percent","5.4","5.5","0.00165763609396373"
"US National","Season peak percentage","Bin","percent","5.5","5.6","0.00144872264451652"
"US National","Season peak percentage","Bin","percent","5.6","5.7","0.00125734656259249"
"US National","Season peak percentage","Bin","percent","5.7","5.8","0.00108815950029029"
"US National","Season peak percentage","Bin","percent","5.8","5.9","0.00094203915500699"
"US National","Season peak percentage","Bin","percent","5.9","6","0.000821420458216405"
"US National","Season peak percentage","Bin","percent","6","6.1","0.000724737160571664"
"US National","Season peak percentage","Bin","percent","6.1","6.2","0.000649212619127196"
"US National","Season peak percentage","Bin","percent","6.2","6.3","0.000591822916191162"
"US National","Season peak percentage","Bin","percent","6.3","6.4","0.000549393541078967"
"US National","Season peak percentage","Bin","percent","6.4","6.5","0.00051892456422038"
"US National","Season peak percentage","Bin","percent","6.5","6.6","0.000497585190263562"
"US National","Season peak percentage","Bin","percent","6.6","6.7","0.000482884446252638"
"US National","Season peak percentage","Bin","percent","6.7","6.8","0.000473129405310849"
"US National","Season peak percentage","Bin","percent","6.8","6.9","0.000466738776546147"
"US National","Season peak percentage","Bin","percent","6.9","7","0.000462469193780828"
"US National","Season peak percentage","Bin","percent","7","7.1","0.000459840370608729"
"US National","Season peak percentage","Bin","percent","7.1","7.2","0.000457661473959919"
"US National","Season peak percentage","Bin","percent","7.2","7.3","0.000455019085956905"
"US National","Season peak percentage","Bin","percent","7.3","7.4","0.000454189821120442"
"US National","Season peak percentage","Bin","percent","7.4","7.5","0.00045346792271205"
"US National","Season peak percentage","Bin","percent","7.5","7.6","0.00045246179697768"
"US National","Season peak percentage","Bin","percent","7.6","7.7","0.000451889738804975"
"US National","Season peak percentage","Bin","percent","7.7","7.8","0.000451255117249316"
"US National","Season peak percentage","Bin","percent","7.8","7.9","0.000450018006930817"
"US National","Season peak percentage","Bin","percent","7.9","8","0.000449319840487737"
"US National","Season peak percentage","Bin","percent","8","8.1","0.000448546633528608"
"US National","Season peak percentage","Bin","percent","8.1","8.2","0.000446999565562872"
"US National","Season peak percentage","Bin","percent","8.2","8.3","0.000446148402999987"
"US National","Season peak percentage","Bin","percent","8.3","8.4","0.000445258834070293"
"US National","Season peak percentage","Bin","percent","8.4","8.5","0.000443065749541467"
"US National","Season peak percentage","Bin","percent","8.5","8.6","0.000441330211871586"
"US National","Season peak percentage","Bin","percent","8.6","8.7","0.000439759510786646"
"US National","Season peak percentage","Bin","percent","8.7","8.8","0.000437504459143684"
"US National","Season peak percentage","Bin","percent","8.8","8.9","0.000436279284383052"
"US National","Season peak percentage","Bin","percent","8.9","9","0.000435069434664661"
"US National","Season peak percentage","Bin","percent","9","9.1","0.000432494775148403"
"US National","Season peak percentage","Bin","percent","9.1","9.2","0.000430979825667577"
"US National","Season peak percentage","Bin","percent","9.2","9.3","0.000429560799060001"
"US National","Season peak percentage","Bin","percent","9.3","9.4","0.000426757877699273"
"US National","Season peak percentage","Bin","percent","9.4","9.5","0.00042496909211199"
"US National","Season peak percentage","Bin","percent","9.5","9.6","0.000423364033254453"
"US National","Season peak percentage","Bin","percent","9.6","9.7","0.000420273755018429"
"US National","Season peak percentage","Bin","percent","9.7","9.8","0.000417938622354028"
"US National","Season peak percentage","Bin","percent","9.8","9.9","0.000415830683370719"
"US National","Season peak percentage","Bin","percent","9.9","10","0.000412189300521136"
"US National","Season peak percentage","Bin","percent","10","10.1","0.000409428780294127"
"US National","Season peak percentage","Bin","percent","10.1","10.2","0.000407459092048015"
"US National","Season peak percentage","Bin","percent","10.2","10.3","0.000403967051074838"
"US National","Season peak percentage","Bin","percent","10.3","10.4","0.000401215743747691"
"US National","Season peak percentage","Bin","percent","10.4","10.5","0.000399054825387969"
"US National","Season peak percentage","Bin","percent","10.5","10.6","0.000395416809861097"
"US National","Season peak percentage","Bin","percent","10.6","10.7","0.000392324504632279"
"US National","Season peak percentage","Bin","percent","10.7","10.8","0.000389972940705185"
"US National","Season peak percentage","Bin","percent","10.8","10.9","0.000386144229380873"
"US National","Season peak percentage","Bin","percent","10.9","11","0.00038263664988057"
"US National","Season peak percentage","Bin","percent","11","11.1","0.000379921538923362"
"US National","Season peak percentage","Bin","percent","11.1","11.2","0.000375798917997059"
"US National","Season peak percentage","Bin","percent","11.2","11.3","0.000371627582313546"
"US National","Season peak percentage","Bin","percent","11.3","11.4","0.000368506747699382"
"US National","Season peak percentage","Bin","percent","11.4","11.5","0.000363963700978577"
"US National","Season peak percentage","Bin","percent","11.5","11.6","0.000359376767004402"
"US National","Season peak percentage","Bin","percent","11.6","11.7","0.00035591405767672"
"US National","Season peak percentage","Bin","percent","11.7","11.8","0.000350974433222029"
"US National","Season peak percentage","Bin","percent","11.8","11.9","0.000345252660064525"
"US National","Season peak percentage","Bin","percent","11.9","12","0.0003406404986145"
"US National","Season peak percentage","Bin","percent","12","12.1","0.000334427461359981"
"US National","Season peak percentage","Bin","percent","12.1","12.2","0.000326906127890958"
"US National","Season peak percentage","Bin","percent","12.2","12.3","0.000320435039753794"
"US National","Season peak percentage","Bin","percent","12.3","12.4","0.00031225588400295"
"US National","Season peak percentage","Bin","percent","12.4","12.5","0.000302377626063274"
"US National","Season peak percentage","Bin","percent","12.5","12.6","0.000293481077419466"
"US National","Season peak percentage","Bin","percent","12.6","12.7","0.000283306161007364"
"US National","Season peak percentage","Bin","percent","12.7","12.8","0.000271084496588967"
"US National","Season peak percentage","Bin","percent","12.8","12.9","0.00026051590392889"
"US National","Season peak percentage","Bin","percent","12.9","13","0.000249169952472013"
"US National","Season peak percentage","Bin","percent","13","100","0.0046799686323273"
"US National","1 wk ahead","Point","percent",NA,NA,"3.3004160887656"
"US National","1 wk ahead","Bin","percent","0","0.1","0.000393645897315212"
"US National","1 wk ahead","Bin","percent","0.1","0.2","0.000425127646361015"
"US National","1 wk ahead","Bin","percent","0.2","0.3","0.000456665796788375"
"US National","1 wk ahead","Bin","percent","0.3","0.4","0.000487807144782172"
"US National","1 wk ahead","Bin","percent","0.4","0.5","0.000521616212497834"
"US National","1 wk ahead","Bin","percent","0.5","0.6","0.000556385833761778"
"US National","1 wk ahead","Bin","percent","0.6","0.7","0.000589458950733517"
"US National","1 wk ahead","Bin","percent","0.7","0.8","0.000623933142596347"
"US National","1 wk ahead","Bin","percent","0.8","0.9","0.000659861628973508"
"US National","1 wk ahead","Bin","percent","0.9","1","0.000693198698745366"
"US National","1 wk ahead","Bin","percent","1","1.1","0.000727117177408892"
"US National","1 wk ahead","Bin","percent","1.1","1.2","0.000761710616413899"
"US National","1 wk ahead","Bin","percent","1.2","1.3","0.000794954031966467"
"US National","1 wk ahead","Bin","percent","1.3","1.4","0.000827945509463742"
"US National","1 wk ahead","Bin","percent","1.4","1.5","0.000861824976567863"
"US National","1 wk ahead","Bin","percent","1.5","1.6","0.000894257770425481"
"US National","1 wk ahead","Bin","percent","1.6","1.7","0.000927407936845215"
"US National","1 wk ahead","Bin","percent","1.7","1.8","0.000961526592221042"
"US National","1 wk ahead","Bin","percent","1.8","1.9","0.000993810748126563"
"US National","1 wk ahead","Bin","percent","1.9","2","0.0010281210237701"
"US National","1 wk ahead","Bin","percent","2","2.1","0.00108694607328981"
