"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"4"
"US National","Season onset","Bin","week","40","41","0.0202747833796517"
"US National","Season onset","Bin","week","41","42","0.0216937976983854"
"US National","Season onset","Bin","week","42","43","0.023090445084608"
"US National","Season onset","Bin","week","43","44","0.0244460069316895"
"US National","Season onset","Bin","week","44","45","0.0257373491404394"
"US National","Season onset","Bin","week","45","46","0.0269679108397772"
"US National","Season onset","Bin","week","46","47","0.0281220785470365"
"US National","Season onset","Bin","week","47","48","0.0291823227901046"
"US National","Season onset","Bin","week","48","49","0.0301532258194407"
"US National","Season onset","Bin","week","49","50","0.0310234222294505"
"US National","Season onset","Bin","week","50","51","0.0317819064228896"
"US National","Season onset","Bin","week","51","52","0.0324335611387138"
"US National","Season onset","Bin","week","52","53","0.0329713761633708"
"US National","Season onset","Bin","week","53","1","0.0333897821033888"
"US National","Season onset","Bin","week","1","2","0.0336927226868991"
"US National","Season onset","Bin","week","2","3","0.0338764567427954"
"US National","Season onset","Bin","week","3","4","0.0339395160985408"
"US National","Season onset","Bin","week","4","5","0.0338837243759284"
"US National","Season onset","Bin","week","5","6","0.033707252966091"
"US National","Season onset","Bin","week","6","7","0.033413538447782"
"US National","Season onset","Bin","week","7","8","0.0330000851121037"
"US National","Season onset","Bin","week","8","9","0.0324695309482736"
"US National","Season onset","Bin","week","9","10","0.0318284864826593"
"US National","Season onset","Bin","week","10","11","0.0310725214560809"
"US National","Season onset","Bin","week","11","12","0.0302091033721198"
"US National","Season onset","Bin","week","12","13","0.0292498481037564"
"US National","Season onset","Bin","week","13","14","0.0281885281281307"
"US National","Season onset","Bin","week","14","15","0.0270407452350997"
"US National","Season onset","Bin","week","15","16","0.025821265195348"
"US National","Season onset","Bin","week","16","17","0.0245253199606466"
"US National","Season onset","Bin","week","17","18","0.0231748338668281"
"US National","Season onset","Bin","week","18","19","0.0217876899804861"
"US National","Season onset","Bin","week","19","20","0.0203603476001673"
"US National","Season onset","Bin","week","20","21","0.0189190863798881"
"US National","Season onset","Bin","week","none","none","0.0285714285714286"
"US National","Season peak week","Point","week",NA,NA,"4"
"US National","Season peak week","Bin","week","40","41","0.0208124943718981"
"US National","Season peak week","Bin","week","41","42","0.022297532256871"
"US National","Season peak week","Bin","week","42","43","0.0237415948703254"
"US National","Season peak week","Bin","week","43","44","0.025137744359568"
"US National","Season peak week","Bin","week","44","45","0.0264907530172535"
"US National","Season peak week","Bin","week","45","46","0.0277575056605719"
"US National","Season peak week","Bin","week","46","47","0.0289491254463825"
"US National","Season peak week","Bin","week","47","48","0.0300538672850157"
"US National","Season peak week","Bin","week","48","49","0.0310510675564029"
"US National","Season peak week","Bin","week","49","50","0.0319513330262929"
"US National","Season peak week","Bin","week","50","51","0.0327367642460372"
"US National","Season peak week","Bin","week","51","52","0.0334047673111073"
"US National","Season peak week","Bin","week","52","53","0.0339622966124287"
"US National","Season peak week","Bin","week","53","1","0.0343929610329348"
"US National","Season peak week","Bin","week","1","2","0.0347040023733762"
"US National","Season peak week","Bin","week","2","3","0.0348938241651369"
"US National","Season peak week","Bin","week","3","4","0.0349586592309538"
"US National","Season peak week","Bin","week","4","5","0.0349012144579851"
"US National","Season peak week","Bin","week","5","6","0.0347198459726666"
"US National","Season peak week","Bin","week","6","7","0.0344180068699546"
"US National","Season peak week","Bin","week","7","8","0.0339901470120464"
"US National","Season peak week","Bin","week","8","9","0.0334459151925464"
"US National","Season peak week","Bin","week","9","10","0.0327842198870238"
"US National","Season peak week","Bin","week","10","11","0.0320011179717095"
"US National","Season peak week","Bin","week","11","12","0.0311151306590902"
"US National","Season peak week","Bin","week","12","13","0.0301185846807527"
"US National","Season peak week","Bin","week","13","14","0.0290212244734337"
"US National","Season peak week","Bin","week","14","15","0.0278409493923841"
"US National","Season peak week","Bin","week","15","16","0.0265662048487277"
"US National","Season peak week","Bin","week","16","17","0.0252294537586846"
"US National","Season peak week","Bin","week","17","18","0.0238365806967307"
"US National","Season peak week","Bin","week","18","19","0.0223822940184822"
"US National","Season peak week","Bin","week","19","20","0.0209132012049661"
"US National","Season peak week","Bin","week","20","21","0.0194196160802587"
"US National","Season peak percentage","Point","percent",NA,NA,"6.55"
"US National","Season peak percentage","Bin","percent","0","0.1","0.00441228820607234"
"US National","Season peak percentage","Bin","percent","0.1","0.2","0.00452963025888"
"US National","Season peak percentage","Bin","percent","0.2","0.3","0.00464641061100196"
"US National","Season peak percentage","Bin","percent","0.3","0.4","0.00472537434012411"
"US National","Season peak percentage","Bin","percent","0.4","0.5","0.00483739196867874"
"US National","Season peak percentage","Bin","percent","0.5","0.6","0.0049566952569739"
"US National","Season peak percentage","Bin","percent","0.6","0.7","0.00503450574935349"
"US National","Season peak percentage","Bin","percent","0.7","0.8","0.005140809565103"
"US National","Season peak percentage","Bin","percent","0.8","0.9","0.00526113496997651"
"US National","Season peak percentage","Bin","percent","0.9","1","0.00533678447934193"
"US National","Season peak percentage","Bin","percent","1","1.1","0.00543611331216618"
"US National","Season peak percentage","Bin","percent","1.1","1.2","0.00555697031566608"
"US National","Season peak percentage","Bin","percent","1.2","1.3","0.00563032801912591"
"US National","Season peak percentage","Bin","percent","1.3","1.4","0.00572284549954394"
"US National","Season peak percentage","Bin","percent","1.4","1.5","0.00584219198921836"
"US National","Season peak percentage","Bin","percent","1.5","1.6","0.00591214425846019"
"US National","Season peak percentage","Bin","percent","1.6","1.7","0.00599676067815297"
"US National","Season peak percentage","Bin","percent","1.7","1.8","0.00611461407656944"
"US National","Season peak percentage","Bin","percent","1.8","1.9","0.00618130239832364"
"US National","Season peak percentage","Bin","percent","1.9","2","0.00625855000312173"
"US National","Season peak percentage","Bin","percent","2","2.1","0.00637248169665965"
"US National","Season peak percentage","Bin","percent","2.1","2.2","0.00643486560253445"
"US National","Season peak percentage","Bin","percent","2.2","2.3","0.00650399101845083"
"US National","Season peak percentage","Bin","percent","2.3","2.4","0.00661457472509177"
"US National","Season peak percentage","Bin","percent","2.4","2.5","0.00667295883860406"
"US National","Season peak percentage","Bin","percent","2.5","2.6","0.00673469564102365"
"US National","Season peak percentage","Bin","percent","2.6","2.7","0.00683928493831076"
"US National","Season peak percentage","Bin","percent","2.7","2.8","0.00689285535877368"
"US National","Season peak percentage","Bin","percent","2.8","2.9","0.00694685014718005"
"US National","Season peak percentage","Bin","percent","2.9","3","0.00704655182003296"
"US National","Season peak percentage","Bin","percent","3","3.1","0.00709565082847128"
"US National","Season peak percentage","Bin","percent","3.1","3.2","0.00714461066160338"
"US National","Season peak percentage","Bin","percent","3.2","3.3","0.00723289581828573"
"US National","Season peak percentage","Bin","percent","3.3","3.4","0.00727895137646813"
"US National","Season peak percentage","Bin","percent","3.4","3.5","0.00732298825551235"
"US National","Season peak percentage","Bin","percent","3.5","3.6","0.00740122754538661"
"US National","Season peak percentage","Bin","percent","3.6","3.7","0.00744459260509858"
"US National","Season peak percentage","Bin","percent","3.7","3.8","0.00748388273218098"
"US National","Season peak percentage","Bin","percent","3.8","3.9","0.00755059029903909"
"US National","Season peak percentage","Bin","percent","3.9","4","0.00759057202005906"
"US National","Season peak percentage","Bin","percent","4","4.1","0.00762511137764923"
"US National","Season peak percentage","Bin","percent","4.1","4.2","0.00768278313495473"
"US National","Season peak percentage","Bin","percent","4.2","4.3","0.00771915453984983"
"US National","Season peak percentage","Bin","percent","4.3","4.4","0.00774894049992105"
"US National","Season peak percentage","Bin","percent","4.4","4.5","0.00779636600547349"
"US National","Season peak percentage","Bin","percent","4.5","4.6","0.00782870939180899"
"US National","Season peak percentage","Bin","percent","4.6","4.7","0.00785405662176752"
"US National","Season peak percentage","Bin","percent","4.7","4.8","0.0078936240705002"
"US National","Season peak percentage","Bin","percent","4.8","4.9","0.00792160948047998"
"US National","Season peak percentage","Bin","percent","4.9","5","0.00794233798729983"
"US National","Season peak percentage","Bin","percent","5","5.1","0.00797304801586006"
"US National","Season peak percentage","Bin","percent","5.1","5.2","0.0079965070701407"
"US National","Season peak percentage","Bin","percent","5.2","5.3","0.00801313943154542"
"US National","Season peak percentage","Bin","percent","5.3","5.4","0.0080371635576777"
"US National","Season peak percentage","Bin","percent","5.4","5.5","0.00805560696998437"
"US National","Season peak percentage","Bin","percent","5.5","5.6","0.00806779189727019"
"US National","Season peak percentage","Bin","percent","5.6","5.7","0.00808426151534994"
"US National","Season peak percentage","Bin","percent","5.7","5.8","0.00809771735645746"
"US National","Season peak percentage","Bin","percent","5.8","5.9","0.00810608929930465"
"US National","Season peak percentage","Bin","percent","5.9","6","0.00811692180948868"
"US National","Season peak percentage","Bin","percent","6","6.1","0.00812467707143774"
"US National","Season peak percentage","Bin","percent","6.1","6.2","0.00812871478334424"
"US National","Season peak percentage","Bin","percent","6.2","6.3","0.00813309920893582"
"US National","Season peak percentage","Bin","percent","6.3","6.4","0.00813532970019577"
"US National","Season peak percentage","Bin","percent","6.4","6.5","0.00813571900392345"
"US National","Season peak percentage","Bin","percent","6.5","6.6","0.00813534029215606"
"US National","Season peak percentage","Bin","percent","6.6","6.7","0.00813103669529985"
"US National","Season peak percentage","Bin","percent","6.7","6.8","0.0081270831479204"
"US National","Season peak percentage","Bin","percent","6.8","6.9","0.00812113988980683"
"US National","Season peak percentage","Bin","percent","6.9","7","0.00811061191429147"
"US National","Season peak percentage","Bin","percent","7","7.1","0.00810303316650179"
"US National","Season peak percentage","Bin","percent","7.1","7.2","0.00809303753936556"
"US National","Season peak percentage","Bin","percent","7.2","7.3","0.00807490315681603"
"US National","Season peak percentage","Bin","percent","7.3","7.4","0.0080628324848558"
"US National","Season peak percentage","Bin","percent","7.4","7.5","0.00804797948352292"
"US National","Season peak percentage","Bin","percent","7.5","7.6","0.00802272467326246"
"US National","Season peak percentage","Bin","percent","7.6","7.7","0.00800692444056905"
"US National","Season peak percentage","Bin","percent","7.7","7.8","0.00798862663249358"
"US National","Season peak percentage","Bin","percent","7.8","7.9","0.00795442802306082"
"US National","Season peak percentage","Bin","percent","7.9","8","0.00793387795991466"
"US National","Season peak percentage","Bin","percent","8","8.1","0.0079113491350884"
"US National","Season peak percentage","Bin","percent","8.1","8.2","0.0078689721419839"
"US National","Season peak percentage","Bin","percent","8.2","8.3","0.00784450668046835"
"US National","Season peak percentage","Bin","percent","8.3","8.4","0.00781912333432292"
"US National","Season peak percentage","Bin","percent","8.4","8.5","0.00776626204665786"
"US National","Season peak percentage","Bin","percent","8.5","8.6","0.00773675711845521"
"US National","Season peak percentage","Bin","percent","8.6","8.7","0.00770714915613541"
"US National","Season peak percentage","Bin","percent","8.7","8.8","0.0076463009462183"
"US National","Season peak percentage","Bin","percent","8.8","8.9","0.00761196968099501"
"US National","Season peak percentage","Bin","percent","8.9","9","0.00757811460032942"
"US National","Season peak percentage","Bin","percent","9","9.1","0.00750931147491332"
"US National","Season peak percentage","Bin","percent","9.1","9.2","0.00746778904103887"
"US National","Season peak percentage","Bin","percent","9.2","9.3","0.00742880840596359"
"US National","Season peak percentage","Bin","percent","9.3","9.4","0.00735438753828494"
"US National","Season peak percentage","Bin","percent","9.4","9.5","0.00730607573275925"
"US National","Season peak percentage","Bin","percent","9.5","9.6","0.00726255934545187"
"US National","Season peak percentage","Bin","percent","9.6","9.7","0.00718101651330741"
"US National","Season peak percentage","Bin","percent","9.7","9.8","0.00712455218765672"
"US National","Season peak percentage","Bin","percent","9.8","9.9","0.0070760464733502"
"US National","Season peak percentage","Bin","percent","9.9","10","0.00698981872131074"
"US National","Season peak percentage","Bin","percent","10","10.1","0.00692561519444917"
"US National","Season peak percentage","Bin","percent","10.1","10.2","0.00687249970525427"
"US National","Season peak percentage","Bin","percent","10.2","10.3","0.00678040155137007"
"US National","Season peak percentage","Bin","percent","10.3","10.4","0.00670741329974637"
"US National","Season peak percentage","Bin","percent","10.4","10.5","0.00664968767169027"
"US National","Season peak percentage","Bin","percent","10.5","10.6","0.0065541802137515"
"US National","Season peak percentage","Bin","percent","10.6","10.7","0.00647284621642377"
"US National","Season peak percentage","Bin","percent","10.7","10.8","0.00641075036379779"
