Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.002455312
US National,Season onset,Bin,week,41,42,0.021809002
US National,Season onset,Bin,week,42,43,0.038287815
US National,Season onset,Bin,week,43,44,0.021278194
US National,Season onset,Bin,week,44,45,0.043882203
US National,Season onset,Bin,week,45,46,0.02911229
US National,Season onset,Bin,week,46,47,0.031808518
US National,Season onset,Bin,week,47,48,0.048932664
US National,Season onset,Bin,week,48,49,0.064514059
US National,Season onset,Bin,week,49,50,0.120400538
US National,Season onset,Bin,week,50,51,0.13280321
US National,Season onset,Bin,week,51,52,0.126604142
US National,Season onset,Bin,week,52,53,0.073757152
US National,Season onset,Bin,week,1,2,0.046979777
US National,Season onset,Bin,week,2,3,0.039598993
US National,Season onset,Bin,week,3,4,0.028049899
US National,Season onset,Bin,week,4,5,0.02167684
US National,Season onset,Bin,week,5,6,0.018304713
US National,Season onset,Bin,week,6,7,0.014126476
US National,Season onset,Bin,week,7,8,0.007765639
US National,Season onset,Bin,week,8,9,0.005549804
US National,Season onset,Bin,week,9,10,0.004567056
US National,Season onset,Bin,week,10,11,0.004077513
US National,Season onset,Bin,week,11,12,0.002759825
US National,Season onset,Bin,week,12,13,0.005429899
US National,Season onset,Bin,week,13,14,0.001665265
US National,Season onset,Bin,week,14,15,0.001708495
US National,Season onset,Bin,week,15,16,0.001415713
US National,Season onset,Bin,week,16,17,0.001748658
US National,Season onset,Bin,week,17,18,0.00127675
US National,Season onset,Bin,week,18,19,0.00089162
US National,Season onset,Bin,week,19,20,0.000724223
US National,Season onset,Bin,week,20,21,0.000990607
US National,Season onset,Bin,week,none,none,0.035047136
US National,Season peak week,Point,week,NA,NA,3
US National,Season peak week,Bin,week,40,41,0.001509149
US National,Season peak week,Bin,week,41,42,0.002082355
US National,Season peak week,Bin,week,42,43,0.001450522
US National,Season peak week,Bin,week,43,44,0.00810175
US National,Season peak week,Bin,week,44,45,0.003430008
US National,Season peak week,Bin,week,45,46,0.003247842
US National,Season peak week,Bin,week,46,47,0.004436156
US National,Season peak week,Bin,week,47,48,0.006191047
US National,Season peak week,Bin,week,48,49,0.010268671
US National,Season peak week,Bin,week,49,50,0.042342525
US National,Season peak week,Bin,week,50,51,0.034735735
US National,Season peak week,Bin,week,51,52,0.061889671
US National,Season peak week,Bin,week,52,53,0.09440754
US National,Season peak week,Bin,week,1,2,0.073272179
