location,target,type,unit,bin_start_incl,bin_end_notincl,value
US National,Season onset,Point,week,NA,NA,49
US National,Season onset,Bin,week,40,41.0,0.002069657495742025
US National,Season onset,Bin,week,41,42.0,7.028418220866717e-4
US National,Season onset,Bin,week,42,43.0,7.253394334716804e-4
US National,Season onset,Bin,week,43,44.0,0.0010115041301369608
US National,Season onset,Bin,week,44,45.0,0.0016183066959047174
US National,Season onset,Bin,week,45,46.0,0.0032227417509266437
US National,Season onset,Bin,week,46,47.0,0.056393361463603055
US National,Season onset,Bin,week,47,48.0,0.2937732509554512
US National,Season onset,Bin,week,48,49.0,0.09561070610750698
US National,Season onset,Bin,week,49,50.0,0.13240673033011885
US National,Season onset,Bin,week,50,51.0,0.0992850109332251
US National,Season onset,Bin,week,51,52.0,0.07159493911751802
US National,Season onset,Bin,week,52,53.0,0.07563600233188035
US National,Season onset,Bin,week,1,2.0,0.04836619394868165
US National,Season onset,Bin,week,2,3.0,0.014940865104734658
US National,Season onset,Bin,week,3,4.0,0.01643323836507485
US National,Season onset,Bin,week,4,5.0,0.012613328936146893
US National,Season onset,Bin,week,5,6.0,0.010590482570412032
US National,Season onset,Bin,week,6,7.0,0.009003489267847919
US National,Season onset,Bin,week,7,8.0,0.006601443179471121
US National,Season onset,Bin,week,8,9.0,0.0057159706855303355
US National,Season onset,Bin,week,9,10.0,0.004652817658651768
US National,Season onset,Bin,week,10,11.0,0.0024670629439288547
US National,Season onset,Bin,week,11,12.0,0.0019748539821309147
US National,Season onset,Bin,week,12,13.0,0.0027027961728900937
US National,Season onset,Bin,week,13,14.0,0.0011905831598190708
US National,Season onset,Bin,week,14,15.0,9.335228376892778e-4
US National,Season onset,Bin,week,15,16.0,0.001060711484602508
US National,Season onset,Bin,week,16,17.0,8.88284194639117e-4
US National,Season onset,Bin,week,17,18.0,8.37963344401361e-4
US National,Season onset,Bin,week,18,19.0,7.662666144099843e-4
US National,Season onset,Bin,week,19,20.0,7.718244750539805e-4
US National,Season onset,Bin,week,20,21.0,0.001747173456536884
US National,Season onset,Bin,week,none,none,0.021690735049774482
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41.0,8.372012838188278e-4
US National,Season peak week,Bin,week,41,42.0,7.158798479529774e-4
US National,Season peak week,Bin,week,42,43.0,8.384640046189336e-4
US National,Season peak week,Bin,week,43,44.0,0.0010233849361317067
US National,Season peak week,Bin,week,44,45.0,0.0012446871470039988
US National,Season peak week,Bin,week,45,46.0,0.0016051686854798766
US National,Season peak week,Bin,week,46,47.0,0.007097360901600987
US National,Season peak week,Bin,week,47,48.0,0.007263167951252145
US National,Season peak week,Bin,week,48,49.0,0.009529488080270038
US National,Season peak week,Bin,week,49,50.0,0.012936412626941209
US National,Season peak week,Bin,week,50,51.0,0.018455374981308895
US National,Season peak week,Bin,week,51,52.0,0.03958246856397513
US National,Season peak week,Bin,week,52,53.0,0.18536232839176142
US National,Season peak week,Bin,week,1,2.0,0.09567406006585717
US National,Season peak week,Bin,week,2,3.0,0.045306395516448765
US National,Season peak week,Bin,week,3,4.0,0.04405536515102079
US National,Season peak week,Bin,week,4,5.0,0.06365886561399803
US National,Season peak week,Bin,week,5,6.0,0.07838298518319174
US National,Season peak week,Bin,week,6,7.0,0.11211294952649523
US National,Season peak week,Bin,week,7,8.0,0.08816113673258012
US National,Season peak week,Bin,week,8,9.0,0.04474429767319622
US National,Season peak week,Bin,week,9,10.0,0.03683786177642324
US National,Season peak week,Bin,week,10,11.0,0.026563164019044568
US National,Season peak week,Bin,week,11,12.0,0.016640931806466114
US National,Season peak week,Bin,week,12,13.0,0.013149200732454135
US National,Season peak week,Bin,week,13,14.0,0.006261148329553306
US National,Season peak week,Bin,week,14,15.0,0.003709756745753295
US National,Season peak week,Bin,week,15,16.0,0.0030285595280875187
US National,Season peak week,Bin,week,16,17.0,0.0032250876009127277
US National,Season peak week,Bin,week,17,18.0,0.0020818365640847677
US National,Season peak week,Bin,week,18,19.0,0.0037671781146562944
US National,Season peak week,Bin,week,19,20.0,0.005298484305975512
US National,Season peak week,Bin,week,20,21.0,0.020849347611684357
US National,Season peak percentage,Point,percent,NA,NA,4.3
US National,Season peak percentage,Bin,percent,0,0.1,3.2635956564097397e-4
US National,Season peak percentage,Bin,percent,0.1,0.2,7.585992283984548e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,7.807943426253088e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,8.046199141406596e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,8.310349066020057e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,8.60262728018693e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,8.924113666812944e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,9.280218971545023e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,1.0637764565001751e-4
US National,Season peak percentage,Bin,percent,0.9,1.0,1.2858357332809096e-4
US National,Season peak percentage,Bin,percent,1,1.1,1.348448757099174e-4
US National,Season peak percentage,Bin,percent,1.1,1.2,1.3084192041031475e-4
US National,Season peak percentage,Bin,percent,1.2,1.3,1.6033170040498452e-4
US National,Season peak percentage,Bin,percent,1.3,1.4,1.9657597686314595e-4
US National,Season peak percentage,Bin,percent,1.4,1.5,2.1904421036870021e-4
US National,Season peak percentage,Bin,percent,1.5,1.6,1.5550240794018423e-4
US National,Season peak percentage,Bin,percent,1.6,1.7,6.09177941573748e-4
US National,Season peak percentage,Bin,percent,1.7,1.8,6.329762519829815e-4
US National,Season peak percentage,Bin,percent,1.8,1.9,6.048219928343924e-4
US National,Season peak percentage,Bin,percent,1.9,2.0,8.504367809369878e-4
US National,Season peak percentage,Bin,percent,2,2.1,0.0010186831911632394
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0021233422448777672
US National,Season peak percentage,Bin,percent,2.2,2.3,0.004107665091998001
US National,Season peak percentage,Bin,percent,2.3,2.4,0.02025313300250432
US National,Season peak percentage,Bin,percent,2.4,2.5,0.010132608407033944
US National,Season peak percentage,Bin,percent,2.5,2.6,0.012367602877547299
US National,Season peak percentage,Bin,percent,2.6,2.7,0.011421263771937633
US National,Season peak percentage,Bin,percent,2.7,2.8,0.015013300166873434
US National,Season peak percentage,Bin,percent,2.8,2.9,0.017083446000620315
US National,Season peak percentage,Bin,percent,2.9,3.0,0.018362264495007947
US National,Season peak percentage,Bin,percent,3,3.1,0.02014575663206311
US National,Season peak percentage,Bin,percent,3.1,3.2,0.02601620975757538
US National,Season peak percentage,Bin,percent,3.2,3.3,0.038039507878891043
