"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","Point","week",NA,NA,51
"US National","Season onset","Bin","week","40","41.0",0.000998745163738713
"US National","Season onset","Bin","week","41","42.0",0.000978122981179562
"US National","Season onset","Bin","week","42","43.0",0.000943751775073277
"US National","Season onset","Bin","week","43","44.0",0.000952266993072731
"US National","Season onset","Bin","week","44","45.0",0.00100306846031949
"US National","Season onset","Bin","week","45","46.0",0.00687702804690976
"US National","Season onset","Bin","week","46","47.0",0.00940088372326593
"US National","Season onset","Bin","week","47","48.0",0.0158162527465294
"US National","Season onset","Bin","week","48","49.0",0.0442372596195001
"US National","Season onset","Bin","week","49","50.0",0.149450420427751
"US National","Season onset","Bin","week","50","51.0",0.230720894915381
"US National","Season onset","Bin","week","51","52.0",0.155303692340568
"US National","Season onset","Bin","week","52","53.0",0.0863936688500133
"US National","Season onset","Bin","week","1","2.0",0.058313944524428
"US National","Season onset","Bin","week","2","3.0",0.0491882727321486
"US National","Season onset","Bin","week","3","4.0",0.0335674714907013
"US National","Season onset","Bin","week","4","5.0",0.0226409613509581
"US National","Season onset","Bin","week","5","6.0",0.0188836522090664
"US National","Season onset","Bin","week","6","7.0",0.0148572985085632
"US National","Season onset","Bin","week","7","8.0",0.00885714195658258
"US National","Season onset","Bin","week","8","9.0",0.00470750217799946
"US National","Season onset","Bin","week","9","10.0",0.00399454742822796
"US National","Season onset","Bin","week","10","11.0",0.00327353235678839
"US National","Season onset","Bin","week","11","12.0",0.00273391419638296
"US National","Season onset","Bin","week","12","13.0",0.00436273320191265
"US National","Season onset","Bin","week","13","14.0",0.00209073556583666
"US National","Season onset","Bin","week","14","15.0",0.00175397318113185
"US National","Season onset","Bin","week","15","16.0",0.00164436369153946
"US National","Season onset","Bin","week","16","17.0",0.00150202076511601
"US National","Season onset","Bin","week","17","18.0",0.00152311181618613
"US National","Season onset","Bin","week","18","19.0",0.00150822564382753
"US National","Season onset","Bin","week","19","20.0",0.00140909932798337
"US National","Season onset","Bin","week","20","21.0",0.00151566516803138
"US National","Season onset","Bin","week","none","none",0.0585957766632863
"US National","Season peak week","Point","week",NA,NA,4
"US National","Season peak week","Bin","week","40","41.0",0.000217953245564953
"US National","Season peak week","Bin","week","41","42.0",0.000218995658336035
"US National","Season peak week","Bin","week","42","43.0",0.00113643968999586
"US National","Season peak week","Bin","week","43","44.0",0.00125749031385392
"US National","Season peak week","Bin","week","44","45.0",0.000234952022213435
"US National","Season peak week","Bin","week","45","46.0",0.000370881010152422
"US National","Season peak week","Bin","week","46","47.0",0.00103783644194394
"US National","Season peak week","Bin","week","47","48.0",0.0258542848233744
"US National","Season peak week","Bin","week","48","49.0",0.017828617831895
"US National","Season peak week","Bin","week","49","50.0",0.00941861773684523
"US National","Season peak week","Bin","week","50","51.0",0.0197328524980955
"US National","Season peak week","Bin","week","51","52.0",0.0850550745151376
"US National","Season peak week","Bin","week","52","53.0",0.113140794526395
"US National","Season peak week","Bin","week","1","2.0",0.064376736400461
"US National","Season peak week","Bin","week","2","3.0",0.0538348213159824
"US National","Season peak week","Bin","week","3","4.0",0.0557803349743101
"US National","Season peak week","Bin","week","4","5.0",0.0697038992152434
"US National","Season peak week","Bin","week","5","6.0",0.0787158722148549
"US National","Season peak week","Bin","week","6","7.0",0.0950826283795217
"US National","Season peak week","Bin","week","7","8.0",0.107279079674743
"US National","Season peak week","Bin","week","8","9.0",0.0615450545825298
"US National","Season peak week","Bin","week","9","10.0",0.0363587993198868
"US National","Season peak week","Bin","week","10","11.0",0.0349347802955051
"US National","Season peak week","Bin","week","11","12.0",0.0178844246051179
"US National","Season peak week","Bin","week","12","13.0",0.01059853018321
"US National","Season peak week","Bin","week","13","14.0",0.00676391299908373
"US National","Season peak week","Bin","week","14","15.0",0.00508701613298316
"US National","Season peak week","Bin","week","15","16.0",0.00345939670034797
"US National","Season peak week","Bin","week","16","17.0",0.00306702062556212
"US National","Season peak week","Bin","week","17","18.0",0.00261024193466922
"US National","Season peak week","Bin","week","18","19.0",0.00283730892786263
"US National","Season peak week","Bin","week","19","20.0",0.00422677090907972
"US National","Season peak week","Bin","week","20","21.0",0.0103485802952429
"US National","Season peak percentage","Point","percent",NA,NA,3.9
"US National","Season peak percentage","Bin","percent","0","0.1",0.000129416090909862
"US National","Season peak percentage","Bin","percent","0.1","0.2",0.000129685495238355
"US National","Season peak percentage","Bin","percent","0.2","0.3",0.000130049890963568
"US National","Season peak percentage","Bin","percent","0.3","0.4",0.000131200093549326
"US National","Season peak percentage","Bin","percent","0.4","0.5",0.000134495584794315
"US National","Season peak percentage","Bin","percent","0.5","0.6",0.000176840865951843
"US National","Season peak percentage","Bin","percent","0.6","0.7",0.000228701784165413
"US National","Season peak percentage","Bin","percent","0.7","0.8",0.000228325715887745
"US National","Season peak percentage","Bin","percent","0.8","0.9",0.000194263151561752
"US National","Season peak percentage","Bin","percent","0.9","1.0",0.000161550794538007
"US National","Season peak percentage","Bin","percent","1","1.1",0.000150795626820046
"US National","Season peak percentage","Bin","percent","1.1","1.2",0.000150420702094884
"US National","Season peak percentage","Bin","percent","1.2","1.3",0.000154842000979074
"US National","Season peak percentage","Bin","percent","1.3","1.4",0.000163168854447513
"US National","Season peak percentage","Bin","percent","1.4","1.5",0.0170130411075214
"US National","Season peak percentage","Bin","percent","1.5","1.6",0.000587390732546389
"US National","Season peak percentage","Bin","percent","1.6","1.7",0.00274809488590779
"US National","Season peak percentage","Bin","percent","1.7","1.8",0.000385351758423746
"US National","Season peak percentage","Bin","percent","1.8","1.9",0.00406595789949014
"US National","Season peak percentage","Bin","percent","1.9","2.0",0.0303011324624697
"US National","Season peak percentage","Bin","percent","2","2.1",0.00989792795190021
"US National","Season peak percentage","Bin","percent","2.1","2.2",0.0135351631537383
"US National","Season peak percentage","Bin","percent","2.2","2.3",0.0152534916708919
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.0104395845684005
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.0147248657789896
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0152571829640165
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.0163312386525574
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0177674834908202
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0186557255290653
"US National","Season peak percentage","Bin","percent","2.9","3.0",0.0213661463508699
"US National","Season peak percentage","Bin","percent","3","3.1",0.0257937839508252
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.039082102803417
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0399269972050974
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0362028169460668
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.034416541243031
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0283375064017672
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0276223662158179
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0242179392603552
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0244238019025253
"US National","Season peak percentage","Bin","percent","3.9","4.0",0.0261117763177958
"US National","Season peak percentage","Bin","percent","4","4.1",0.0308843131704739
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0317348319988833
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0254017945731626
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0234851934453502
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.02309327018541
