Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,,,48.0
US National,Season onset,Bin,week,40,41,1.4714061640147027e-05
US National,Season onset,Bin,week,41,42,1.4714061640147027e-05
US National,Season onset,Bin,week,42,43,1.4714061640147027e-05
US National,Season onset,Bin,week,43,44,0.00020011123830615565
US National,Season onset,Bin,week,44,45,0.0002001113434105889
US National,Season onset,Bin,week,45,46,0.0002029374300952401
US National,Season onset,Bin,week,46,47,0.0034156001542901
US National,Season onset,Bin,week,47,48,0.1779070006194118
US National,Season onset,Bin,week,48,49,0.6321021114779323
US National,Season onset,Bin,week,49,50,0.17790700061941184
US National,Season onset,Bin,week,50,51,0.003415600154290046
US National,Season onset,Bin,week,51,52,0.00020293743009525616
US National,Season onset,Bin,week,52,53,0.00020011134341061716
US National,Season onset,Bin,week,1,2,0.00020011123830610992
US National,Season onset,Bin,week,2,3,0.00020011123830599963
US National,Season onset,Bin,week,3,4,0.00020011123830599963
US National,Season onset,Bin,week,4,5,0.00020011123830599963
US National,Season onset,Bin,week,5,6,0.00020011123830599963
US National,Season onset,Bin,week,6,7,0.00020011123830599963
US National,Season onset,Bin,week,7,8,0.00020011123830599963
US National,Season onset,Bin,week,8,9,0.00020011123830599963
US National,Season onset,Bin,week,9,10,0.00020011123830599963
US National,Season onset,Bin,week,10,11,0.00020011123830599963
US National,Season onset,Bin,week,11,12,0.00020011123830599963
US National,Season onset,Bin,week,12,13,0.00020011123830599963
US National,Season onset,Bin,week,13,14,0.00020011123830599963
US National,Season onset,Bin,week,14,15,0.00020011123830599963
US National,Season onset,Bin,week,15,16,0.00020011123830599963
US National,Season onset,Bin,week,16,17,0.00020011123830599963
US National,Season onset,Bin,week,17,18,0.00020011123830599963
US National,Season onset,Bin,week,18,19,0.00020011123830599963
US National,Season onset,Bin,week,19,20,0.00020011123830599963
US National,Season onset,Bin,week,20,21,0.00020011123830599963
US National,Season onset,Bin,week,none,none,0.00020011123830599963
US National,Season peak week,Point,week,,,3.0
US National,Season peak week,Bin,week,40,41,1.519503203238647e-05
US National,Season peak week,Bin,week,41,42,1.519503203238647e-05
US National,Season peak week,Bin,week,42,43,1.519503203238647e-05
US National,Season peak week,Bin,week,43,44,1.519503203238647e-05
US National,Season peak week,Bin,week,44,45,1.519503203238647e-05
US National,Season peak week,Bin,week,45,46,1.519503203238647e-05
US National,Season peak week,Bin,week,46,47,1.519503203238647e-05
US National,Season peak week,Bin,week,47,48,1.519503203238647e-05
US National,Season peak week,Bin,week,48,49,1.519503203238647e-05
US National,Season peak week,Bin,week,49,50,1.519503203238647e-05
US National,Season peak week,Bin,week,50,51,0.00022611344787953262
US National,Season peak week,Bin,week,51,52,0.0008795237293006671
US National,Season peak week,Bin,week,52,53,0.010676966737836456
US National,Season peak week,Bin,week,1,2,0.07405592231720158
US National,Season peak week,Bin,week,2,3,0.23787532541234302
US National,Season peak week,Bin,week,3,4,0.3508975510975226
US National,Season peak week,Bin,week,4,5,0.23787532541234302
US National,Season peak week,Bin,week,5,6,0.07405592231720153
US National,Season peak week,Bin,week,6,7,0.010676966737836531
US National,Season peak week,Bin,week,7,8,0.0008795237293006137
US National,Season peak week,Bin,week,8,9,0.0002261134478795767
US National,Season peak week,Bin,week,9,10,0.00020690406901105438
US National,Season peak week,Bin,week,10,11,0.0002066538819732429
US National,Season peak week,Bin,week,11,12,0.00020665243931892384
US National,Season peak week,Bin,week,12,13,0.0002066524356445476
US National,Season peak week,Bin,week,13,14,0.00020665243564045601
US National,Season peak week,Bin,week,14,15,0.00020665243564045601
US National,Season peak week,Bin,week,15,16,0.00020665243564045601
US National,Season peak week,Bin,week,16,17,1.519503203238647e-05
US National,Season peak week,Bin,week,17,18,1.519503203238647e-05
US National,Season peak week,Bin,week,18,19,1.519503203238647e-05
US National,Season peak week,Bin,week,19,20,1.519503203238647e-05
US National,Season peak week,Bin,week,20,21,1.519503203238647e-05
US National,Season peak percentage,Point,percent,,,3.911522150039673
US National,Season peak percentage,Bin,percent,0,0.1,0.0010658529506673124
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0010903342108779103
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0011229112249628156
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0011658701933477328
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0012220064686361046
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0012946941955792573
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0013879519922104715
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0015064995597075955
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0016557990210934975
US National,Season peak percentage,Bin,percent,0.9,1,0.0018420738193866907
US National,Season peak percentage,Bin,percent,1,1.1,0.0020722972747333718
US National,Season peak percentage,Bin,percent,1.1,1.2,0.002354142543161245
US National,Season peak percentage,Bin,percent,1.2,1.3,0.002695885878648432
US National,Season peak percentage,Bin,percent,1.3,1.4,0.003106255910102575
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0035942232178297405
US National,Season peak percentage,Bin,percent,1.5,1.6,0.004168726901973932
US National,Season peak percentage,Bin,percent,1.6,1.7,0.004838338091605372
US National,Season peak percentage,Bin,percent,1.7,1.8,0.00561086438626113
US National,Season peak percentage,Bin,percent,1.8,1.9,0.006492903903564433
US National,Season peak percentage,Bin,percent,1.9,2,0.0074893626864533875
US National,Season peak percentage,Bin,percent,2,2.1,0.008602954371865621
US National,Season peak percentage,Bin,percent,2.1,2.2,0.009833705834448028
US National,Season peak percentage,Bin,percent,2.2,2.3,0.011178496538418944
US National,Season peak percentage,Bin,percent,2.3,2.4,0.012630662087110113
US National,Season peak percentage,Bin,percent,2.4,2.5,0.014179693510028929
US National,Season peak percentage,Bin,percent,2.5,2.6,0.015811062804912582
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0175062019153175
US National,Season peak percentage,Bin,percent,2.7,2.8,0.019242656598560767
US National,Season peak percentage,Bin,percent,2.8,2.9,0.020994428649371986
US National,Season peak percentage,Bin,percent,2.9,3,0.02273251003105865
US National,Season peak percentage,Bin,percent,3,3.1,0.024425601177283724
US National,Season peak percentage,Bin,percent,3.1,3.2,0.026040993794291274
US National,Season peak percentage,Bin,percent,3.2,3.3,0.027545586778172457
US National,Season peak percentage,Bin,percent,3.3,3.4,0.02890699329058655
US National,Season peak percentage,Bin,percent,3.4,3.5,0.030094688517203424
US National,Season peak percentage,Bin,percent,3.5,3.6,0.031081141969233426
US National,Season peak percentage,Bin,percent,3.6,3.7,0.031842875995389555
US National,Season peak percentage,Bin,percent,3.7,3.8,0.03236139380835325
US National,Season peak percentage,Bin,percent,3.8,3.9,0.03262392585079912
US National,Season peak percentage,Bin,percent,3.9,4,0.03262395246232352
US National,Season peak percentage,Bin,percent,4,4.1,0.03236147298022821
US National,Season peak percentage,Bin,percent,4.1,4.2,0.031843005766948096
US National,Season peak percentage,Bin,percent,4.2,4.3,0.03108131916254197
US National,Season peak percentage,Bin,percent,4.3,4.4,0.030094908866399407
US National,Season peak percentage,Bin,percent,4.4,4.5,0.028907251612499792
US National,Season peak percentage,Bin,percent,4.5,4.6,0.027545877174713854
US National,Season peak percentage,Bin,percent,4.6,4.7,0.026041309875582317
US National,Season peak percentage,Bin,percent,4.7,4.8,0.024425936293787875
US National,Season peak percentage,Bin,percent,4.8,4.9,0.022732857503032288
