"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40.0","41.0",0.000184361456715945
"US National","Season onset","Bin","week","41.0","42.0",0.000184361456715945
"US National","Season onset","Bin","week","42.0","43.0",0.000184361456715945
"US National","Season onset","Bin","week","43.0","44.0",0.000184361456715945
"US National","Season onset","Bin","week","44.0","45.0",0.000184361456715945
"US National","Season onset","Bin","week","45.0","46.0",0.000184361456715945
"US National","Season onset","Bin","week","46.0","47.0",0.000978881527899425
"US National","Season onset","Bin","week","47.0","48.0",0.991348150258108
"US National","Season onset","Bin","week","48.0","49.0",0.0017734015990829
"US National","Season onset","Bin","week","49.0","50.0",0.000184361456715945
"US National","Season onset","Bin","week","50.0","51.0",0.000184361456715945
"US National","Season onset","Bin","week","51.0","52.0",0.000184361456715945
"US National","Season onset","Bin","week","52.0","53.0",0.000184361456715945
"US National","Season onset","Bin","week","53.0","54.0",0.000184361456715945
"US National","Season onset","Bin","week","1.0","2.0",0.000184361456715945
"US National","Season onset","Bin","week","2.0","3.0",0.000184361456715945
"US National","Season onset","Bin","week","3.0","4.0",0.000184361456715945
"US National","Season onset","Bin","week","4.0","5.0",0.000184361456715945
"US National","Season onset","Bin","week","5.0","6.0",0.000184361456715945
"US National","Season onset","Bin","week","6.0","7.0",0.000184361456715945
"US National","Season onset","Bin","week","7.0","8.0",0.000184361456715945
"US National","Season onset","Bin","week","8.0","9.0",0.000184361456715945
"US National","Season onset","Bin","week","9.0","10.0",0.000184361456715945
"US National","Season onset","Bin","week","10.0","11.0",0.000184361456715945
"US National","Season onset","Bin","week","11.0","12.0",0.000184361456715945
"US National","Season onset","Bin","week","12.0","13.0",0.000184361456715945
"US National","Season onset","Bin","week","13.0","14.0",0.000184361456715945
"US National","Season onset","Bin","week","14.0","15.0",0.000184361456715945
"US National","Season onset","Bin","week","15.0","16.0",0.000184361456715945
"US National","Season onset","Bin","week","16.0","17.0",0.000184361456715945
"US National","Season onset","Bin","week","17.0","18.0",0.000184361456715945
"US National","Season onset","Bin","week","18.0","19.0",0.000184361456715945
"US National","Season onset","Bin","week","19.0","20.0",0.000184361456715945
"US National","Season onset","Bin","week","20.0","21.0",0.000184361456715945
"US National","Season onset","Bin","week","none","none",0.000184361456715945
"US National","Season peak week","Point","week",NA,NA,2
"US National","Season peak week","Bin","week","40.0","41.0",0.000184361456715945
"US National","Season peak week","Bin","week","41.0","42.0",0.000184361456715945
"US National","Season peak week","Bin","week","42.0","43.0",0.000184361456715945
"US National","Season peak week","Bin","week","43.0","44.0",0.000184361456715945
"US National","Season peak week","Bin","week","44.0","45.0",0.000184361456715945
"US National","Season peak week","Bin","week","45.0","46.0",0.000184361456715945
"US National","Season peak week","Bin","week","46.0","47.0",0.000184361456715945
"US National","Season peak week","Bin","week","47.0","48.0",0.000184361456715945
"US National","Season peak week","Bin","week","48.0","49.0",0.000184361456715945
"US National","Season peak week","Bin","week","49.0","50.0",0.000184361456715945
"US National","Season peak week","Bin","week","50.0","51.0",0.00543228448448026
"US National","Season peak week","Bin","week","51.0","52.0",0.0429174489685111
"US National","Season peak week","Bin","week","52.0","53.0",0.240089414154513
"US National","Season peak week","Bin","week","53.0","54.0",0.120511739450455
"US National","Season peak week","Bin","week","1.0","2.0",0.0519138884446785
"US National","Season peak week","Bin","week","2.0","3.0",0.0515390367998382
"US National","Season peak week","Bin","week","3.0","4.0",0.108891338460405
"US National","Season peak week","Bin","week","4.0","5.0",0.119012332871094
"US National","Season peak week","Bin","week","5.0","6.0",0.111515299974288
"US National","Season peak week","Bin","week","6.0","7.0",0.0785283552283404
"US National","Season peak week","Bin","week","7.0","8.0",0.0417928940339902
"US National","Season peak week","Bin","week","8.0","9.0",0.0121796140916058
"US National","Season peak week","Bin","week","9.0","10.0",0.00543228448448026
"US National","Season peak week","Bin","week","10.0","11.0",0.00355802626027872
"US National","Season peak week","Bin","week","11.0","12.0",0.0024334713257578
"US National","Season peak week","Bin","week","12.0","13.0",0.000559213101556253
"US National","Season peak week","Bin","week","13.0","14.0",0.000559213101556253
"US National","Season peak week","Bin","week","14.0","15.0",0.000184361456715945
"US National","Season peak week","Bin","week","15.0","16.0",0.000184361456715945
"US National","Season peak week","Bin","week","16.0","17.0",0.000184361456715945
"US National","Season peak week","Bin","week","17.0","18.0",0.000184361456715945
"US National","Season peak week","Bin","week","18.0","19.0",0.000184361456715945
"US National","Season peak week","Bin","week","19.0","20.0",0.000184361456715945
"US National","Season peak week","Bin","week","20.0","21.0",0.000184361456715945
"US National","Season peak percentage","Point","percent",NA,NA,6
"US National","Season peak percentage","Bin","percent","0.0","0.1",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.1","0.2",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.2","0.3",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.3","0.4",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.4","0.5",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.5","0.6",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.6","0.7",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.7","0.8",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.8","0.9",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","0.9","1.0",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.0","1.1",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.1","1.2",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.2","1.3",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.3","1.4",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.4","1.5",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.5","1.6",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.6","1.7",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.7","1.8",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.8","1.9",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","1.9","2.0",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.0","2.1",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.1","2.2",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.2","2.3",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.3","2.4",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.4","2.5",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.5","2.6",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.6","2.7",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.7","2.8",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.8","2.9",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","2.9","3.0",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","3.0","3.1",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","3.1","3.2",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","3.2","3.3",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","3.3","3.4",5.02803972861667e-05
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.000844693246510886
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.000447486821898527
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.00243351894496033
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.00243351894496033
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.00322793179418505
"US National","Season peak percentage","Bin","percent","3.9","4.0",0.00640558319108392
"US National","Season peak percentage","Bin","percent","4.0","4.1",0.00719999604030864
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.00799440888953337
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0115692667110446
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0171301566556176
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.01752736308023
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0163357438063929
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0226910466001907
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0238826658740278
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0270603172709266
"US National","Season peak percentage","Bin","percent","4.9","5.0",0.0254714915724772
"US National","Season peak percentage","Bin","percent","5.0","5.1",0.0354016521877862
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0322240007908873
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0246770787232525
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0365932714616233
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0354016521877862
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0381820971600727
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0338128264893368
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0346072393385615
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0322240007908873
"US National","Season peak percentage","Bin","percent","5.9","6.0",0.033018413640112
"US National","Season peak percentage","Bin","percent","6.0","6.1",0.0361960650370109
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0322240007908873
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0286491429693761
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0306351750924379
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0322240007908873
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.021896633750966
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0167329502310053
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0258686979970896
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.023088253024803
"US National","Season peak percentage","Bin","percent","6.9","7.0",0.0163357438063929
"US National","Season peak percentage","Bin","percent","7.0","7.1",0.0167329502310053
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0171301566556176
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0111720602864322
