location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 1,2 wk ahead,Point,percent,NA,NA,3.2
HHS Region 1,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 1,4 wk ahead,Point,percent,NA,NA,3
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.8
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,2.9
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2.6
HHS Region 10,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4
HHS Region 10,Season peak week,Point,week,NA,NA,4
HHS Region 2,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 2,2 wk ahead,Point,percent,NA,NA,4.9
HHS Region 2,3 wk ahead,Point,percent,NA,NA,4.6
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4
HHS Region 2,Season onset,Point,week,NA,NA,48
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.7
HHS Region 2,Season peak week,Point,week,NA,NA,52
HHS Region 3,1 wk ahead,Point,percent,NA,NA,4.1
HHS Region 3,2 wk ahead,Point,percent,NA,NA,4.4
HHS Region 3,3 wk ahead,Point,percent,NA,NA,4.5
HHS Region 3,4 wk ahead,Point,percent,NA,NA,4.2
HHS Region 3,Season onset,Point,week,NA,NA,49
HHS Region 3,Season peak percentage,Point,percent,NA,NA,7.1
HHS Region 3,Season peak week,Point,week,NA,NA,52
HHS Region 4,1 wk ahead,Point,percent,NA,NA,2.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.3
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,6.5
HHS Region 4,Season peak week,Point,week,NA,NA,52
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 5,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 5,3 wk ahead,Point,percent,NA,NA,3.2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 5,Season onset,Point,week,NA,NA,47
HHS Region 5,Season peak percentage,Point,percent,NA,NA,5.7
HHS Region 5,Season peak week,Point,week,NA,NA,52
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.2
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.8
HHS Region 6,3 wk ahead,Point,percent,NA,NA,5.5
HHS Region 6,4 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,Season onset,Point,week,NA,NA,47
HHS Region 6,Season peak percentage,Point,percent,NA,NA,9.3
HHS Region 6,Season peak week,Point,week,NA,NA,52
HHS Region 7,1 wk ahead,Point,percent,NA,NA,5.3
HHS Region 7,2 wk ahead,Point,percent,NA,NA,5.4
HHS Region 7,3 wk ahead,Point,percent,NA,NA,4.9
HHS Region 7,4 wk ahead,Point,percent,NA,NA,4.1
HHS Region 7,Season onset,Point,week,NA,NA,47
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.8
HHS Region 7,Season peak week,Point,week,NA,NA,52
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.3
HHS Region 8,2 wk ahead,Point,percent,NA,NA,4.6
HHS Region 8,3 wk ahead,Point,percent,NA,NA,3.9
HHS Region 8,4 wk ahead,Point,percent,NA,NA,3.6
HHS Region 8,Season onset,Point,week,NA,NA,50
HHS Region 8,Season peak percentage,Point,percent,NA,NA,4.6
HHS Region 8,Season peak week,Point,week,NA,NA,6
HHS Region 9,1 wk ahead,Point,percent,NA,NA,5.8
HHS Region 9,2 wk ahead,Point,percent,NA,NA,5.9
HHS Region 9,3 wk ahead,Point,percent,NA,NA,5.3
HHS Region 9,4 wk ahead,Point,percent,NA,NA,4.8
HHS Region 9,Season onset,Point,week,NA,NA,52
HHS Region 9,Season peak percentage,Point,percent,NA,NA,6.5
HHS Region 9,Season peak week,Point,week,NA,NA,5
US National,1 wk ahead,Point,percent,NA,NA,4.2
US National,2 wk ahead,Point,percent,NA,NA,4.2
US National,3 wk ahead,Point,percent,NA,NA,4
US National,4 wk ahead,Point,percent,NA,NA,3.8
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,6.1
US National,Season peak week,Point,week,NA,NA,52
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,3.47506806482141e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,8.85224768205022e-06
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,1.17994614249532e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,1.51755009268259e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,1.88593706493885e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,2.268719586116e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,2.64769720304344e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,3.00588490005535e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00203111922106267
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00802740433053343
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,3.85587270710627e-05
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00403623922834069
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,4.23508376176896e-05
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00204167479494515
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00404080021293518
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00603972438673471
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00204495332655938
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00404331047610958
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0160303426754442
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0260190737127924
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0240203687275917
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0380036394564263
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.041997288683018
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0499860787093601
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0559766301031622
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.053975577264707
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0679568096061168
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0619597281822037
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0679494967123003
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0739393191605842
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0619489490596968
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.069936993510855
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0519537543852389
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0319730870108071
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0339688200111071
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0319693422863114
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.029970264050656
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00999119573418789
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0199796789977696
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00599461284857246
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00799227064460707
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,9.87069494490533e-07
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00199888067877907
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,1.19566239561113e-06
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00599479477953836
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00399711579558476
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0039972162751113
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,1.6296829962686e-06
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.00199942968872598
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.00199935081091067
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.00399703447736966
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,1.22939181192598e-06
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.00199885180602352
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,8.37186045208759e-07
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.00199846636921883
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,4.84411819600521e-07
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,3.46654852466912e-07
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,2.38158552247292e-07
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.00199797353852182
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,9.94896749429441e-08
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,6.0485137124354e-08
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,3.53085621239589e-08
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,2.06045610889582e-08
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.00199783478393453
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,1.83388693618671e-08
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,1.83388693618672e-08
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,0.00199783478393453
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.4,12.5,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.5,12.6,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.6,12.7,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.7,12.8,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.8,12.9,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,12.9,13.0,1.83388693618674e-08
HHS Region 1,1 wk ahead,Bin,percent,13.0,100.0,1.83388693618674e-08
HHS Region 1,2 wk ahead,Bin,percent,0.0,0.1,9.95663721729285e-05
HHS Region 1,2 wk ahead,Bin,percent,0.1,0.2,0.000253680702865377
HHS Region 1,2 wk ahead,Bin,percent,0.2,0.3,0.000335626530025389
HHS Region 1,2 wk ahead,Bin,percent,0.3,0.4,0.000424547205957242
HHS Region 1,2 wk ahead,Bin,percent,0.4,0.5,0.000514192076547328
HHS Region 1,2 wk ahead,Bin,percent,0.5,0.6,0.000597632321366151
HHS Region 1,2 wk ahead,Bin,percent,0.6,0.7,0.000668899100503451
HHS Region 1,2 wk ahead,Bin,percent,0.7,0.8,0.00264699215783048
HHS Region 1,2 wk ahead,Bin,percent,0.8,0.9,0.000765762880411971
HHS Region 1,2 wk ahead,Bin,percent,0.9,1.0,0.00464153800418022
HHS Region 1,2 wk ahead,Bin,percent,1.0,1.1,0.00274886568834279
HHS Region 1,2 wk ahead,Bin,percent,1.1,1.2,0.00278629163637811
HHS Region 1,2 wk ahead,Bin,percent,1.2,1.3,0.00283950118504173
HHS Region 1,2 wk ahead,Bin,percent,1.3,1.4,0.000990270126146055
HHS Region 1,2 wk ahead,Bin,percent,1.4,1.5,0.00492640122292249
HHS Region 1,2 wk ahead,Bin,percent,1.5,1.6,0.00118527375754435
HHS Region 1,2 wk ahead,Bin,percent,1.6,1.7,0.00705691327503284
HHS Region 1,2 wk ahead,Bin,percent,1.7,1.8,0.00522896575962639
HHS Region 1,2 wk ahead,Bin,percent,1.8,1.9,0.00530231263605648
HHS Region 1,2 wk ahead,Bin,percent,1.9,2.0,0.00919207996785787
HHS Region 1,2 wk ahead,Bin,percent,2.0,2.1,0.0111285387702
HHS Region 1,2 wk ahead,Bin,percent,2.1,2.2,0.00726824665425271
HHS Region 1,2 wk ahead,Bin,percent,2.2,2.3,0.0168380933341053
HHS Region 1,2 wk ahead,Bin,percent,2.3,2.4,0.0225433892205558
HHS Region 1,2 wk ahead,Bin,percent,2.4,2.5,0.0263129885399694
HHS Region 1,2 wk ahead,Bin,percent,2.5,2.6,0.0435318794215397
HHS Region 1,2 wk ahead,Bin,percent,2.6,2.7,0.0357610571136832
HHS Region 1,2 wk ahead,Bin,percent,2.7,2.8,0.0529859087527262
HHS Region 1,2 wk ahead,Bin,percent,2.8,2.9,0.047154447392704
HHS Region 1,2 wk ahead,Bin,percent,2.9,3.0,0.0528708072541734
HHS Region 1,2 wk ahead,Bin,percent,3.0,3.1,0.0605239692679047
HHS Region 1,2 wk ahead,Bin,percent,3.1,3.2,0.0604998065868403
HHS Region 1,2 wk ahead,Bin,percent,3.2,3.3,0.0470259335621607
HHS Region 1,2 wk ahead,Bin,percent,3.3,3.4,0.0508515223632585
HHS Region 1,2 wk ahead,Bin,percent,3.4,3.5,0.0354457624703145
HHS Region 1,2 wk ahead,Bin,percent,3.5,3.6,0.0546265494943733
HHS Region 1,2 wk ahead,Bin,percent,3.6,3.7,0.0449555962021249
HHS Region 1,2 wk ahead,Bin,percent,3.7,3.8,0.0410344497819521
HHS Region 1,2 wk ahead,Bin,percent,3.8,3.9,0.0294109919096666
HHS Region 1,2 wk ahead,Bin,percent,3.9,4.0,0.0312364718021348
HHS Region 1,2 wk ahead,Bin,percent,4.0,4.1,0.040751126645975
HHS Region 1,2 wk ahead,Bin,percent,4.1,4.2,0.0195158867119975
HHS Region 1,2 wk ahead,Bin,percent,4.2,4.3,0.0136703587217391
HHS Region 1,2 wk ahead,Bin,percent,4.3,4.4,0.0136058318507733
HHS Region 1,2 wk ahead,Bin,percent,4.4,4.5,0.0058668724931853
HHS Region 1,2 wk ahead,Bin,percent,4.5,4.6,0.0231310724690772
HHS Region 1,2 wk ahead,Bin,percent,4.6,4.7,0.00580554514372418
HHS Region 1,2 wk ahead,Bin,percent,4.7,4.8,0.00194469652898396
HHS Region 1,2 wk ahead,Bin,percent,4.8,4.9,0.00962377463658666
HHS Region 1,2 wk ahead,Bin,percent,4.9,5.0,0.00192915703591073
HHS Region 1,2 wk ahead,Bin,percent,5.0,5.1,0.0038507127497749
HHS Region 1,2 wk ahead,Bin,percent,5.1,5.2,0.00577299287281131
HHS Region 1,2 wk ahead,Bin,percent,5.2,5.3,6.15250370208345e-06
HHS Region 1,2 wk ahead,Bin,percent,5.3,5.4,0.0038507127497749
HHS Region 1,2 wk ahead,Bin,percent,5.4,5.5,0.00577299287281131
HHS Region 1,2 wk ahead,Bin,percent,5.5,5.6,0.0038507127497749
HHS Region 1,2 wk ahead,Bin,percent,5.6,5.7,6.15250370208345e-06
HHS Region 1,2 wk ahead,Bin,percent,5.7,5.8,6.15250370208345e-06
