location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,4.8,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,Season onset,week,49,Point,NA,NA
HHS Region 10,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.4,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.7,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.1,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.8,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,49,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.3,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,50,Point,NA,NA
HHS Region 7,Season peak percentage,percent,6.1,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.8,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,4,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.8,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2.1,Point,NA,NA
US National,Season onset,week,48,Point,NA,NA
US National,Season peak percentage,percent,5,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,0.000104147372172464,Bin,40.0,41.0
US National,Season onset,week,0.000121243825676407,Bin,41.0,42.0
US National,Season onset,week,0.000429410013114836,Bin,42.0,43.0
US National,Season onset,week,0.00281567486532186,Bin,43.0,44.0
US National,Season onset,week,0.0558011273501626,Bin,44.0,45.0
US National,Season onset,week,0.125065434730486,Bin,45.0,46.0
US National,Season onset,week,0.149704422967498,Bin,46.0,47.0
US National,Season onset,week,0.0955902977102824,Bin,47.0,48.0
US National,Season onset,week,0.112488088593229,Bin,48.0,49.0
US National,Season onset,week,0.0864189856483971,Bin,49.0,50.0
US National,Season onset,week,0.065990268324492,Bin,50.0,51.0
US National,Season onset,week,0.0621176112400553,Bin,51.0,52.0
US National,Season onset,week,0.0451321469661303,Bin,52.0,53.0
US National,Season onset,week,0.0268400175859378,Bin,1.0,2.0
US National,Season onset,week,0.0345705836529088,Bin,2.0,3.0
US National,Season onset,week,0.0303358661981405,Bin,3.0,4.0
US National,Season onset,week,0.0261701206025041,Bin,4.0,5.0
US National,Season onset,week,0.0204551371427945,Bin,5.0,6.0
US National,Season onset,week,0.0154208886296616,Bin,6.0,7.0
US National,Season onset,week,0.0095355049734745,Bin,7.0,8.0
US National,Season onset,week,0.00475550201315281,Bin,8.0,9.0
US National,Season onset,week,0.00188957569008689,Bin,9.0,10.0
US National,Season onset,week,0.000593086651100973,Bin,10.0,11.0
US National,Season onset,week,0.000177806216272686,Bin,11.0,12.0
US National,Season onset,week,0.000153800585153198,Bin,12.0,13.0
US National,Season onset,week,0.000153800585153198,Bin,13.0,14.0
US National,Season onset,week,0.000153800585153198,Bin,14.0,15.0
US National,Season onset,week,0.000153800585153198,Bin,15.0,16.0
US National,Season onset,week,0.000153800585153198,Bin,16.0,17.0
US National,Season onset,week,0.000153800585153198,Bin,17.0,18.0
US National,Season onset,week,0.000153800585153198,Bin,18.0,19.0
US National,Season onset,week,0.000153800585153198,Bin,19.0,20.0
US National,Season onset,week,0.000153800585153198,Bin,20.0,21.0
US National,Season onset,week,0.0260928457705682,Bin,none,none
US National,Season peak week,week,0.000384418728854293,Bin,40.0,41.0
US National,Season peak week,week,0.000384418728854293,Bin,41.0,42.0
US National,Season peak week,week,0.000957484011144158,Bin,42.0,43.0
US National,Season peak week,week,0.000384418728854293,Bin,43.0,44.0
US National,Season peak week,week,0.000957484011144158,Bin,44.0,45.0
US National,Season peak week,week,0.000384418728854293,Bin,45.0,46.0
US National,Season peak week,week,0.000957484011144158,Bin,46.0,47.0
US National,Season peak week,week,0.00210361457572389,Bin,47.0,48.0
US National,Season peak week,week,0.00153054929343402,Bin,48.0,49.0
US National,Season peak week,week,0.00269248591232079,Bin,49.0,50.0
US National,Season peak week,week,0.00549596382302138,Bin,50.0,51.0
US National,Season peak week,week,0.0205252696897307,Bin,51.0,52.0
US National,Season peak week,week,0.0400107711589385,Bin,52.0,53.0
US National,Season peak week,week,0.0254014684607993,Bin,1.0,2.0
US National,Season peak week,week,0.0342118966833381,Bin,2.0,3.0
US National,Season peak week,week,0.108677509108644,Bin,3.0,4.0
US National,Season peak week,week,0.170439615801952,Bin,4.0,5.0
US National,Season peak week,week,0.308468994708422,Bin,5.0,6.0
US National,Season peak week,week,0.116170983849882,Bin,6.0,7.0
US National,Season peak week,week,0.0743741565936682,Bin,7.0,8.0
US National,Season peak week,week,0.0246819362811753,Bin,8.0,9.0
US National,Season peak week,week,0.0130213684944062,Bin,9.0,10.0
US National,Season peak week,week,0.0218037924235081,Bin,10.0,11.0
US National,Season peak week,week,0.0175135378943585,Bin,11.0,12.0
US National,Season peak week,week,0.00584955263010022,Bin,12.0,13.0
US National,Season peak week,week,0.00139755861869313,Bin,13.0,14.0
US National,Season peak week,week,9.55468349756232e-05,Bin,14.0,15.0
US National,Season peak week,week,9.17058219614036e-05,Bin,15.0,16.0
US National,Season peak week,week,9.17058219614036e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000664771104251269,Bin,17.0,18.0
US National,Season peak week,week,9.17058219614036e-05,Bin,18.0,19.0
US National,Season peak week,week,9.17058219614036e-05,Bin,19.0,20.0
US National,Season peak week,week,9.17058219614036e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,3.92038979975312e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,9.42508761951617e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000119417434489623,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000150262334201287,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000187767489718896,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000233012131402757,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000287223303781546,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000351684012644674,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000427764374995553,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000516858334959235,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000620518351647072,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000740125542100846,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000877164773606938,Bin,1.2,1.3
US National,Season peak percentage,percent,0.00103299812334945,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00120890076227887,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00207865156527514,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00162479912287234,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00253903151969784,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00280313845177832,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00308974215641259,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00339824691611083,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00507301480863671,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00542131390597638,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00645933363746498,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00616603177864977,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00790204784165937,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00695429096235382,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0127375208149531,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00640948007603089,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0101671195713156,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0105499194201168,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0142807192309227,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0166451194183993,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0216749914848853,Bin,3.3,3.4
US National,Season peak percentage,percent,0.011200819543723,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0175119555231109,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0184029716167289,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0199259319119086,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0200601871199995,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0262045321959625,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0282664733453086,Bin,4.0,4.1
US National,Season peak percentage,percent,0.024900384611707,Bin,4.1,4.2
