location,target,unit,type,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,percent,Point,NA,NA,1.7
HHS Region 1,2 wk ahead,percent,Point,NA,NA,1.7
HHS Region 1,3 wk ahead,percent,Point,NA,NA,1.5
HHS Region 1,4 wk ahead,percent,Point,NA,NA,1.5
HHS Region 1,Season onset,week,Point,NA,NA,49
HHS Region 1,Season peak percentage,percent,Point,NA,NA,2.7
HHS Region 1,Season peak week,week,Point,NA,NA,6
HHS Region 10,1 wk ahead,percent,Point,NA,NA,2.3
HHS Region 10,2 wk ahead,percent,Point,NA,NA,2.2
HHS Region 10,3 wk ahead,percent,Point,NA,NA,2.2
HHS Region 10,4 wk ahead,percent,Point,NA,NA,2.7
HHS Region 10,Season onset,week,Point,NA,NA,52
HHS Region 10,Season peak percentage,percent,Point,NA,NA,6.4
HHS Region 10,Season peak week,week,Point,NA,NA,7
HHS Region 2,1 wk ahead,percent,Point,NA,NA,2.8
HHS Region 2,2 wk ahead,percent,Point,NA,NA,2.3
HHS Region 2,3 wk ahead,percent,Point,NA,NA,2.3
HHS Region 2,4 wk ahead,percent,Point,NA,NA,2.3
HHS Region 2,Season onset,week,Point,NA,NA,50
HHS Region 2,Season peak percentage,percent,Point,NA,NA,4.4
HHS Region 2,Season peak week,week,Point,NA,NA,3
HHS Region 3,1 wk ahead,percent,Point,NA,NA,3.4
HHS Region 3,2 wk ahead,percent,Point,NA,NA,3.2
HHS Region 3,3 wk ahead,percent,Point,NA,NA,2.7
HHS Region 3,4 wk ahead,percent,Point,NA,NA,3.3
HHS Region 3,Season onset,week,Point,NA,NA,52
HHS Region 3,Season peak percentage,percent,Point,NA,NA,6.2
HHS Region 3,Season peak week,week,Point,NA,NA,6
HHS Region 4,1 wk ahead,percent,Point,NA,NA,1.9
HHS Region 4,2 wk ahead,percent,Point,NA,NA,1.7
HHS Region 4,3 wk ahead,percent,Point,NA,NA,1.4
HHS Region 4,4 wk ahead,percent,Point,NA,NA,1.7
HHS Region 4,Season onset,week,Point,NA,NA,1
HHS Region 4,Season peak percentage,percent,Point,NA,NA,3.9
HHS Region 4,Season peak week,week,Point,NA,NA,6
HHS Region 5,1 wk ahead,percent,Point,NA,NA,2.3
HHS Region 5,2 wk ahead,percent,Point,NA,NA,2.2
HHS Region 5,3 wk ahead,percent,Point,NA,NA,1.9
HHS Region 5,4 wk ahead,percent,Point,NA,NA,2.1
HHS Region 5,Season onset,week,Point,NA,NA,2
HHS Region 5,Season peak percentage,percent,Point,NA,NA,4
HHS Region 5,Season peak week,week,Point,NA,NA,7
HHS Region 6,1 wk ahead,percent,Point,NA,NA,5.1
HHS Region 6,2 wk ahead,percent,Point,NA,NA,4.2
HHS Region 6,3 wk ahead,percent,Point,NA,NA,3.4
HHS Region 6,4 wk ahead,percent,Point,NA,NA,3.9
HHS Region 6,Season onset,week,Point,NA,NA,3
HHS Region 6,Season peak percentage,percent,Point,NA,NA,7.7
HHS Region 6,Season peak week,week,Point,NA,NA,3
HHS Region 7,1 wk ahead,percent,Point,NA,NA,1.9
HHS Region 7,2 wk ahead,percent,Point,NA,NA,1.4
HHS Region 7,3 wk ahead,percent,Point,NA,NA,1.6
HHS Region 7,4 wk ahead,percent,Point,NA,NA,1.8
HHS Region 7,Season onset,week,Point,NA,NA,3
HHS Region 7,Season peak percentage,percent,Point,NA,NA,4.7
HHS Region 7,Season peak week,week,Point,NA,NA,6
HHS Region 8,1 wk ahead,percent,Point,NA,NA,2.2
HHS Region 8,2 wk ahead,percent,Point,NA,NA,1.7
HHS Region 8,3 wk ahead,percent,Point,NA,NA,1.7
HHS Region 8,4 wk ahead,percent,Point,NA,NA,1.6
HHS Region 8,Season onset,week,Point,NA,NA,52
HHS Region 8,Season peak percentage,percent,Point,NA,NA,3.7
HHS Region 8,Season peak week,week,Point,NA,NA,4
HHS Region 9,1 wk ahead,percent,Point,NA,NA,5.2
HHS Region 9,2 wk ahead,percent,Point,NA,NA,3.6
HHS Region 9,3 wk ahead,percent,Point,NA,NA,3.4
HHS Region 9,4 wk ahead,percent,Point,NA,NA,3.4
HHS Region 9,Season onset,week,Point,NA,NA,52
HHS Region 9,Season peak percentage,percent,Point,NA,NA,6.3
HHS Region 9,Season peak week,week,Point,NA,NA,4
US National,1 wk ahead,percent,Point,NA,NA,2.9
US National,2 wk ahead,percent,Point,NA,NA,2.4
US National,3 wk ahead,percent,Point,NA,NA,2.2
US National,4 wk ahead,percent,Point,NA,NA,2.5
US National,Season onset,week,Point,NA,NA,50
US National,Season peak percentage,percent,Point,NA,NA,4.4
US National,Season peak week,week,Point,NA,NA,6
US National,Season onset,week,Bin,40,41,0.005528738401298455
US National,Season onset,week,Bin,41,42,0.010677469808267873
US National,Season onset,week,Bin,42,43,0.018469381075118974
US National,Season onset,week,Bin,43,44,0.02883462976246118
US National,Season onset,week,Bin,44,45,0.04104360341106792
US National,Season onset,week,Bin,45,46,0.05393617297114956
US National,Season onset,week,Bin,46,47,0.06635628836196364
US National,Season onset,week,Bin,47,48,0.07742296179194616
US National,Season onset,week,Bin,48,49,0.08639096519199792
US National,Season onset,week,Bin,49,50,0.09227942842635357
US National,Season onset,week,Bin,50,51,0.09377607210219539
US National,Season onset,week,Bin,51,52,0.08977239968398423
US National,Season onset,week,Bin,52,53,0.08027027584826368
US National,Season onset,week,Bin,1,2,0.06689014759324328
US National,Season onset,week,Bin,2,3,0.052384617963625583
US National,Season onset,week,Bin,3,4,0.03937018229672998
US National,Season onset,week,Bin,4,5,0.02919896173039079
US National,Season onset,week,Bin,5,6,0.021755998989211888
US National,Season onset,week,Bin,6,7,0.01614795034485647
US National,Season onset,week,Bin,7,8,0.011574024458875573
US National,Season onset,week,Bin,8,9,0.007733798226194201
US National,Season onset,week,Bin,9,10,0.004690759735579168
US National,Season onset,week,Bin,10,11,0.0025403808329164434
US National,Season onset,week,Bin,11,12,0.00121732929834651
US National,Season onset,week,Bin,12,13,5.136857889952487e-4
US National,Season onset,week,Bin,13,14,1.9688563341923584e-4
US National,Season onset,week,Bin,14,15,1.466986102210131e-4
US National,Season onset,week,Bin,15,16,1.466986102210131e-4
US National,Season onset,week,Bin,16,17,1.466986102210131e-4
US National,Season onset,week,Bin,17,18,1.466986102210131e-4
US National,Season onset,week,Bin,18,19,1.466986102210131e-4
US National,Season onset,week,Bin,19,20,1.466986102210131e-4
US National,Season onset,week,Bin,20,21,1.466986102210131e-4
US National,Season onset,week,Bin,none,none,0
US National,Season peak week,week,Bin,40,41,0.0011552380580500668
US National,Season peak week,week,Bin,41,42,0.0011552380580500668
US National,Season peak week,week,Bin,42,43,0.0011552380580500668
US National,Season peak week,week,Bin,43,44,0.0011552380580500668
US National,Season peak week,week,Bin,44,45,0.0011552380580500668
US National,Season peak week,week,Bin,45,46,0.0011552380580500668
US National,Season peak week,week,Bin,46,47,0.0011552380580500668
US National,Season peak week,week,Bin,47,48,0.0011552380580500668
US National,Season peak week,week,Bin,48,49,0.0011552380580500668
US National,Season peak week,week,Bin,49,50,0.0012252576222550361
US National,Season peak week,week,Bin,50,51,0.010086872421672905
US National,Season peak week,week,Bin,51,52,0.05549239985301104
