"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,49
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",1
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,2
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0
"US National","Season peak week","Bin","week","52","53",0.288991248272686
"US National","Season peak week","Bin","week","1","2",0.135605711653616
"US National","Season peak week","Bin","week","2","3",0.263380930446799
"US National","Season peak week","Bin","week","3","4",0.231874712114233
"US National","Season peak week","Bin","week","4","5",0.0288346384154767
"US National","Season peak week","Bin","week","5","6",0.0353754030400737
"US National","Season peak week","Bin","week","6","7",0.00608014739751266
"US National","Season peak week","Bin","week","7","8",0.00257945647167204
"US National","Season peak week","Bin","week","8","9",0.00322432058959005
"US National","Season peak week","Bin","week","9","10",0.000276370336250576
"US National","Season peak week","Bin","week","10","11",0
"US National","Season peak week","Bin","week","11","12",9.21234454168586e-05
"US National","Season peak week","Bin","week","12","13",0.000829111008751728
"US National","Season peak week","Bin","week","13","14",0.00101335789958544
"US National","Season peak week","Bin","week","14","15",0.00101335789958544
"US National","Season peak week","Bin","week","15","16",0
"US National","Season peak week","Bin","week","16","17",0
"US National","Season peak week","Bin","week","17","18",0.000460617227084293
"US National","Season peak week","Bin","week","18","19",0.000184246890833717
"US National","Season peak week","Bin","week","19","20",0.000184246890833717
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,6.2
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0
"US National","Season peak percentage","Bin","percent","4.4","4.5",0
"US National","Season peak percentage","Bin","percent","4.5","4.6",0
"US National","Season peak percentage","Bin","percent","4.6","4.7",0
"US National","Season peak percentage","Bin","percent","4.7","4.8",0
"US National","Season peak percentage","Bin","percent","4.8","4.9",0
"US National","Season peak percentage","Bin","percent","4.9","5",0
"US National","Season peak percentage","Bin","percent","5","5.1",0
"US National","Season peak percentage","Bin","percent","5.1","5.2",0
"US National","Season peak percentage","Bin","percent","5.2","5.3",0
"US National","Season peak percentage","Bin","percent","5.3","5.4",0
"US National","Season peak percentage","Bin","percent","5.4","5.5",0
"US National","Season peak percentage","Bin","percent","5.5","5.6",0
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.3137
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0416
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0251
"US National","Season peak percentage","Bin","percent","5.9","6",0.0188
"US National","Season peak percentage","Bin","percent","6","6.1",0.0436
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0498
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0272
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0101
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0054
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0035
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0076
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0232
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0461
"US National","Season peak percentage","Bin","percent","6.9","7",0.0416
"US National","Season peak percentage","Bin","percent","7","7.1",0.0285
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0399
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0149
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0076
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.02
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0262
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0355
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0457
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0432
"US National","Season peak percentage","Bin","percent","7.9","8",0.0381
"US National","Season peak percentage","Bin","percent","8","8.1",0.0236
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0118
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0048
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0025
"US National","Season peak percentage","Bin","percent","8.4","8.5",3e-04
"US National","Season peak percentage","Bin","percent","8.5","8.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","8.6","8.7",0
"US National","Season peak percentage","Bin","percent","8.7","8.8",0
"US National","Season peak percentage","Bin","percent","8.8","8.9",0
"US National","Season peak percentage","Bin","percent","8.9","9",0
"US National","Season peak percentage","Bin","percent","9","9.1",0
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",0
