"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00506
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0167
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00852
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00186
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0062
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.01122
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.02612
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.04456
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.03984
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.03708
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.03806
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0295
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.03708
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.0484
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.03756
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.02558
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.02826
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.03854
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.04522
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.0488
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.04372
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.04128
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.03344
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.02718
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.02512
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02518
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.024
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.02208
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.01994
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.01652
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.01464
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.01194
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.01148
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.01006
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01196
