"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00032
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.01572
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.01928
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.07864
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.04246
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.06352
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.11192
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.14602
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.1063
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.1434
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.08252
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.04782
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04188
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.02822
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.01948
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.01796
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.01384
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0064
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00276
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00132
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00114
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0021
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00322
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00148
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00078
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00008
