Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.0186737004798018
US National,Season onset,Bin,week,41,42,0.0117565254449895
US National,Season onset,Bin,week,42,43,0.00464983876538773
US National,Season onset,Bin,week,43,44,0.00654495521328152
US National,Season onset,Bin,week,44,45,0.0151677350511983
US National,Season onset,Bin,week,45,46,0.0268227012057451
US National,Season onset,Bin,week,46,47,0.0484270287117343
US National,Season onset,Bin,week,47,48,0.0656725883875678
US National,Season onset,Bin,week,48,49,0.0818758340170598
US National,Season onset,Bin,week,49,50,0.0990266378704986
US National,Season onset,Bin,week,50,51,0.13522336202527
US National,Season onset,Bin,week,51,52,0.133138733932587
US National,Season onset,Bin,week,52,53,0.0862346018472155
US National,Season onset,Bin,week,1,2,0.0391409581170548
US National,Season onset,Bin,week,2,3,0.0351612135764778
US National,Season onset,Bin,week,3,4,0.0407518070977645
US National,Season onset,Bin,week,4,5,0.0391409581170548
US National,Season onset,Bin,week,5,6,0.0242642940010885
US National,Season onset,Bin,week,6,7,0.014030665182462
US National,Season onset,Bin,week,7,8,0.00417605965341428
US National,Season onset,Bin,week,8,9,0.000764850047205456
US National,Season onset,Bin,week,9,10,0.000101559290442628
US National,Season onset,Bin,week,10,11,0.000101559290442628
US National,Season onset,Bin,week,11,12,0.000101559290442628
US National,Season onset,Bin,week,12,13,0.000101559290442628
US National,Season onset,Bin,week,13,14,0.000101559290442628
US National,Season onset,Bin,week,14,15,0.000101559290442628
US National,Season onset,Bin,week,15,16,0.000101559290442628
US National,Season onset,Bin,week,16,17,0.000101559290442628
US National,Season onset,Bin,week,17,18,0.000101559290442628
US National,Season onset,Bin,week,18,19,0.000101559290442628
US National,Season onset,Bin,week,19,20,0.000101559290442628
US National,Season onset,Bin,week,20,21,0.000101559290442628
US National,Season onset,Bin,week,none,none,0.0681362397698298
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00602954476936991
US National,Season peak week,Bin,week,41,42,0.00824037785147221
US National,Season peak week,Bin,week,42,43,0.00793890061300372
US National,Season peak week,Bin,week,43,44,0.0088433323284092
US National,Season peak week,Bin,week,44,45,0.00623052959501558
US National,Season peak week,Bin,week,45,46,0.00512511305396443
US National,Season peak week,Bin,week,46,47,0.0047231434026731
US National,Season peak week,Bin,week,47,48,0.00633102200783841
US National,Season peak week,Bin,week,48,49,0.0160787860516531
US National,Season peak week,Bin,week,49,50,0.0240176866646568
US National,Season peak week,Bin,week,50,51,0.0396945030650186
US National,Season peak week,Bin,week,51,52,0.0531604863832781
US National,Season peak week,Bin,week,52,53,0.0584865842628882
US National,Season peak week,Bin,week,1,2,0.0618028338860416
US National,Season peak week,Bin,week,2,3,0.0615013566475731
US National,Season peak week,Bin,week,3,4,0.0638126821424982
US National,Season peak week,Bin,week,4,5,0.0610993869962818
US National,Season peak week,Bin,week,5,6,0.0764747261581751
US National,Season peak week,Bin,week,6,7,0.0867249522661039
US National,Season peak week,Bin,week,7,8,0.0853180584865843
US National,Season peak week,Bin,week,8,9,0.0759722640940609
US National,Season peak week,Bin,week,9,10,0.0566777208320772
US National,Season peak week,Bin,week,10,11,0.0440156768164004
US National,Season peak week,Bin,week,11,12,0.031655110039192
US National,Season peak week,Bin,week,12,13,0.0201989749773892
US National,Season peak week,Bin,week,13,14,0.0142699226208421
