"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,52
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",4e-04
"US National","Season onset","Bin","week","43","44",0.0152
"US National","Season onset","Bin","week","44","45",0.0259
"US National","Season onset","Bin","week","45","46",0.0277
"US National","Season onset","Bin","week","46","47",0.0192
"US National","Season onset","Bin","week","47","48",0.0251
"US National","Season onset","Bin","week","48","49",0.0172
"US National","Season onset","Bin","week","49","50",0.0289
"US National","Season onset","Bin","week","50","51",0.0269
"US National","Season onset","Bin","week","51","52",0.0229
"US National","Season onset","Bin","week","52","53",0.0175
"US National","Season onset","Bin","week","1","2",0.0095
"US National","Season onset","Bin","week","2","3",0.0152
"US National","Season onset","Bin","week","3","4",0.018
"US National","Season onset","Bin","week","4","5",0.019
"US National","Season onset","Bin","week","5","6",0.019
"US National","Season onset","Bin","week","6","7",0.0154
"US National","Season onset","Bin","week","7","8",0.014
"US National","Season onset","Bin","week","8","9",0.0148
"US National","Season onset","Bin","week","9","10",0.0143
"US National","Season onset","Bin","week","10","11",0.0106
"US National","Season onset","Bin","week","11","12",0.0108
"US National","Season onset","Bin","week","12","13",0.0082
"US National","Season onset","Bin","week","13","14",0.0074
"US National","Season onset","Bin","week","14","15",0.0074
"US National","Season onset","Bin","week","15","16",0.0088
"US National","Season onset","Bin","week","16","17",0.0079
"US National","Season onset","Bin","week","17","18",0.009
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.5638
"US National","Season peak week","Point","week",NA,NA,4
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0.0145653876272514
"US National","Season peak week","Bin","week","42","43",0.0250587314017228
"US National","Season peak week","Bin","week","43","44",0.0361002349256069
"US National","Season peak week","Bin","week","44","45",0.0459671104150353
"US National","Season peak week","Bin","week","45","46",0.0407204385277995
"US National","Season peak week","Bin","week","46","47",0.0339075959279561
"US National","Season peak week","Bin","week","47","48",0.037353171495693
"US National","Season peak week","Bin","week","48","49",0.0230227094753328
"US National","Season peak week","Bin","week","49","50",0.023884103367267
"US National","Season peak week","Bin","week","50","51",0.0287392325763508
"US National","Season peak week","Bin","week","51","52",0.0436961628817541
"US National","Season peak week","Bin","week","52","53",0.0521534847298356
"US National","Season peak week","Bin","week","1","2",0.0204385277995302
"US National","Season peak week","Bin","week","2","3",0.0245888801879405
"US National","Season peak week","Bin","week","3","4",0.0247454972592013
"US National","Season peak week","Bin","week","4","5",0.0325763508222396
"US National","Season peak week","Bin","week","5","6",0.0398590446358653
"US National","Season peak week","Bin","week","6","7",0.0412685982772122
"US National","Season peak week","Bin","week","7","8",0.0293657008613939
"US National","Season peak week","Bin","week","8","9",0.0345340642129992
"US National","Season peak week","Bin","week","9","10",0.0327329678935004
"US National","Season peak week","Bin","week","10","11",0.0361785434612373
"US National","Season peak week","Bin","week","11","12",0.031636648394675
"US National","Season peak week","Bin","week","12","13",0.0234142521534847
"US National","Season peak week","Bin","week","13","14",0.0274862960062647
"US National","Season peak week","Bin","week","14","15",0.0175411119812059
"US National","Season peak week","Bin","week","15","16",0.0184808144087706
"US National","Season peak week","Bin","week","16","17",0.0178543461237275
"US National","Season peak week","Bin","week","17","18",0.0229444009397024
"US National","Season peak week","Bin","week","18","19",0.0234142521534847
"US National","Season peak week","Bin","week","19","20",0.0382145653876273
"US National","Season peak week","Bin","week","20","21",0.057556773688332
"US National","Season peak percentage","Point","percent",NA,NA,2.7
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0.0186
"US National","Season peak percentage","Bin","percent","1.5","1.6",0.0157
"US National","Season peak percentage","Bin","percent","1.6","1.7",0.0269
"US National","Season peak percentage","Bin","percent","1.7","1.8",0.0309
"US National","Season peak percentage","Bin","percent","1.8","1.9",0.0361
"US National","Season peak percentage","Bin","percent","1.9","2",0.0426
"US National","Season peak percentage","Bin","percent","2","2.1",0.0433
"US National","Season peak percentage","Bin","percent","2.1","2.2",0.0463
"US National","Season peak percentage","Bin","percent","2.2","2.3",0.0425
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.0446
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.0455
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0442
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.0387
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0347
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0376
"US National","Season peak percentage","Bin","percent","2.9","3",0.0338
"US National","Season peak percentage","Bin","percent","3","3.1",0.0326
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0295
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0304
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.025
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0215
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0228
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0196
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0167
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0186
"US National","Season peak percentage","Bin","percent","3.9","4",0.015
"US National","Season peak percentage","Bin","percent","4","4.1",0.0174
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0157
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0118
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0122
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0096
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0105
