"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,5
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",2e-04
"US National","Season onset","Bin","week","48","49",0.000900000000000001
"US National","Season onset","Bin","week","49","50",0.0044
"US National","Season onset","Bin","week","50","51",0.0189
"US National","Season onset","Bin","week","51","52",0.0175
"US National","Season onset","Bin","week","52","53",0.0071
"US National","Season onset","Bin","week","1","2",5e-04
"US National","Season onset","Bin","week","2","3",0.0236
"US National","Season onset","Bin","week","3","4",0.0506
"US National","Season onset","Bin","week","4","5",0.0975
"US National","Season onset","Bin","week","5","6",0.1058
"US National","Season onset","Bin","week","6","7",0.0624
"US National","Season onset","Bin","week","7","8",0.0173
"US National","Season onset","Bin","week","8","9",0.0243
"US National","Season onset","Bin","week","9","10",0.0125
"US National","Season onset","Bin","week","10","11",0.0045
"US National","Season onset","Bin","week","11","12",0.0023
"US National","Season onset","Bin","week","12","13",4e-04
"US National","Season onset","Bin","week","13","14",4e-04
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",4e-04
"US National","Season onset","Bin","week","16","17",0.001
"US National","Season onset","Bin","week","17","18",0.0114
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.5361
"US National","Season peak week","Point","week",NA,NA,7
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0.0183440753594447
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0.0174351346884812
"US National","Season peak week","Bin","week","48","49",0.00388365559411667
"US National","Season peak week","Bin","week","49","50",0.00247892910262767
"US National","Season peak week","Bin","week","50","51",0.00462733432490498
"US National","Season peak week","Bin","week","51","52",0.0287555775904809
"US National","Season peak week","Bin","week","52","53",0.0763510163609321
"US National","Season peak week","Bin","week","1","2",0.0007436787307883
"US National","Season peak week","Bin","week","2","3",0.00256156007271525
"US National","Season peak week","Bin","week","3","4",0.00528838208560568
"US National","Season peak week","Bin","week","4","5",0.02090563543216
"US National","Season peak week","Bin","week","5","6",0.0759378615104941
