Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,1 wk ahead,Point,percent,NA,NA,4.5150015590369
US National,1 wk ahead,Bin,percent,0,0.1,0
US National,1 wk ahead,Bin,percent,0.1,0.2,0
US National,1 wk ahead,Bin,percent,0.2,0.3,0
US National,1 wk ahead,Bin,percent,0.3,0.4,0
US National,1 wk ahead,Bin,percent,0.4,0.5,0
US National,1 wk ahead,Bin,percent,0.5,0.6,0.001
US National,1 wk ahead,Bin,percent,0.6,0.7,0
US National,1 wk ahead,Bin,percent,0.7,0.8,0
US National,1 wk ahead,Bin,percent,0.8,0.9,0
US National,1 wk ahead,Bin,percent,0.9,1,0
US National,1 wk ahead,Bin,percent,1,1.1,0
US National,1 wk ahead,Bin,percent,1.1,1.2,0
US National,1 wk ahead,Bin,percent,1.2,1.3,0
US National,1 wk ahead,Bin,percent,1.3,1.4,0
US National,1 wk ahead,Bin,percent,1.4,1.5,0
US National,1 wk ahead,Bin,percent,1.5,1.6,0
US National,1 wk ahead,Bin,percent,1.6,1.7,0
US National,1 wk ahead,Bin,percent,1.7,1.8,0.002
US National,1 wk ahead,Bin,percent,1.8,1.9,0
US National,1 wk ahead,Bin,percent,1.9,2,0.002
US National,1 wk ahead,Bin,percent,2,2.1,0.003
US National,1 wk ahead,Bin,percent,2.1,2.2,0.004
US National,1 wk ahead,Bin,percent,2.2,2.3,0.003
US National,1 wk ahead,Bin,percent,2.3,2.4,0.004
US National,1 wk ahead,Bin,percent,2.4,2.5,0.01
US National,1 wk ahead,Bin,percent,2.5,2.6,0.01
US National,1 wk ahead,Bin,percent,2.6,2.7,0.005
US National,1 wk ahead,Bin,percent,2.7,2.8,0.008
US National,1 wk ahead,Bin,percent,2.8,2.9,0.017
US National,1 wk ahead,Bin,percent,2.9,3,0.008
US National,1 wk ahead,Bin,percent,3,3.1,0.012
US National,1 wk ahead,Bin,percent,3.1,3.2,0.02
US National,1 wk ahead,Bin,percent,3.2,3.3,0.013
US National,1 wk ahead,Bin,percent,3.3,3.4,0.029
US National,1 wk ahead,Bin,percent,3.4,3.5,0.021
US National,1 wk ahead,Bin,percent,3.5,3.6,0.025
US National,1 wk ahead,Bin,percent,3.6,3.7,0.027
US National,1 wk ahead,Bin,percent,3.7,3.8,0.025
US National,1 wk ahead,Bin,percent,3.8,3.9,0.034
US National,1 wk ahead,Bin,percent,3.9,4,0.032
US National,1 wk ahead,Bin,percent,4,4.1,0.032
US National,1 wk ahead,Bin,percent,4.1,4.2,0.037
US National,1 wk ahead,Bin,percent,4.2,4.3,0.038
US National,1 wk ahead,Bin,percent,4.3,4.4,0.032
US National,1 wk ahead,Bin,percent,4.4,4.5,0.043
US National,1 wk ahead,Bin,percent,4.5,4.6,0.039
US National,1 wk ahead,Bin,percent,4.6,4.7,0.037
