season,model-id,model-dir
2010/2011,Delphi-BasisRegression,Delphi_BasisRegression_PackageDefaults
2010/2011,Delphi-DeltaDensity1,Delphi_DeltaDensity_PackageDefaults
2010/2011,Delphi-EmpiricalBayes1,Delphi_EmpiricalBayes_Cond4
2010/2011,Delphi-EmpiricalBayes2,Delphi_EmpiricalBayes_PackageDefaults
2010/2011,Delphi-EmpiricalFuture,Delphi_EmpiricalFutures_PackageDefaults
2010/2011,Delphi-EmpiricalTraj,Delphi_EmpiricalTrajectories_PackageDefaults
2010/2011,Delphi-DeltaDensity2,Delphi_MarkovianDeltaDensity_PackageDefaults
2010/2011,Delphi-Stat,Delphi_Stat_FewerComponentsNoBackcastNoNowcast
2010/2011,Delphi-Uniform,Delphi_Uniform
2010/2011,ReichLab-KCDE,ReichLab_kcde
2010/2011,ReichLab-KDE,ReichLab_kde
2010/2011,ReichLab-SARIMA1,ReichLab_sarima_seasonal_difference_FALSE
2010/2011,ReichLab-SARIMA2,ReichLab_sarima_seasonal_difference_TRUE
2011/2012,Delphi-BasisRegression,Delphi_BasisRegression_PackageDefaults
2011/2012,Delphi-DeltaDensity1,Delphi_DeltaDensity_PackageDefaults
2011/2012,Delphi-EmpiricalBayes1,Delphi_EmpiricalBayes_Cond4
2011/2012,Delphi-EmpiricalBayes2,Delphi_EmpiricalBayes_PackageDefaults
2011/2012,Delphi-EmpiricalFuture,Delphi_EmpiricalFutures_PackageDefaults
2011/2012,Delphi-EmpiricalTraj,Delphi_EmpiricalTrajectories_PackageDefaults
2011/2012,Delphi-DeltaDensity2,Delphi_MarkovianDeltaDensity_PackageDefaults
2011/2012,Delphi-Stat,Delphi_Stat_FewerComponentsNoBackcastNoNowcast
2011/2012,Delphi-Uniform,Delphi_Uniform
2011/2012,ReichLab-KCDE,ReichLab_kcde
2011/2012,ReichLab-KDE,ReichLab_kde
2011/2012,ReichLab-SARIMA1,ReichLab_sarima_seasonal_difference_FALSE
2011/2012,ReichLab-SARIMA2,ReichLab_sarima_seasonal_difference_TRUE
2012/2013,Delphi-BasisRegression,Delphi_BasisRegression_PackageDefaults
2012/2013,Delphi-DeltaDensity1,Delphi_DeltaDensity_PackageDefaults
2012/2013,Delphi-EmpiricalBayes1,Delphi_EmpiricalBayes_Cond4
2012/2013,Delphi-EmpiricalBayes2,Delphi_EmpiricalBayes_PackageDefaults
2012/2013,Delphi-EmpiricalFuture,Delphi_EmpiricalFutures_PackageDefaults
2012/2013,Delphi-EmpiricalTraj,Delphi_EmpiricalTrajectories_PackageDefaults
2012/2013,Delphi-DeltaDensity2,Delphi_MarkovianDeltaDensity_PackageDefaults
2012/2013,Delphi-Stat,Delphi_Stat_FewerComponentsNoBackcastNoNowcast
2012/2013,Delphi-Uniform,Delphi_Uniform
2012/2013,ReichLab-KCDE,ReichLab_kcde
2012/2013,ReichLab-KDE,ReichLab_kde
2012/2013,ReichLab-SARIMA1,ReichLab_sarima_seasonal_difference_FALSE
2012/2013,ReichLab-SARIMA2,ReichLab_sarima_seasonal_difference_TRUE
2013/2014,Delphi-BasisRegression,Delphi_BasisRegression_PackageDefaults
2013/2014,Delphi-DeltaDensity1,Delphi_DeltaDensity_PackageDefaults
