location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000994688392200752
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00167538553155272
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00363218662418252
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00731394834196188
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0122120773450734
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.033584248185666
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0546704146036843
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.131679905717403
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.125678077649492
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0977349218180052
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0854355591174896
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.100452109160343
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0750223651138574
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0581167778841793
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.046508028462547
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0418467479925331
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0360525119900768
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.029193388705905
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0219130777229324
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0144418896862845
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00808666737161533
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00402980751228543
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00188440078701962
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000785299486304758
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.000426289668419806
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000304703075497449
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000230657438853388
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000398677306094559
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.000346593582795624
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000389002013782247
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.000295406542365076
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.000117680914647359
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,9.44119384649556e-05
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,9.26855072345747e-05
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,8.04809794496887e-05
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,8.53878560360197e-05
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,8.99905425857486e-05
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,7.43621798481074e-05
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,7.6655292970156e-05
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,7.70114330031937e-05
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,6.85440084344742e-05
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,7.22959434227853e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,7.23530138053635e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,6.96982493264076e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,6.41566503279666e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,6.62443716781464e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,6.50372150523417e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,6.53153624575457e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,6.07130179038485e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,6.21294822479928e-05
