location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.00366847488381614
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00488454380834091
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00800901209400631
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.0104746648410309
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0120087454049568
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.0126374043413462
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0155499862808678
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0161792375039458
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0219769186321183
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.015334018946255
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0355836921235678
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0610808975634757
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0798056863570836
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0873971206486928
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0625252818478344
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0979466488222928
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0816234205961784
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0788988351055511
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0501395090933143
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0374676729307019
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0217690350538945
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0282877515692531
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0139438485419453
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0116020527446432
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00703675064806698
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00590970102227493
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00492974883656686
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00411389211517984
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00361175022447219
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00287437532266492
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00262070441561083
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0022628484945105
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00213319362959683
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00177836371393795
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0016996536549123
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.00149433854362625
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00137282823802759
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0012979483812606
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00125451310790818
