location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000447391516928622
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000523177199341255
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000624503842526353
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000881763401743058
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00226799113660554
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.0066399501726237
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0209684235114095
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0366712584704809
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0836070330706092
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.131386595271505
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.438316491065178
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0993657485417423
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0486095258094775
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0318949350496123
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0244840115913103
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0169443875049236
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00987697516367374
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00719212447625605
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00527621468628114
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0033050226893867
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00251760067647826
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0026898107612592
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00200203979590745
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00166692536510476
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00189801162302078
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00122187324956081
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00126867202125755
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000871321150991955
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00075469085025512
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000667338742853244
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.000813665721573813
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.000486396532037215
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000432842488648483
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.000369301781691619
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.000340371756656926
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000525496173306048
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000258689903209785
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00023664229830884
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000211917870172627
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000188824437634664
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000176517496634709
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000168747569265679
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00016613160423666
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000168986300808635
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000185533996028579
