location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000236458678774738
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.67615760488973e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,5.98147510226071e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,8.90617448114429e-06
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,2.72658791336069e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00245670845466194
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00887155346304019
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0187923287341287
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0261596034559872
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0382810808053703
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0710371456122003
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.10878628327522
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.113391049194963
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.111354882879019
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0955265157677309
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0832917601872029
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0708760536948598
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0667066379452578
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0528661245203484
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.041431652401555
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0291616489984057
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0152900352228855
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0120523572206238
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00567486723613106
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00257859904183059
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00335068358541512
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000485768715710806
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000821136325216931
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0032401560878305
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00212786394409308
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00345779313102028
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00275419116801
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00134106652226152
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.000857714534796338
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0011341832768906
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000893648019114585
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00110008362066741
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00072679653862126
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000532550972480096
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000265441639110402
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000196457471673981
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,5.44224830555689e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,6.09231503254099e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000225850795197052
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00017849987188216
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.000292377889713503
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000191944244312027
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000186875881435164
