location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,9.44340966921644e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.46849850114032e-06
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,9.50011748245927e-06
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,9.516330773049e-06
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,9.52422483979292e-06
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,9.44575831823112e-06
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,9.47075040365682e-06
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00444850385780024
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,9.86397243388972e-06
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00446377738870603
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0134083642976607
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.000798866638738332
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00534042959497033
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0457630059025463
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0493746681542233
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.101796624533724
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.153159953532101
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.136616971045022
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.069122825466407
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.112740582554954
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.141231336236261
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.054904547434825
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0572875542898129
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00721144306180786
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.000882884300798912
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0223169140078734
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00898701624865893
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00460260852296431
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,6.47829460021388e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,9.57216905163595e-06
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,9.52225284444188e-06
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,9.479344337239e-06
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00444845978834426
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,9.47558291966216e-06
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,9.51281068903542e-06
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,9.55680883640434e-06
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,9.44687911234671e-06
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,9.43399208359853e-06
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,9.4740755281967e-06
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,9.49861524920997e-06
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,9.5014884598068e-06
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,9.45650958849318e-06
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,9.4606018428456e-06
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,9.48010158500535e-06
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,9.52225041725012e-06
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,9.48278916069216e-06
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,9.48100078288599e-06
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,9.44602361772679e-06
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,9.48366828923929e-06
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,9.49544264881752e-06
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,9.4971267344086e-06
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,9.50690531956623e-06
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,9.46217446222635e-06
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,9.491192385351e-06
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,9.45672972277675e-06
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,9.45880960778091e-06
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,9.4815514300513e-06
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,9.47403614798344e-06
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,9.47667093655969e-06
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,9.47920658748897e-06
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,9.50514964198773e-06
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,9.51236733395001e-06
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,9.49203797151543e-06
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,9.44203978483899e-06
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,9.46458269420735e-06
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,9.48133229399268e-06
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,9.53879569314956e-06
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,9.47829054579778e-06
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,9.44975259120935e-06
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,9.45112620036611e-06
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,9.49326308152259e-06
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,9.49153398863016e-06
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,9.46989958938102e-06
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,9.44917128670985e-06
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,9.49511818899412e-06
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,9.5399001540695e-06
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,9.48593987772083e-06
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,9.49298476642296e-06
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,9.44735873119567e-06
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,9.4647288048058e-06
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,9.47110257286456e-06
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,9.47319155890872e-06
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,9.50807919919628e-06
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,9.46923945714227e-06
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,9.49116096771841e-06
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,9.45967190839779e-06
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,9.47949106954411e-06
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,9.49019214496233e-06
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,9.49197941526805e-06
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,9.45588070148878e-06
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,9.47360699946764e-06
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,9.48972908645733e-06
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,9.52678116719406e-06
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,9.52039852901649e-06
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,9.43171636870722e-06
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,9.44901632833332e-06
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,9.47716740613931e-06
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,9.5200003471484e-06
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,9.4910458362777e-06
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,9.43807978741789e-06
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,9.4637520304851e-06
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,9.50132810759815e-06
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,9.50277773148872e-06
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,9.4853178907082e-06
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,9.44684291549077e-06
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,9.45916748729216e-06
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,9.52326200963428e-06
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,9.4915795067162e-06
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,9.50225966838579e-06
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,9.47495944143205e-06
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,9.47491590094198e-06
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,9.46661228606553e-06
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,9.45392033269089e-06
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,9.47445366274924e-06
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,9.48493253606755e-06
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,9.48116245182549e-06
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,9.46481860731772e-06
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,9.49108964004781e-06
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,9.50822068853209e-06
