location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,9.73791565025962e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.40028157239917e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,4.0735453635763e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000228727736761612
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00100370348675311
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00245597928051496
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00510217338182524
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0099500280451881
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00802690528832464
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0183237603945019
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0375894436472245
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0576807159613235
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.123322031920147
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.158653143483654
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.155894743494213
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.146691683257249
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.107925711817143
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0537848778341196
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0217053433243982
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0160830704020756
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0216267073141018
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0193695200795866
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0110638647749685
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00605614325505221
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00372326516136998
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00257886307376806
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00173863756009372
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00145958338484862
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00111812548760389
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00096315379087264
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.000734800862151754
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.000426854289570797
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000491922078693477
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.000491957929139116
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.000439014703391923
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000302466356400965
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000304120455965314
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.000284356725492142
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000286739299327878
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000221622534965026
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000236719825316187
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000135099908682925
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,8.98580871461429e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,5.96262548001895e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,8.10890001996932e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,7.4729827858842e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,6.37040330352166e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,6.36538782132007e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,7.00114014705242e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,7.23758464929945e-05
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,5.49930787187345e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,4.22101586228004e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,3.58057679717955e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,9.63815613492999e-06
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,9.70092744699263e-06
