Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,49
US National,Season onset,Bin,week,40,41,0.00101633
US National,Season onset,Bin,week,41,42,0.00101633
US National,Season onset,Bin,week,42,43,0.00101633
US National,Season onset,Bin,week,43,44,0.00101633
US National,Season onset,Bin,week,44,45,0.00101633
US National,Season onset,Bin,week,45,46,0.00101633
US National,Season onset,Bin,week,46,47,0.00101633
US National,Season onset,Bin,week,47,48,0.24765
US National,Season onset,Bin,week,48,49,0.0504258
US National,Season onset,Bin,week,49,50,0.21252
US National,Season onset,Bin,week,50,51,0.181731
US National,Season onset,Bin,week,51,52,0.213723
US National,Season onset,Bin,week,52,53,0.0104203
US National,Season onset,Bin,week,1,2,0.000868362
US National,Season onset,Bin,week,2,3,0.0069469
US National,Season onset,Bin,week,3,4,0.0173672
US National,Season onset,Bin,week,4,5,0.0121571
US National,Season onset,Bin,week,5,6,0.0112887
US National,Season onset,Bin,week,6,7,0.00607854
US National,Season onset,Bin,week,7,8,0.00607854
US National,Season onset,Bin,week,8,9,0
US National,Season onset,Bin,week,9,10,0.000868362
US National,Season onset,Bin,week,10,11,0
US National,Season onset,Bin,week,11,12,0
US National,Season onset,Bin,week,12,13,0
US National,Season onset,Bin,week,13,14,0
US National,Season onset,Bin,week,14,15,0
US National,Season onset,Bin,week,15,16,0
US National,Season onset,Bin,week,16,17,0
US National,Season onset,Bin,week,17,18,0
US National,Season onset,Bin,week,18,19,0
US National,Season onset,Bin,week,19,20,0
US National,Season onset,Bin,week,20,21,0.00173672
US National,Season onset,Bin,week,none,none,0.013025
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41,0.00120297
US National,Season peak week,Bin,week,41,42,0.00120297
US National,Season peak week,Bin,week,42,43,0.00120297
US National,Season peak week,Bin,week,43,44,0.00120297
US National,Season peak week,Bin,week,44,45,0.00120297
US National,Season peak week,Bin,week,45,46,0.00120297
US National,Season peak week,Bin,week,46,47,0.00120297
US National,Season peak week,Bin,week,47,48,0.00155664
US National,Season peak week,Bin,week,48,49,0.00155664
US National,Season peak week,Bin,week,49,50,0.00077832
US National,Season peak week,Bin,week,50,51,0.00155664
US National,Season peak week,Bin,week,51,52,0.0630906
US National,Season peak week,Bin,week,52,53,0.291076
US National,Season peak week,Bin,week,1,2,0.00466992
US National,Season peak week,Bin,week,2,3,0.00077832
US National,Season peak week,Bin,week,3,4,0.00466992
US National,Season peak week,Bin,week,4,5,0.0356003
US National,Season peak week,Bin,week,5,6,0.14732
US National,Season peak week,Bin,week,6,7,0.0904563
US National,Season peak week,Bin,week,7,8,0.239785
US National,Season peak week,Bin,week,8,9,0.030479
US National,Season peak week,Bin,week,9,10,0.0517427
US National,Season peak week,Bin,week,10,11,0.00856152
US National,Season peak week,Bin,week,11,12,0.00622656
