Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,45
US National,Season onset,Bin,week,40,41,8.553635130117908e-4
US National,Season onset,Bin,week,41,42,8.568508113342865e-4
US National,Season onset,Bin,week,42,43,8.605021426930585e-4
US National,Season onset,Bin,week,43,44,8.566971718744548e-4
US National,Season onset,Bin,week,44,45,0.0030637290216277598
US National,Season onset,Bin,week,45,46,0.9495364211269361
US National,Season onset,Bin,week,46,47,0.020800592579913634
US National,Season onset,Bin,week,47,48,8.693544412599616e-4
US National,Season onset,Bin,week,48,49,8.569217506224824e-4
US National,Season onset,Bin,week,49,50,8.613337551717417e-4
US National,Season onset,Bin,week,50,51,8.568449926622618e-4
US National,Season onset,Bin,week,51,52,8.587402473408577e-4
US National,Season onset,Bin,week,52,53,8.565896573895313e-4
US National,Season onset,Bin,week,1,2,8.56819923317182e-4
US National,Season onset,Bin,week,2,3,8.578794237136194e-4
US National,Season onset,Bin,week,3,4,8.56716081735221e-4
US National,Season onset,Bin,week,4,5,8.614852115853051e-4
US National,Season onset,Bin,week,5,6,8.565294893113607e-4
US National,Season onset,Bin,week,6,7,8.581039064976743e-4
US National,Season onset,Bin,week,7,8,8.563261628348843e-4
US National,Season onset,Bin,week,8,9,8.569726061680148e-4
US National,Season onset,Bin,week,9,10,8.584213724857359e-4
US National,Season onset,Bin,week,10,11,8.569043537496748e-4
US National,Season onset,Bin,week,11,12,8.612729126787593e-4
US National,Season onset,Bin,week,12,13,8.568685806942837e-4
US National,Season onset,Bin,week,13,14,8.573344269741122e-4
US National,Season onset,Bin,week,14,15,8.567442287907073e-4
US National,Season onset,Bin,week,15,16,8.567370946740377e-4
US National,Season onset,Bin,week,16,17,8.597227732167272e-4
US National,Season onset,Bin,week,17,18,8.566003001282462e-4
US National,Season onset,Bin,week,18,19,8.607652445604208e-4
US National,Season onset,Bin,week,19,20,8.563807547403263e-4
US National,Season onset,Bin,week,20,21,8.54820599357689e-4
US National,Season onset,Bin,week,none,none,8.566533409480298e-4
US National,Season peak week,Point,week,NA,NA,52
US National,Season peak week,Bin,week,40,41,8.720916151265372e-4
US National,Season peak week,Bin,week,41,42,8.826529191137739e-4
US National,Season peak week,Bin,week,42,43,8.839752833273989e-4
US National,Season peak week,Bin,week,43,44,8.799702141456602e-4
US National,Season peak week,Bin,week,44,45,8.807469075349229e-4
US National,Season peak week,Bin,week,45,46,8.806524087591926e-4
US National,Season peak week,Bin,week,46,47,8.83445721648235e-4
US National,Season peak week,Bin,week,47,48,8.836138250268911e-4
US National,Season peak week,Bin,week,48,49,8.796649879700357e-4
US National,Season peak week,Bin,week,49,50,8.805852404288307e-4
US National,Season peak week,Bin,week,50,51,8.809749514846351e-4
US National,Season peak week,Bin,week,51,52,0.02272008545951148
US National,Season peak week,Bin,week,52,53,0.9296953963321425
US National,Season peak week,Bin,week,1,2,0.011484012445187203
US National,Season peak week,Bin,week,2,3,8.790144752011191e-4
US National,Season peak week,Bin,week,3,4,8.831856435373609e-4
US National,Season peak week,Bin,week,4,5,8.827723461529099e-4
US National,Season peak week,Bin,week,5,6,8.832476580260311e-4
US National,Season peak week,Bin,week,6,7,0.0010813630444451601
US National,Season peak week,Bin,week,7,8,0.010259928509318042
US National,Season peak week,Bin,week,8,9,9.79903023489827e-4
US National,Season peak week,Bin,week,9,10,8.847166823465384e-4
US National,Season peak week,Bin,week,10,11,8.802534423165325e-4
US National,Season peak week,Bin,week,11,12,8.809148013772033e-4
US National,Season peak week,Bin,week,12,13,8.800437341709233e-4
US National,Season peak week,Bin,week,13,14,8.832004854344539e-4
US National,Season peak week,Bin,week,14,15,8.839231482330312e-4
US National,Season peak week,Bin,week,15,16,8.803388453153052e-4
US National,Season peak week,Bin,week,16,17,8.801990564888224e-4
US National,Season peak week,Bin,week,17,18,8.80764888590586e-4
US National,Season peak week,Bin,week,18,19,8.842008655919456e-4
US National,Season peak week,Bin,week,19,20,8.820636801523264e-4
US National,Season peak week,Bin,week,20,21,8.620973584046804e-4
