Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,48
US National,Season onset,Bin,week,40,41,7.976175848197076e-4
US National,Season onset,Bin,week,41,42,8.559766048416013e-4
US National,Season onset,Bin,week,42,43,8.819727612744051e-4
US National,Season onset,Bin,week,43,44,0.0018674356332752829
US National,Season onset,Bin,week,44,45,0.012818700991775438
US National,Season onset,Bin,week,45,46,0.06290057712402644
US National,Season onset,Bin,week,46,47,0.16720345634072178
US National,Season onset,Bin,week,47,48,0.2634793651026994
US National,Season onset,Bin,week,48,49,0.2312381367692343
US National,Season onset,Bin,week,49,50,0.12794088263834463
US National,Season onset,Bin,week,50,51,0.05876514796787139
US National,Season onset,Bin,week,51,52,0.028521528741948035
US National,Season onset,Bin,week,52,53,0.01852098197561936
US National,Season onset,Bin,week,1,2,0.006855584259506361
US National,Season onset,Bin,week,2,3,0.0015697708142899448
US National,Season onset,Bin,week,3,4,8.748334323511305e-4
US National,Season onset,Bin,week,4,5,8.569534053314876e-4
US National,Season onset,Bin,week,5,6,8.574093104367026e-4
US National,Season onset,Bin,week,6,7,8.574470572555414e-4
US National,Season onset,Bin,week,7,8,8.569506980094401e-4
US National,Season onset,Bin,week,8,9,8.568704573350512e-4
US National,Season onset,Bin,week,9,10,8.572463147110489e-4
US National,Season onset,Bin,week,10,11,8.574656778223e-4
US National,Season onset,Bin,week,11,12,8.570999157292786e-4
US National,Season onset,Bin,week,12,13,8.568663553506457e-4
US National,Season onset,Bin,week,13,14,8.570843085556485e-4
US National,Season onset,Bin,week,14,15,8.574800281340168e-4
US National,Season onset,Bin,week,15,16,8.572511326673098e-4
US National,Season onset,Bin,week,16,17,8.568631441074397e-4
US National,Season onset,Bin,week,17,18,8.569142275819308e-4
US National,Season onset,Bin,week,18,19,8.553224770330576e-4
US National,Season onset,Bin,week,19,20,7.850745787385617e-4
US National,Season onset,Bin,week,20,21,4.110788276532544e-4
US National,Season onset,Bin,week,none,none,8.566533409480299e-4
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41,8.029271803250354e-4
US National,Season peak week,Bin,week,41,42,8.793331289384036e-4
US National,Season peak week,Bin,week,42,43,8.831135741680719e-4
US National,Season peak week,Bin,week,43,44,8.831532370645765e-4
US National,Season peak week,Bin,week,44,45,8.831533240848858e-4
US National,Season peak week,Bin,week,45,46,8.83153782442035e-4
US National,Season peak week,Bin,week,46,47,8.831795024121108e-4
US National,Season peak week,Bin,week,47,48,8.862921044979259e-4
US National,Season peak week,Bin,week,48,49,0.0011436332185068559
US National,Season peak week,Bin,week,49,50,0.005873922763449335
US National,Season peak week,Bin,week,50,51,0.02612233872502841
US National,Season peak week,Bin,week,51,52,0.05055118866410092
US National,Season peak week,Bin,week,52,53,0.06511277064629253
US National,Season peak week,Bin,week,1,2,0.07399655575560204
US National,Season peak week,Bin,week,2,3,0.1032200023249205
US National,Season peak week,Bin,week,3,4,0.15287439663080454
US National,Season peak week,Bin,week,4,5,0.18127873062352223
US National,Season peak week,Bin,week,5,6,0.15777890320882407
US National,Season peak week,Bin,week,6,7,0.09600074498750823
US National,Season peak week,Bin,week,7,8,0.043175751076130836
US National,Season peak week,Bin,week,8,9,0.0181829700757475
US National,Season peak week,Bin,week,9,10,0.007378456293953527
US National,Season peak week,Bin,week,10,11,0.001998414982796581
US National,Season peak week,Bin,week,11,12,9.352076114340007e-4
US National,Season peak week,Bin,week,12,13,8.838105160816378e-4
US National,Season peak week,Bin,week,13,14,8.831699152448946e-4
US National,Season peak week,Bin,week,14,15,8.831536377823801e-4
US National,Season peak week,Bin,week,15,16,8.831533132522954e-4
US National,Season peak week,Bin,week,16,17,8.83153174700857e-4
US National,Season peak week,Bin,week,17,18,8.830952201803325e-4
US National,Season peak week,Bin,week,18,19,8.78160232508769e-4
US National,Season peak week,Bin,week,19,20,7.887383850484535e-4
US National,Season peak week,Bin,week,20,21,4.252721826452385e-4
US National,Season peak percentage,Point,percent,NA,NA,3.3
US National,Season peak percentage,Bin,percent,0,0.1,1.718925253997584e-4
US National,Season peak percentage,Bin,percent,0.1,0.2,2.0473137456956275e-4
US National,Season peak percentage,Bin,percent,0.2,0.3,2.1816574093282931e-4
US National,Season peak percentage,Bin,percent,0.3,0.4,2.2171823997742634e-4
US National,Season peak percentage,Bin,percent,0.4,0.5,2.223265893719582e-4
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2234490050197932e-4
US National,Season peak percentage,Bin,percent,0.6,0.7,2.223266477251473e-4
US National,Season peak percentage,Bin,percent,0.7,0.8,2.2237413909903555e-4
US National,Season peak percentage,Bin,percent,0.8,0.9,2.2246711109460203e-4
US National,Season peak percentage,Bin,percent,0.9,1,2.224461784704872e-4
US National,Season peak percentage,Bin,percent,1,1.1,2.223555509242415e-4
US National,Season peak percentage,Bin,percent,1.1,1.2,0.00022233961511623984
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2236713361199574e-4
US National,Season peak percentage,Bin,percent,1.3,1.4,2.223951181861547e-4
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2237886047020555e-4
US National,Season peak percentage,Bin,percent,1.5,1.6,2.223694885601839e-4
US National,Season peak percentage,Bin,percent,1.6,1.7,2.2241647745302012e-4
US National,Season peak percentage,Bin,percent,1.7,1.8,2.224084895510306e-4
US National,Season peak percentage,Bin,percent,1.8,1.9,2.2235201506563658e-4
