Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,49
US National,Season onset,Bin,week,40,41,8.239060533697427e-5
US National,Season onset,Bin,week,41,42,1.4883364158723827e-4
US National,Season onset,Bin,week,42,43,0.0024236354717241627
US National,Season onset,Bin,week,43,44,0.017672500459302614
US National,Season onset,Bin,week,44,45,0.04786607567289105
US National,Season onset,Bin,week,45,46,0.07956944036288276
US National,Season onset,Bin,week,46,47,0.10321446244973
US National,Season onset,Bin,week,47,48,0.12547392054005674
US National,Season onset,Bin,week,48,49,0.13771840893212048
US National,Season onset,Bin,week,49,50,0.12409702732574243
US National,Season onset,Bin,week,50,51,0.09942202641671113
US National,Season onset,Bin,week,51,52,0.0781378011704767
US National,Season onset,Bin,week,52,53,0.05960812218873613
US National,Season onset,Bin,week,1,2,0.04083231750969441
US National,Season onset,Bin,week,2,3,0.023741265882398655
US National,Season onset,Bin,week,3,4,0.015437435294089258
US National,Season onset,Bin,week,4,5,0.010895488584129615
US National,Season onset,Bin,week,5,6,0.007454057921536034
US National,Season onset,Bin,week,6,7,0.006023759708361663
US National,Season onset,Bin,week,7,8,0.004969174743043124
US National,Season onset,Bin,week,8,9,0.003270645352213894
US National,Season onset,Bin,week,9,10,9.733811675718414e-4
US National,Season onset,Bin,week,10,11,6.003397532604786e-4
US National,Season onset,Bin,week,11,12,5.012467647555866e-4
US National,Season onset,Bin,week,12,13,1.5286277704540944e-4
US National,Season onset,Bin,week,13,14,8.95573455648843e-5
US National,Season onset,Bin,week,14,15,8.794261035221523e-5
US National,Season onset,Bin,week,15,16,8.797664910191282e-5
US National,Season onset,Bin,week,16,17,8.800833912757635e-5
US National,Season onset,Bin,week,17,18,8.796463912803942e-5
US National,Season onset,Bin,week,18,19,8.7746710892907e-5
US National,Season onset,Bin,week,19,20,8.090888508590338e-5
US National,Season onset,Bin,week,20,21,4.222198764364904e-5
US National,Season onset,Bin,week,none,none,0.009061052137704534
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41,8.098789593015536e-5
US National,Season peak week,Bin,week,41,42,9.005931489903282e-5
US National,Season peak week,Bin,week,42,43,9.528809824184912e-5
US National,Season peak week,Bin,week,43,44,1.5758900478160778e-4
US National,Season peak week,Bin,week,44,45,4.453942548543192e-4
US National,Season peak week,Bin,week,45,46,0.0012822577085099098
US National,Season peak week,Bin,week,46,47,0.003404891751554887
US National,Season peak week,Bin,week,47,48,0.008387239480078652
US National,Season peak week,Bin,week,48,49,0.020562366062906786
US National,Season peak week,Bin,week,49,50,0.03643436955468224
US National,Season peak week,Bin,week,50,51,0.04882645685969911
US National,Season peak week,Bin,week,51,52,0.05376468370154877
US National,Season peak week,Bin,week,52,53,0.06110837852692977
US National,Season peak week,Bin,week,1,2,0.07844392206148461
US National,Season peak week,Bin,week,2,3,0.09810211024395864
US National,Season peak week,Bin,week,3,4,0.1085964039094029
US National,Season peak week,Bin,week,4,5,0.09588478687940499
US National,Season peak week,Bin,week,5,6,0.08512777947355071
US National,Season peak week,Bin,week,6,7,0.0902410509635654
US National,Season peak week,Bin,week,7,8,0.08323910893700957
US National,Season peak week,Bin,week,8,9,0.05905102225049965
US National,Season peak week,Bin,week,9,10,0.035135109017654945
US National,Season peak week,Bin,week,10,11,0.01744315599390351
US National,Season peak week,Bin,week,11,12,0.006774765269249984
US National,Season peak week,Bin,week,12,13,0.0032039319497152744
US National,Season peak week,Bin,week,13,14,0.0015481362355593733
US National,Season peak week,Bin,week,14,15,0.0011063278877729164
US National,Season peak week,Bin,week,15,16,8.549952054442768e-4
US National,Season peak week,Bin,week,16,17,2.8937435470872887e-4
US National,Season peak week,Bin,week,17,18,1.0477305798511844e-4
US National,Season peak week,Bin,week,18,19,9.005501462370953e-5
US National,Season peak week,Bin,week,19,20,7.946258135833644e-5
US National,Season peak week,Bin,week,20,21,4.376649853032266e-5
US National,Season peak percentage,Point,percent,NA,NA,3.9499999999999638
US National,Season peak percentage,Bin,percent,0,0.1,1.6564628648188758e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,1.9920935320786624e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.1722628176109264e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.2511834909421955e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.276270040254492e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2818039954018695e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.2829391048102548e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.2833020967054827e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.283211384450161e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2830923364723905e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.2832656225497926e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.2832847330644127e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.28310466264949e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.2837223886213732e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2897623097784782e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.3351245268155006e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.6320062771055855e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,4.1412229023416764e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,9.513982188272285e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.5306032829747107e-4
US National,Season peak percentage,Bin,percent,2,2.1,5.933483490644456e-4
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0011712853222201705
US National,Season peak percentage,Bin,percent,2.2,2.3,0.002035719478544299
US National,Season peak percentage,Bin,percent,2.3,2.4,0.003190554082826326
US National,Season peak percentage,Bin,percent,2.4,2.5,0.004841503294164399
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0072307913170059695
US National,Season peak percentage,Bin,percent,2.6,2.7,0.01043339512149764
US National,Season peak percentage,Bin,percent,2.7,2.8,0.014570732731462147
US National,Season peak percentage,Bin,percent,2.8,2.9,0.019294496885924734
US National,Season peak percentage,Bin,percent,2.9,3,0.024479438227037145
US National,Season peak percentage,Bin,percent,3,3.1,0.029854565228936782
US National,Season peak percentage,Bin,percent,3.1,3.2,0.034986402937131844
US National,Season peak percentage,Bin,percent,3.2,3.3,0.04000648030946297
US National,Season peak percentage,Bin,percent,3.3,3.4,0.04468265210959031
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0486128519787431
US National,Season peak percentage,Bin,percent,3.5,3.6,0.051084616691356256
US National,Season peak percentage,Bin,percent,3.6,3.7,0.051423424101594964
US National,Season peak percentage,Bin,percent,3.7,3.8,0.050099168244757346
US National,Season peak percentage,Bin,percent,3.8,3.9,0.04822577977681885
US National,Season peak percentage,Bin,percent,3.9,4,0.04662884715949159
