Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,1.7011792424238447e-5
US National,Season onset,Bin,week,41,42,4.405303150696643e-5
US National,Season onset,Bin,week,42,43,4.405303150696939e-5
US National,Season onset,Bin,week,43,44,4.4053031506784045e-5
US National,Season onset,Bin,week,44,45,4.405303150698902e-5
US National,Season onset,Bin,week,45,46,4.405303150698669e-5
US National,Season onset,Bin,week,46,47,4.405303150697931e-5
US National,Season onset,Bin,week,47,48,0.998579433855955
US National,Season onset,Bin,week,48,49,4.405303150707386e-5
US National,Season onset,Bin,week,49,50,4.405303150689059e-5
US National,Season onset,Bin,week,50,51,4.405303150707386e-5
US National,Season onset,Bin,week,51,52,4.405303150689059e-5
US National,Season onset,Bin,week,52,53,4.405303150689059e-5
US National,Season onset,Bin,week,1,2,4.405303150689059e-5
US National,Season onset,Bin,week,2,3,4.405303150707386e-5
US National,Season onset,Bin,week,3,4,4.405303150689059e-5
US National,Season onset,Bin,week,4,5,4.408129999271212e-5
US National,Season onset,Bin,week,5,6,4.405303150689059e-5
US National,Season onset,Bin,week,6,7,4.405303150707386e-5
US National,Season onset,Bin,week,7,8,4.405303150689059e-5
US National,Season onset,Bin,week,8,9,4.405303150707386e-5
US National,Season onset,Bin,week,9,10,4.405303150689059e-5
US National,Season onset,Bin,week,10,11,4.405303150707386e-5
US National,Season onset,Bin,week,11,12,4.4053031506707304e-5
US National,Season onset,Bin,week,12,13,4.405303150707386e-5
US National,Season onset,Bin,week,13,14,4.405303150689059e-5
US National,Season onset,Bin,week,14,15,4.405303150707386e-5
US National,Season onset,Bin,week,15,16,4.405303150689059e-5
US National,Season onset,Bin,week,16,17,4.405303150707386e-5
US National,Season onset,Bin,week,17,18,4.405303150689059e-5
US National,Season onset,Bin,week,18,19,4.405303150707386e-5
US National,Season onset,Bin,week,19,20,4.405303150689059e-5
US National,Season onset,Bin,week,20,21,3.788356822202924e-5
US National,Season onset,Bin,week,none,none,4.405156970426713e-5
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,1.988197554928656e-5
US National,Season peak week,Bin,week,41,42,4.5387726526914236e-5
US National,Season peak week,Bin,week,42,43,4.538772652695104e-5
US National,Season peak week,Bin,week,43,44,4.5387726526945075e-5
US National,Season peak week,Bin,week,44,45,4.538772652694838e-5
US National,Season peak week,Bin,week,45,46,4.5387726526897106e-5
US National,Season peak week,Bin,week,46,47,4.538772652698219e-5
US National,Season peak week,Bin,week,47,48,4.5387726526923533e-5
US National,Season peak week,Bin,week,48,49,4.538772652694172e-5
US National,Season peak week,Bin,week,49,50,4.5387726526948036e-5
US National,Season peak week,Bin,week,50,51,4.53877265269533e-5
US National,Season peak week,Bin,week,51,52,4.538772652695899e-5
US National,Season peak week,Bin,week,52,53,4.538772652695274e-5
US National,Season peak week,Bin,week,1,2,4.538772652688935e-5
US National,Season peak week,Bin,week,2,3,4.538772652696783e-5
