Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,4.27468592996781e-5
US National,Season onset,Bin,week,41,42,8.797534781599287e-5
US National,Season onset,Bin,week,42,43,8.79753478159859e-5
US National,Season onset,Bin,week,43,44,8.797534781579472e-5
US National,Season onset,Bin,week,44,45,8.797534781599063e-5
US National,Season onset,Bin,week,45,46,8.797534781599161e-5
US National,Season onset,Bin,week,46,47,8.797534781597902e-5
US National,Season onset,Bin,week,47,48,0.9971419172620181
US National,Season onset,Bin,week,48,49,8.797534781596244e-5
US National,Season onset,Bin,week,49,50,8.797534781596244e-5
US National,Season onset,Bin,week,50,51,8.797534781596244e-5
US National,Season onset,Bin,week,51,52,8.797534781575285e-5
US National,Season onset,Bin,week,52,53,8.797534781617202e-5
US National,Season onset,Bin,week,1,2,8.797534781596244e-5
US National,Season onset,Bin,week,2,3,8.797534781596244e-5
US National,Season onset,Bin,week,3,4,8.797534781596244e-5
US National,Season onset,Bin,week,4,5,8.810409533201238e-5
US National,Season onset,Bin,week,5,6,8.797534781596244e-5
US National,Season onset,Bin,week,6,7,8.797534781596244e-5
US National,Season onset,Bin,week,7,8,8.797534781596244e-5
US National,Season onset,Bin,week,8,9,8.797534781596244e-5
US National,Season onset,Bin,week,9,10,8.797534781596244e-5
US National,Season onset,Bin,week,10,11,8.797534781596244e-5
US National,Season onset,Bin,week,11,12,8.797534781596244e-5
US National,Season onset,Bin,week,12,13,8.797534781596244e-5
US National,Season onset,Bin,week,13,14,8.797534781596244e-5
US National,Season onset,Bin,week,14,15,8.797534781596244e-5
US National,Season onset,Bin,week,15,16,8.797534781596244e-5
US National,Season onset,Bin,week,16,17,8.797534781596244e-5
US National,Season onset,Bin,week,17,18,8.797534781596244e-5
US National,Season onset,Bin,week,18,19,8.797534781596244e-5
US National,Season onset,Bin,week,19,20,8.797534781617202e-5
US National,Season onset,Bin,week,20,21,8.7975316709371345e-05
US National,Season onset,Bin,week,none,none,8.79713799777139e-5
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,7.567203018714092e-5
US National,Season peak week,Bin,week,41,42,9.063852131068297e-5
US National,Season peak week,Bin,week,42,43,9.063852131076342e-5
US National,Season peak week,Bin,week,43,44,9.063852131075182e-5
US National,Season peak week,Bin,week,44,45,9.063852131073087e-5
US National,Season peak week,Bin,week,45,46,9.063852131067224e-5
US National,Season peak week,Bin,week,46,47,9.063852131075015e-5
US National,Season peak week,Bin,week,47,48,9.063852131066922e-5
US National,Season peak week,Bin,week,48,49,9.063852131073326e-5
US National,Season peak week,Bin,week,49,50,9.063852131070268e-5
US National,Season peak week,Bin,week,50,51,9.063852131071447e-5
US National,Season peak week,Bin,week,51,52,9.063852131073438e-5
US National,Season peak week,Bin,week,52,53,9.063852131070219e-5
US National,Season peak week,Bin,week,1,2,9.063852131070299e-5
US National,Season peak week,Bin,week,2,3,9.063852131073709e-5
US National,Season peak week,Bin,week,3,4,9.063852131080527e-5
US National,Season peak week,Bin,week,4,5,9.084503737510304e-5
US National,Season peak week,Bin,week,5,6,0.9971143729390495
US National,Season peak week,Bin,week,6,7,9.063852131062428e-5
US National,Season peak week,Bin,week,7,8,9.063852131062428e-5
US National,Season peak week,Bin,week,8,9,9.063852131078743e-5
US National,Season peak week,Bin,week,9,10,9.063852131062428e-5
US National,Season peak week,Bin,week,10,11,9.063852131078743e-5
US National,Season peak week,Bin,week,11,12,9.063852131062428e-5
US National,Season peak week,Bin,week,12,13,9.063852131078743e-5
US National,Season peak week,Bin,week,13,14,9.063852131078743e-5
US National,Season peak week,Bin,week,14,15,9.063852131062428e-5
US National,Season peak week,Bin,week,15,16,9.063852131078743e-5
US National,Season peak week,Bin,week,16,17,9.063852131062428e-5
US National,Season peak week,Bin,week,17,18,9.063852131078743e-5
US National,Season peak week,Bin,week,18,19,9.063852131078743e-5
US National,Season peak week,Bin,week,19,20,9.063852131062428e-5
US National,Season peak week,Bin,week,20,21,9.059287537757658e-5
US National,Season peak percentage,Point,percent,NA,NA,7.4
US National,Season peak percentage,Bin,percent,0,0.1,1.1629213843827738e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.283252088681016e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.2832520556823742e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.283252028138912e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.3143930993944313e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.2960131920904942e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.272967061021997e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.251107226516231e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.2817804559503423e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2832522088118225e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.283252175652704e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.2832521479498324e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2832521257038636e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.283252108916498e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2832520975891917e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.3204379426369816e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.3105381670472862e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,2.291015725930942e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,2.27267959217302e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.2555297429089794e-5
US National,Season peak percentage,Bin,percent,2,2.1,2.249311896315529e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,2.2832521445001775e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,2.283252133011334e-5
US National,Season peak percentage,Bin,percent,2.3,2.4,2.2832521269812587e-5
US National,Season peak percentage,Bin,percent,2.4,2.5,2.283252126406317e-5
US National,Season peak percentage,Bin,percent,2.5,2.6,2.2832521312924565e-5
US National,Season peak percentage,Bin,percent,2.6,2.7,2.319469893477347e-5
US National,Season peak percentage,Bin,percent,2.7,2.8,2.3172943589258267e-5
US National,Season peak percentage,Bin,percent,2.8,2.9,2.301295609370691e-5
US National,Season peak percentage,Bin,percent,2.9,3,2.2864831763595323e-5
US National,Season peak percentage,Bin,percent,3,3.1,2.2728570278406983e-5
US National,Season peak percentage,Bin,percent,3.1,3.2,2.2604171638176845e-5
US National,Season peak percentage,Bin,percent,3.2,3.3,2.249163584290552e-5
US National,Season peak percentage,Bin,percent,3.3,3.4,2.2590364219529013e-5
US National,Season peak percentage,Bin,percent,3.4,3.5,2.28325209250945e-5
US National,Season peak percentage,Bin,percent,3.5,3.6,2.2832521081504234e-5
US National,Season peak percentage,Bin,percent,3.6,3.7,2.283252129249261e-5
US National,Season peak percentage,Bin,percent,3.7,3.8,2.3130402647038162e-5
US National,Season peak percentage,Bin,percent,3.8,3.9,2.316281764153793e-5
US National,Season peak percentage,Bin,percent,3.9,4,2.3038067113370636e-5
US National,Season peak percentage,Bin,percent,4,4.1,2.2925179790708764e-5
US National,Season peak percentage,Bin,percent,4.1,4.2,2.2824155312966752e-5
US National,Season peak percentage,Bin,percent,4.2,4.3,2.2734993680254158e-5
US National,Season peak percentage,Bin,percent,4.3,4.4,2.265769489248838e-5
US National,Season peak percentage,Bin,percent,4.4,4.5,2.2592258949624198e-5
US National,Season peak percentage,Bin,percent,4.5,4.6,2.253868585172457e-5
US National,Season peak percentage,Bin,percent,4.6,4.7,2.2720957303949615e-5
US National,Season peak percentage,Bin,percent,4.7,4.8,2.2832520914567392e-5
US National,Season peak percentage,Bin,percent,4.8,4.9,2.302700369105661e-5
US National,Season peak percentage,Bin,percent,4.9,5,2.307500379161206e-5
US National,Season peak percentage,Bin,percent,5,5.1,2.2985490318317548e-5
US National,Season peak percentage,Bin,percent,5.1,5.2,2.2907840003122174e-5
US National,Season peak percentage,Bin,percent,5.2,5.3,2.284205253290701e-5
US National,Season peak percentage,Bin,percent,5.3,5.4,2.2788127907624226e-5
US National,Season peak percentage,Bin,percent,5.4,5.5,2.274606612728895e-5
US National,Season peak percentage,Bin,percent,5.5,5.6,2.271586719189005e-5
US National,Season peak percentage,Bin,percent,5.6,5.7,2.2697531101470314e-5
US National,Season peak percentage,Bin,percent,5.7,5.8,2.2691057856003476e-5
US National,Season peak percentage,Bin,percent,5.8,5.9,2.2696447455487624e-5
US National,Season peak percentage,Bin,percent,5.9,6,2.2885259826332337e-5
US National,Season peak percentage,Bin,percent,6,6.1,2.290950200383364e-5
US National,Season peak percentage,Bin,percent,6.1,6.2,2.2855225708564862e-5
US National,Season peak percentage,Bin,percent,6.2,6.3,2.2812812400855126e-5
US National,Season peak percentage,Bin,percent,6.3,6.4,2.2782261938042985e-5
US National,Season peak percentage,Bin,percent,6.4,6.5,2.2763574320203224e-5
US National,Season peak percentage,Bin,percent,6.5,6.6,2.283920308985515e-5
US National,Season peak percentage,Bin,percent,6.6,6.7,2.2832520629550065e-5
US National,Season peak percentage,Bin,percent,6.7,6.8,2.283251997279702e-5
US National,Season peak percentage,Bin,percent,6.8,6.9,2.2832519370612267e-5
US National,Season peak percentage,Bin,percent,6.9,7,2.2832518822771984e-5
US National,Season peak percentage,Bin,percent,7,7.1,2.2894305308754818e-5
US National,Season peak percentage,Bin,percent,7.1,7.2,2.2770737520458073e-5
US National,Season peak percentage,Bin,percent,7.2,7.3,2.283252458441809e-5
US National,Season peak percentage,Bin,percent,7.3,7.4,2.3368503375622456e-5
US National,Season peak percentage,Bin,percent,7.4,7.5,0.9970423605327821
US National,Season peak percentage,Bin,percent,7.5,7.6,2.287662287946853e-5
US National,Season peak percentage,Bin,percent,7.6,7.7,2.2832521841706617e-5
US National,Season peak percentage,Bin,percent,7.7,7.8,2.2832521291958006e-5
US National,Season peak percentage,Bin,percent,7.8,7.9,2.283252079759385e-5
US National,Season peak percentage,Bin,percent,7.9,8,2.2832520357367554e-5
US National,Season peak percentage,Bin,percent,8,8.1,2.283251997181338e-5
US National,Season peak percentage,Bin,percent,8.1,8.2,2.2968120331245762e-5
US National,Season peak percentage,Bin,percent,8.2,8.3,2.2989851187781554e-5
US National,Season peak percentage,Bin,percent,8.3,8.4,2.2735460878054482e-5
US National,Season peak percentage,Bin,percent,8.4,8.5,2.263665507018465e-5
US National,Season peak percentage,Bin,percent,8.5,8.6,2.283252292250491e-5
