Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.01333189076046315
US National,Season onset,Bin,week,41,42,0.01766233017788216
US National,Season onset,Bin,week,42,43,0.02276859073547793
US National,Season onset,Bin,week,43,44,0.028574362701036044
US National,Season onset,Bin,week,44,45,0.034826688960872085
US National,Season onset,Bin,week,45,46,0.041226431608015805
US National,Season onset,Bin,week,46,47,0.047373508193983116
US National,Season onset,Bin,week,47,48,0.052773812068018754
US National,Season onset,Bin,week,48,49,0.056969398786829974
US National,Season onset,Bin,week,49,50,0.059602585080446094
US National,Season onset,Bin,week,50,51,0.060454332491194154
US National,Season onset,Bin,week,51,52,0.05950992033911683
US National,Season onset,Bin,week,52,53,0.05696051531374318
US National,Season onset,Bin,week,1,2,0.053122570455140496
US National,Season onset,Bin,week,2,3,0.04843317102374207
US National,Season onset,Bin,week,3,4,0.043301420068555314
US National,Season onset,Bin,week,4,5,0.03806898411395621
US National,Season onset,Bin,week,5,6,0.033012569195365306
US National,Season onset,Bin,week,6,7,0.02831652108814018
US National,Season onset,Bin,week,7,8,0.02407015756443753
US National,Season onset,Bin,week,8,9,0.020318944720120354
US National,Season onset,Bin,week,9,10,0.017107158096666637
US National,Season onset,Bin,week,10,11,0.014417292596752958
US National,Season onset,Bin,week,11,12,0.012219446519512112
US National,Season onset,Bin,week,12,13,0.010477505454669144
US National,Season onset,Bin,week,13,14,0.009118374253981536
US National,Season onset,Bin,week,14,15,0.008055699449520474
US National,Season onset,Bin,week,15,16,0.007202929862519371
US National,Season onset,Bin,week,16,17,0.006480399311598644
US National,Season onset,Bin,week,17,18,0.005819423112599422
US National,Season onset,Bin,week,18,19,0.005172479375637918
US National,Season onset,Bin,week,19,20,0.004522167740475007
US National,Season onset,Bin,week,20,21,0.0038641653858649044
US National,Season onset,Bin,week,none,none,0.05486425339366516
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,0.007592840839604445
US National,Season peak week,Bin,week,41,42,0.00938516851036037
US National,Season peak week,Bin,week,42,43,0.011400162170157756
US National,Season peak week,Bin,week,43,44,0.013647550282204098
US National,Season peak week,Bin,week,44,45,0.01615468287539102
US National,Season peak week,Bin,week,45,46,0.01891860111027042
US National,Season peak week,Bin,week,46,47,0.021976310934301982
US National,Season peak week,Bin,week,47,48,0.02528432632631539
US National,Season peak week,Bin,week,48,49,0.028832078478476502
US National,Season peak week,Bin,week,49,50,0.032537960540151026
US National,Season peak week,Bin,week,50,51,0.03631331865924594
US National,Season peak week,Bin,week,51,52,0.04006154026214576
US National,Season peak week,Bin,week,52,53,0.04363941871183696
US National,Season peak week,Bin,week,1,2,0.04695702586696174
US National,Season peak week,Bin,week,2,3,0.049841199637645134
US National,Season peak week,Bin,week,3,4,0.05217421130045455
US National,Season peak week,Bin,week,4,5,0.05378321747822413
US National,Season peak week,Bin,week,5,6,0.05451592037981953
US National,Season peak week,Bin,week,6,7,0.0542355563871022
US National,Season peak week,Bin,week,7,8,0.05286539591496486
US National,Season peak week,Bin,week,8,9,0.05038756703872161
US National,Season peak week,Bin,week,9,10,0.04692803832790688
US National,Season peak week,Bin,week,10,11,0.04264669309673497
US National,Season peak week,Bin,week,11,12,0.037834728311980155
US National,Season peak week,Bin,week,12,13,0.03277774195154718
US National,Season peak week,Bin,week,13,14,0.027762272654340066
US National,Season peak week,Bin,week,14,15,0.023054869975929478
US National,Season peak week,Bin,week,15,16,0.018791610845979093
US National,Season peak week,Bin,week,16,17,0.01511255770786258
US National,Season peak week,Bin,week,17,18,0.01200240393006289
US National,Season peak week,Bin,week,18,19,0.009454916117119709
US National,Season peak week,Bin,week,19,20,0.007392132049880002
US National,Season peak week,Bin,week,20,21,0.00573798132630159
US National,Season peak percentage,Point,percent,NA,NA,5
US National,Season peak percentage,Bin,percent,0,0.1,0.001304549613617759
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0014313606713481702
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0015723612412760456
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0017207029123906526
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0018853861421221183
US National,Season peak percentage,Bin,percent,0.5,0.6,0.002058697077017095
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0022507666353788185
US National,Season peak percentage,Bin,percent,0.7,0.8,0.002452861842558594
US National,Season peak percentage,Bin,percent,0.8,0.9,0.002676264273789957
US National,Season peak percentage,Bin,percent,0.9,1,0.00291078547584163
US National,Season peak percentage,Bin,percent,1,1.1,0.0031689044097349176
US National,Season peak percentage,Bin,percent,1.1,1.2,0.0034392737043562067
US National,Season peak percentage,Bin,percent,1.2,1.3,0.003735396303483741
US National,Season peak percentage,Bin,percent,1.3,1.4,0.004044378363619609
US National,Season peak percentage,Bin,percent,1.4,1.5,0.004380674295876025
US National,Season peak percentage,Bin,percent,1.5,1.6,0.004729520443071572
