Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.013818690874327357
US National,Season onset,Bin,week,41,42,0.019316183085412015
US National,Season onset,Bin,week,42,43,0.02599666690276323
US National,Season onset,Bin,week,43,44,0.033613805277798545
US National,Season onset,Bin,week,44,45,0.04181511548179387
US National,Season onset,Bin,week,45,46,0.05002409997169306
US National,Season onset,Bin,week,46,47,0.05748591962811576
US National,Season onset,Bin,week,47,48,0.06346369697399135
US National,Season onset,Bin,week,48,49,0.06722563866616041
US National,Season onset,Bin,week,49,50,0.06836121217561351
US National,Season onset,Bin,week,50,51,0.0668157581266681
US National,Season onset,Bin,week,51,52,0.06298637869470554
US National,Season onset,Bin,week,52,53,0.05756357387693542
US National,Season onset,Bin,week,1,2,0.051431571483164136
US National,Season onset,Bin,week,2,3,0.045336686216866096
US National,Season onset,Bin,week,3,4,0.03976787370454732
US National,Season onset,Bin,week,4,5,0.034937582659458635
US National,Season onset,Bin,week,5,6,0.030743418093587545
US National,Season onset,Bin,week,6,7,0.027015594891224164
US National,Season onset,Bin,week,7,8,0.023558644756214216
US National,Season onset,Bin,week,8,9,0.02026455338818103
US National,Season onset,Bin,week,9,10,0.017159807083878757
US National,Season onset,Bin,week,10,11,0.014303090756966688
US National,Season onset,Bin,week,11,12,0.011805895838452513
US National,Season onset,Bin,week,12,13,0.009732657174080402
US National,Season onset,Bin,week,13,14,0.008089035434676336
US National,Season onset,Bin,week,14,15,0.006839583953028351
US National,Season onset,Bin,week,15,16,0.005887685298201618
US National,Season onset,Bin,week,16,17,0.005135330414525696
US National,Season onset,Bin,week,17,18,0.004488596729734713
US National,Season onset,Bin,week,18,19,0.003877840587046911
US National,Season onset,Bin,week,19,20,0.0032746642551535958
US National,Season onset,Bin,week,20,21,0.002672836126348031
US National,Season onset,Bin,week,none,none,0.0051903114186851226
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,0.007198355998316818
US National,Season peak week,Bin,week,41,42,0.009112223507500454
US National,Season peak week,Bin,week,42,43,0.011282174027282635
US National,Season peak week,Bin,week,43,44,0.013741368798718233
US National,Season peak week,Bin,week,44,45,0.01654869741174305
US National,Season peak week,Bin,week,45,46,0.019770934622222253
US National,Season peak week,Bin,week,46,47,0.023446578762645803
US National,Season peak week,Bin,week,47,48,0.027543957632770632
US National,Season peak week,Bin,week,48,49,0.03193531763841589
US National,Season peak week,Bin,week,49,50,0.036406418945998685
US National,Season peak week,Bin,week,50,51,0.04070478914558458
US National,Season peak week,Bin,week,51,52,0.04461029907911468
US National,Season peak week,Bin,week,52,53,0.047991425771260546
US National,Season peak week,Bin,week,1,2,0.050817688043332226
US National,Season peak week,Bin,week,2,3,0.053115844799301815
US National,Season peak week,Bin,week,3,4,0.0548919305905256
US National,Season peak week,Bin,week,4,5,0.05606265682366067
US National,Season peak week,Bin,week,5,6,0.05643724071074132
US National,Season peak week,Bin,week,6,7,0.05576526311906029
US National,Season peak week,Bin,week,7,8,0.05383103269702814
US National,Season peak week,Bin,week,8,9,0.05055377911782088
US National,Season peak week,Bin,week,9,10,0.046046261174242355
US National,Season peak week,Bin,week,10,11,0.04060986017499274
US National,Season peak week,Bin,week,11,12,0.034673603837757895
US National,Season peak week,Bin,week,12,13,0.02870002556632874
US National,Season peak week,Bin,week,13,14,0.02309521542576447
US National,Season peak week,Bin,week,14,15,0.01814651559854615
US National,Season peak week,Bin,week,15,16,0.013999616493417225
US National,Season peak week,Bin,week,16,17,0.010671567285553709
US National,Season peak week,Bin,week,17,18,0.008085304871161386
US National,Season peak week,Bin,week,18,19,0.006113469988359783
US National,Season peak week,Bin,week,19,20,0.00461721866129965
US National,Season peak week,Bin,week,20,21,0.0034733636795307916
US National,Season peak percentage,Point,percent,NA,NA,4.8500000000000005
US National,Season peak percentage,Bin,percent,0,0.1,0.0010720178735672068
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0011951837978976592
US National,Season peak percentage,Bin,percent,0.2,0.3,0.001330147826883231
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0014764172090620555
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0016448265436410942
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0018213589121701377
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0020256681279239804
US National,Season peak percentage,Bin,percent,0.7,0.8,0.002243479732782285
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0024846867450954028
US National,Season peak percentage,Bin,percent,0.9,1,0.0027537906568295594
US National,Season peak percentage,Bin,percent,1,1.1,0.0030365994801693362
US National,Season peak percentage,Bin,percent,1.1,1.2,0.003364730677597849
US National,Season peak percentage,Bin,percent,1.2,1.3,0.0037011156272717975
US National,Season peak percentage,Bin,percent,1.3,1.4,0.00407744687718977
US National,Season peak percentage,Bin,percent,1.4,1.5,0.004479497322265085
US National,Season peak percentage,Bin,percent,1.5,1.6,0.004903526963193965
US National,Season peak percentage,Bin,percent,1.6,1.7,0.00537519287907314
US National,Season peak percentage,Bin,percent,1.7,1.8,0.005850745888131906
US National,Season peak percentage,Bin,percent,1.8,1.9,0.006377661781833111
US National,Season peak percentage,Bin,percent,1.9,2,0.006912117648054042
US National,Season peak percentage,Bin,percent,2,2.1,0.0074748975840999285
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0080676423974516
US National,Season peak percentage,Bin,percent,2.2,2.3,0.008654967781534477
US National,Season peak percentage,Bin,percent,2.3,2.4,0.009294442384756551
US National,Season peak percentage,Bin,percent,2.4,2.5,0.009907236057868987
US National,Season peak percentage,Bin,percent,2.5,2.6,0.010548826690624614
